2430;18.12.19 11:53:42;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);20191218114413;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;0,00;-0,02;0,00;0,00;
0,00;0,00;0,06;0,32;0,00;0,00;
0,00;0,00;0,61;0,23;0,00;0,00;
0,00;0,00;1,63;0,23;0,00;0,00;
0,00;0,00;3,15;0,25;0,00;0,00;
0,00;0,00;5,20;0,25;0,00;0,00;
0,00;0,00;7,77;0,30;0,00;0,00;
0,00;0,00;10,81;0,25;0,00;0,00;
0,00;0,00;13,94;0,21;0,00;0,00;
0,00;0,00;17,12;0,25;0,00;0,00;
0,00;0,00;20,34;0,23;0,00;0,00;
0,00;0,00;23,54;0,20;0,00;0,00;
0,00;0,00;26,75;0,23;0,00;0,00;
0,00;0,00;29,95;0,18;0,00;0,00;
0,00;0,00;33,15;0,21;0,00;0,00;
0,00;0,00;36,35;0,23;0,00;0,00;
0,00;0,00;39,54;0,23;0,00;0,00;
0,00;0,00;42,75;0,25;0,00;0,00;
0,00;0,00;45,95;0,21;0,00;0,00;
0,00;0,00;49,15;0,25;0,00;0,00;
0,00;0,00;52,34;0,23;0,00;0,00;
0,00;0,00;55,54;0,21;0,00;0,00;
0,00;0,00;58,74;0,23;0,00;0,00;
0,00;0,00;61,95;0,21;0,00;0,00;
0,00;0,00;65,15;0,23;0,00;0,00;
0,00;0,00;68,34;0,23;0,00;0,00;
0,00;0,00;71,54;0,23;0,00;0,00;
0,00;0,00;74,74;0,23;0,00;0,00;
0,00;0,00;77,95;0,18;0,00;0,00;
0,00;0,00;81,15;0,23;0,00;0,00;
0,00;0,00;84,34;0,23;0,00;0,00;
0,00;0,00;87,54;0,21;0,00;0,00;
0,00;0,00;90,74;0,23;0,00;0,00;
0,00;0,00;93,95;0,18;0,00;0,00;
0,00;0,00;97,15;0,21;0,00;0,00;
0,00;0,00;100,34;0,23;0,00;0,00;
0,00;0,00;103,54;0,20;0,00;0,00;
0,00;0,00;106,75;0,23;0,00;0,00;
0,00;0,00;109,95;0,21;0,00;0,00;
0,00;0,00;113,15;0,23;0,00;0,00;
0,00;0,00;116,34;0,20;0,00;0,00;
0,00;0,00;119,54;0,23;0,00;0,00;
0,00;0,00;122,74;0,27;0,00;0,00;
0,00;0,00;125,95;0,18;0,00;0,00;
0,00;0,00;129,15;0,23;0,00;0,00;
0,00;0,00;132,34;0,20;0,00;0,00;
0,00;0,00;135,54;0,23;0,00;0,00;
0,00;0,00;138,75;0,21;0,00;0,00;
0,00;0,00;141,95;0,23;0,00;0,00;
0,00;0,00;145,15;0,23;0,00;0,00;
0,00;0,00;148,35;0,20;0,00;0,00;
0,00;0,00;151,54;0,21;0,00;0,00;
0,00;0,00;154,74;0,25;0,00;0,00;
0,00;0,00;157,95;0,18;0,00;0,00;
0,00;0,00;161,03;0,09;0,00;0,00;
0,00;0,00;163,59;0,14;0,00;0,00;
0,00;0,00;165,72;0,14;0,00;0,00;
0,00;0,00;167,34;0,14;0,00;0,00;
0,00;0,00;168,44;0,12;0,00;0,00;
0,00;0,00;169,03;0,07;0,00;0,00;
0,00;0,00;169,18;0,12;0,00;0,00;
0,00;0,00;169,22;0,09;0,00;0,00;
0,00;0,00;169,27;0,16;0,00;0,00;
0,00;0,00;169,41;0,16;0,00;0,00;
0,00;0,00;169,57;0,14;0,00;0,00;
0,00;0,00;169,73;0,14;0,00;0,00;
0,00;0,00;169,89;0,14;0,00;0,00;
0,00;0,00;170,05;0,14;0,00;0,00;
0,00;0,00;170,21;0,14;0,00;0,00;
0,00;0,00;170,37;0,14;0,00;0,00;
0,00;0,00;170,53;0,14;0,00;0,00;
0,00;0,00;170,69;0,14;0,00;0,00;
0,00;0,00;170,85;0,14;0,00;0,00;
0,00;0,00;171,01;0,14;0,00;0,00;
0,00;0,00;171,17;0,14;0,00;0,00;
0,00;0,00;171,33;0,14;0,00;0,00;
0,00;0,00;171,49;0,14;0,00;0,00;
0,00;0,00;171,65;0,14;0,00;0,00;
0,00;0,00;171,81;0,14;0,00;0,00;
0,00;0,00;171,97;0,14;0,00;0,00;
0,00;0,00;172,13;0,14;0,00;0,00;
0,00;0,00;172,29;0,32;0,00;0,00;
0,00;0,00;172,45;0,32;0,00;0,00;
0,00;0,00;172,61;0,34;0,00;0,00;
0,00;0,00;172,77;0,54;0,00;0,00;
0,00;0,00;172,93;0,79;0,00;0,00;
0,00;0,00;173,09;1,04;0,00;0,00;
0,00;0,00;173,24;1,22;0,00;0,00;
0,00;0,00;173,40;1,32;0,00;0,00;
0,00;0,00;173,57;1,43;0,00;0,00;
0,00;0,00;173,70;1,33;0,00;0,00;
0,00;0,00;173,71;1,22;0,00;0,00;
0,00;0,00;173,70;1,04;0,00;0,00;
0,00;0,00;173,29;0,05;0,00;0,00;
0,00;0,00;172,41;0,09;0,00;0,00;
0,00;0,00;171,94;0,05;0,00;0,00;
0,00;0,00;171,80;0,02;0,00;0,00;
0,00;0,00;171,72;0,07;0,00;0,00;
0,00;0,00;171,70;0,05;0,00;0,00;
