26928;02.03.21 16:02:02;21;Avvicinamento Pressata Fuori Ingombro;force < min. force (9);20210302152746P0031;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;74,20;-0,08;0,00;0,00;
0,00;0,00;75,05;0,08;0,00;0,00;
0,00;0,00;76,00;0,22;0,00;0,00;
0,00;0,00;77,35;0,14;0,00;0,00;
0,00;0,00;79,09;0,22;0,00;0,00;
0,00;0,00;81,21;0,16;0,00;0,00;
0,00;0,00;83,57;0,08;0,00;0,00;
0,00;0,00;85,93;0,16;0,00;0,00;
0,00;0,00;88,34;0,16;0,00;0,00;
0,00;0,00;90,74;0,16;0,00;0,00;
0,00;0,00;93,15;0,08;0,00;0,00;
0,00;0,00;100,35;0,16;0,00;0,00;
0,00;0,00;102,74;0,16;0,00;0,00;
0,00;0,00;105,15;0,08;0,00;0,00;
0,00;0,00;107,54;0,08;0,00;0,00;
0,00;0,00;109,95;0,08;0,00;0,00;
0,00;0,00;112,35;0,16;0,00;0,00;
0,00;0,00;114,74;0,16;0,00;0,00;
0,00;0,00;117,15;0,08;0,00;0,00;
0,00;0,00;124,35;0,16;0,00;0,00;
0,00;0,00;126,75;0,16;0,00;0,00;
0,00;0,00;129,15;0,08;0,00;0,00;
0,00;0,00;133,95;0,16;0,00;0,00;
0,00;0,00;136,35;0,16;0,00;0,00;
0,00;0,00;138,74;0,08;0,00;0,00;
0,00;0,00;141,15;0,08;0,00;0,00;
0,00;0,00;145,95;0,16;0,00;0,00;
0,00;0,00;148,35;0,23;0,00;0,00;
0,00;0,00;150,74;0,16;0,00;0,00;
0,00;0,00;153,15;0,16;0,00;0,00;
0,00;0,00;155,54;0,23;0,00;0,00;
0,00;0,00;157,95;0,31;0,00;0,00;
0,00;0,00;160,35;0,31;0,00;0,00;
0,00;0,00;162,75;0,30;0,00;0,00;
0,00;0,00;165,15;0,16;0,00;0,00;
0,00;0,00;167,55;0,16;0,00;0,00;
0,00;0,00;169,95;0,23;0,00;0,00;
0,00;0,00;172,35;0,16;0,00;0,00;
0,00;0,00;174,74;0,23;0,00;0,00;
0,00;0,00;177,15;0,08;0,00;0,00;
0,00;0,00;179,54;0,08;0,00;0,00;
0,00;0,00;181,95;0,16;0,00;0,00;
0,00;0,00;184,32;0,16;0,00;0,00;
0,00;0,00;186,31;0,08;0,00;0,00;
0,00;0,00;191,05;-0,08;0,00;0,00;
0,00;0,00;191,17;0,08;0,00;0,00;
0,00;0,00;198,67;0,08;0,00;0,00;
0,00;0,00;199,47;0,08;0,00;0,00;
0,00;0,00;200,10;0,08;0,00;0,00;
0,00;0,00;200,10;0,08;0,00;0,00;
