2823;29.01.20 17:19:38;21;Avvicinamento Pressata Fuori Ingombro;Alcun errore (0);20200129170408;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;44,17;0,20;0,00;0,00;
0,00;0,00;44,95;0,16;0,00;0,00;
0,00;0,00;46,22;0,11;0,00;0,00;
0,00;0,00;48,01;0,18;0,00;0,00;
0,00;0,00;50,31;0,23;0,00;0,00;
0,00;0,00;53,13;0,18;0,00;0,00;
0,00;0,00;56,29;0,09;0,00;0,00;
0,00;0,00;59,40;0,16;0,00;0,00;
0,00;0,00;62,64;0,14;0,00;0,00;
0,00;0,00;65,84;0,14;0,00;0,00;
0,00;0,00;69,05;0,09;0,00;0,00;
0,00;0,00;72,25;0,12;0,00;0,00;
0,00;0,00;75,45;0,09;0,00;0,00;
0,00;0,00;78,65;0,14;0,00;0,00;
0,00;0,00;81,85;0,12;0,00;0,00;
0,00;0,00;85,05;0,12;0,00;0,00;
0,00;0,00;88,25;0,12;0,00;0,00;
0,00;0,00;91,45;0,09;0,00;0,00;
0,00;0,00;94,65;0,16;0,00;0,00;
0,00;0,00;97,85;0,12;0,00;0,00;
0,00;0,00;101,05;0,09;0,00;0,00;
0,00;0,00;104,25;0,16;0,00;0,00;
0,00;0,00;107,45;0,09;0,00;0,00;
0,00;0,00;110,65;0,12;0,00;0,00;
0,00;0,00;113,85;0,12;0,00;0,00;
0,00;0,00;117,05;0,09;0,00;0,00;
0,00;0,00;120,25;0,12;0,00;0,00;
0,00;0,00;123,45;0,12;0,00;0,00;
0,00;0,00;126,65;0,16;0,00;0,00;
0,00;0,00;129,85;0,12;0,00;0,00;
0,00;0,00;133,05;0,09;0,00;0,00;
0,00;0,00;136,25;0,14;0,00;0,00;
0,00;0,00;139,45;0,12;0,00;0,00;
0,00;0,00;142,65;0,16;0,00;0,00;
0,00;0,00;145,85;0,14;0,00;0,00;
0,00;0,00;149,05;0,12;0,00;0,00;
0,00;0,00;152,25;0,14;0,00;0,00;
0,00;0,00;155,45;0,09;0,00;0,00;
0,00;0,00;158,65;0,12;0,00;0,00;
0,00;0,00;161,85;0,12;0,00;0,00;
