7993;27.02.20 15:15:34;21;Avvicinamento Pressata Fuori Ingombro;position > max position (10);
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;0,00;-0,01;0,00;0,00;
0,00;0,00;0,25;0,07;0,00;0,00;
0,00;0,00;1,04;0,05;0,00;0,00;
0,00;0,00;2,34;0,04;0,00;0,00;
0,00;0,00;4,15;0,07;0,00;0,00;
0,00;0,00;6,46;0,05;0,00;0,00;
0,00;0,00;9,30;0,05;0,00;0,00;
0,00;0,00;12,63;0,07;0,00;0,00;
0,00;0,00;16,12;0,05;0,00;0,00;
0,00;0,00;19,65;0,05;0,00;0,00;
0,00;0,00;23,17;0,04;0,00;0,00;
0,00;0,00;26,69;0,06;0,00;0,00;
0,00;0,00;30,21;0,05;0,00;0,00;
0,00;0,00;33,73;0,06;0,00;0,00;
0,00;0,00;37,25;0,03;0,00;0,00;
0,00;0,00;40,77;0,04;0,00;0,00;
0,00;0,00;44,29;0,04;0,00;0,00;
0,00;0,00;47,81;0,04;0,00;0,00;
0,00;0,00;51,33;0,05;0,00;0,00;
0,00;0,00;54,85;0,04;0,00;0,00;
0,00;0,00;58,36;0,04;0,00;0,00;
0,00;0,00;61,89;0,04;0,00;0,00;
0,00;0,00;65,41;0,04;0,00;0,00;
0,00;0,00;68,93;0,05;0,00;0,00;
0,00;0,00;72,45;0,04;0,00;0,00;
0,00;0,00;75,97;0,04;0,00;0,00;
0,00;0,00;79,49;0,04;0,00;0,00;
0,00;0,00;83,01;0,05;0,00;0,00;
0,00;0,00;86,53;0,04;0,00;0,00;
0,00;0,00;90,05;0,04;0,00;0,00;
0,00;0,00;93,57;0,04;0,00;0,00;
0,00;0,00;97,09;0,06;0,00;0,00;
0,00;0,00;100,61;0,05;0,00;0,00;
0,00;0,00;104,13;0,05;0,00;0,00;
0,00;0,00;107,65;0,04;0,00;0,00;
0,00;0,00;111,17;0,03;0,00;0,00;
0,00;0,00;114,46;0,02;0,00;0,00;
0,00;0,00;117,29;0,01;0,00;0,00;
0,00;0,00;119,62;0,01;0,00;0,00;
0,00;0,00;121,46;0,01;0,00;0,00;
0,00;0,00;123,98;0,01;0,00;0,00;
0,00;0,00;124,01;0,01;0,00;0,00;
0,00;0,00;124,01;0,01;0,00;0,00;
0,00;0,00;124,08;0,03;0,00;0,00;
0,00;0,00;124,18;0,04;0,00;0,00;
0,00;0,00;124,28;0,04;0,00;0,00;
0,00;0,00;124,38;0,04;0,00;0,00;
0,00;0,00;124,47;0,04;0,00;0,00;
0,00;0,00;124,57;0,06;0,00;0,00;
0,00;0,00;124,66;0,07;0,00;0,00;
0,00;0,00;124,76;0,07;0,00;0,00;
0,00;0,00;124,86;0,07;0,00;0,00;
0,00;0,00;124,95;0,07;0,00;0,00;
0,00;0,00;125,05;0,07;0,00;0,00;
0,00;0,00;125,14;0,08;0,00;0,00;
0,00;0,00;125,24;0,09;0,00;0,00;
0,00;0,00;125,33;0,09;0,00;0,00;
0,00;0,00;125,43;0,09;0,00;0,00;
0,00;0,00;125,53;0,11;0,00;0,00;
0,00;0,00;125,62;0,12;0,00;0,00;
0,00;0,00;125,72;0,12;0,00;0,00;
0,00;0,00;125,81;0,15;0,00;0,00;
0,00;0,00;125,91;0,17;0,00;0,00;
0,00;0,00;126,01;0,20;0,00;0,00;
0,00;0,00;126,10;0,20;0,00;0,00;
0,00;0,00;126,20;0,23;0,00;0,00;
0,00;0,00;126,30;0,24;0,00;0,00;
0,00;0,00;126,39;0,26;0,00;0,00;
0,00;0,00;126,49;0,27;0,00;0,00;
0,00;0,00;126,58;0,27;0,00;0,00;
0,00;0,00;126,68;0,28;0,00;0,00;
0,00;0,00;126,78;0,29;0,00;0,00;
