7996;27.02.20 15:24:53;21;Avvicinamento Pressata Fuori Ingombro;position > max position (10);
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;0,25;0,07;0,00;0,00;
0,00;0,00;1,04;0,04;0,00;0,00;
0,00;0,00;2,34;0,05;0,00;0,00;
0,00;0,00;4,15;0,05;0,00;0,00;
0,00;0,00;6,47;0,05;0,00;0,00;
0,00;0,00;9,30;0,05;0,00;0,00;
0,00;0,00;12,63;0,07;0,00;0,00;
0,00;0,00;16,12;0,05;0,00;0,00;
0,00;0,00;19,65;0,06;0,00;0,00;
0,00;0,00;23,17;0,04;0,00;0,00;
0,00;0,00;26,69;0,05;0,00;0,00;
0,00;0,00;30,21;0,06;0,00;0,00;
0,00;0,00;33,73;0,07;0,00;0,00;
0,00;0,00;37,25;0,04;0,00;0,00;
0,00;0,00;40,77;0,04;0,00;0,00;
0,00;0,00;44,29;0,05;0,00;0,00;
0,00;0,00;47,81;0,04;0,00;0,00;
0,00;0,00;51,33;0,04;0,00;0,00;
0,00;0,00;54,85;0,03;0,00;0,00;
0,00;0,00;58,36;0,05;0,00;0,00;
0,00;0,00;61,89;0,04;0,00;0,00;
0,00;0,00;65,41;0,05;0,00;0,00;
0,00;0,00;68,93;0,04;0,00;0,00;
0,00;0,00;72,45;0,04;0,00;0,00;
0,00;0,00;75,97;0,04;0,00;0,00;
0,00;0,00;79,49;0,04;0,00;0,00;
0,00;0,00;83,01;0,04;0,00;0,00;
0,00;0,00;86,53;0,04;0,00;0,00;
0,00;0,00;90,05;0,04;0,00;0,00;
0,00;0,00;93,57;0,03;0,00;0,00;
0,00;0,00;97,09;0,05;0,00;0,00;
0,00;0,00;100,61;0,04;0,00;0,00;
0,00;0,00;104,13;0,05;0,00;0,00;
0,00;0,00;107,65;0,03;0,00;0,00;
0,00;0,00;111,17;0,04;0,00;0,00;
0,00;0,00;114,46;0,02;0,00;0,00;
0,00;0,00;117,29;0,03;0,00;0,00;
0,00;0,00;119,62;0,01;0,00;0,00;
0,00;0,00;121,46;0,01;0,00;0,00;
0,00;0,00;122,79;0,00;0,00;0,00;
0,00;0,00;123,64;0,05;0,00;0,00;
0,00;0,00;123,98;0,10;0,00;0,00;
0,00;0,00;124,01;0,13;0,00;0,00;
0,00;0,00;124,01;0,13;0,00;0,00;
0,00;0,00;124,08;0,13;0,00;0,00;
0,00;0,00;124,18;0,15;0,00;0,00;
0,00;0,00;124,28;0,17;0,00;0,00;
0,00;0,00;124,37;0,18;0,00;0,00;
0,00;0,00;124,47;0,20;0,00;0,00;
0,00;0,00;124,57;0,22;0,00;0,00;
0,00;0,00;124,66;0,22;0,00;0,00;
0,00;0,00;124,76;0,23;0,00;0,00;
0,00;0,00;124,86;0,23;0,00;0,00;
0,00;0,00;124,95;0,25;0,00;0,00;
0,00;0,00;125,05;0,26;0,00;0,00;
0,00;0,00;125,14;0,29;0,00;0,00;
0,00;0,00;125,24;0,29;0,00;0,00;
0,00;0,00;125,33;0,31;0,00;0,00;
0,00;0,00;125,43;0,34;0,00;0,00;
0,00;0,00;125,53;0,39;0,00;0,00;
0,00;0,00;125,62;0,50;0,00;0,00;
0,00;0,00;125,72;0,61;0,00;0,00;
0,00;0,00;125,81;0,67;0,00;0,00;
0,00;0,00;125,91;0,77;0,00;0,00;
0,00;0,00;126,01;0,81;0,00;0,00;
0,00;0,00;126,10;0,85;0,00;0,00;
0,00;0,00;126,20;0,96;0,00;0,00;
0,00;0,00;126,29;1,02;0,00;0,00;
0,00;0,00;126,39;1,06;0,00;0,00;
0,00;0,00;126,49;1,09;0,00;0,00;
0,00;0,00;126,58;1,11;0,00;0,00;
0,00;0,00;126,68;1,11;0,00;0,00;
0,00;0,00;126,78;1,12;0,00;0,00;
0,00;0,00;126,87;1,18;0,00;0,00;
0,00;0,00;126,97;1,24;0,00;0,00;
0,00;0,00;127,06;1,23;0,00;0,00;
0,00;0,00;127,16;1,30;0,00;0,00;
0,00;0,00;127,26;1,32;0,00;0,00;
0,00;0,00;127,35;1,35;0,00;0,00;
0,00;0,00;127,45;1,38;0,00;0,00;
0,00;0,00;127,54;1,41;0,00;0,00;
0,00;0,00;127,64;1,43;0,00;0,00;
0,00;0,00;127,73;1,44;0,00;0,00;
0,00;0,00;127,83;1,46;0,00;0,00;
0,00;0,00;127,93;1,46;0,00;0,00;
0,00;0,00;128,02;1,47;0,00;0,00;
0,00;0,00;128,12;1,46;0,00;0,00;
0,00;0,00;128,21;1,47;0,00;0,00;
0,00;0,00;128,31;1,49;0,00;0,00;
0,00;0,00;128,41;1,47;0,00;0,00;
0,00;0,00;128,50;1,48;0,00;0,00;
0,00;0,00;128,60;1,48;0,00;0,00;
0,00;0,00;128,70;1,50;0,00;0,00;
0,00;0,00;128,79;1,52;0,00;0,00;
0,00;0,00;128,89;1,53;0,00;0,00;
0,00;0,00;128,98;1,55;0,00;0,00;
0,00;0,00;129,08;1,55;0,00;0,00;
0,00;0,00;129,18;1,54;0,00;0,00;
0,00;0,00;129,27;1,56;0,00;0,00;
0,00;0,00;129,37;1,54;0,00;0,00;
0,00;0,00;129,46;1,56;0,00;0,00;
0,00;0,00;129,56;1,57;0,00;0,00;
0,00;0,00;129,65;1,57;0,00;0,00;
0,00;0,00;129,75;1,56;0,00;0,00;
0,00;0,00;129,85;1,56;0,00;0,00;
0,00;0,00;129,94;1,55;0,00;0,00;
0,00;0,00;130,04;1,55;0,00;0,00;
0,00;0,00;130,14;1,53;0,00;0,00;
0,00;0,00;130,23;1,55;0,00;0,00;
0,00;0,00;130,33;1,53;0,00;0,00;
0,00;0,00;130,43;1,52;0,00;0,00;
0,00;0,00;130,52;1,55;0,00;0,00;
0,00;0,00;130,62;1,56;0,00;0,00;
0,00;0,00;130,71;1,56;0,00;0,00;
0,00;0,00;130,81;1,56;0,00;0,00;
0,00;0,00;130,90;1,58;0,00;0,00;
0,00;0,00;131,00;1,60;0,00;0,00;
0,00;0,00;131,10;1,61;0,00;0,00;
0,00;0,00;131,19;1,61;0,00;0,00;
0,00;0,00;131,29;1,61;0,00;0,00;
0,00;0,00;131,38;1,61;0,00;0,00;
0,00;0,00;131,48;1,63;0,00;0,00;
0,00;0,00;131,57;1,66;0,00;0,00;
0,00;0,00;131,67;1,67;0,00;0,00;
0,00;0,00;131,77;1,67;0,00;0,00;
0,00;0,00;131,86;1,67;0,00;0,00;
0,00;0,00;131,96;1,69;0,00;0,00;
0,00;0,00;132,06;1,68;0,00;0,00;
0,00;0,00;132,15;1,66;0,00;0,00;
0,00;0,00;132,25;1,64;0,00;0,00;
0,00;0,00;132,35;1,63;0,00;0,00;
0,00;0,00;132,44;1,62;0,00;0,00;
0,00;0,00;132,54;1,64;0,00;0,00;
0,00;0,00;132,63;1,67;0,00;0,00;
0,00;0,00;132,73;1,67;0,00;0,00;
0,00;0,00;132,82;1,66;0,00;0,00;
0,00;0,00;132,92;1,68;0,00;0,00;
0,00;0,00;133,02;1,67;0,00;0,00;
0,00;0,00;133,11;1,66;0,00;0,00;
0,00;0,00;133,21;1,67;0,00;0,00;
0,00;0,00;133,30;1,67;0,00;0,00;
0,00;0,00;133,40;1,70;0,00;0,00;
0,00;0,00;133,50;1,67;0,00;0,00;
0,00;0,00;133,59;1,71;0,00;0,00;
0,00;0,00;133,69;1,74;0,00;0,00;
0,00;0,00;133,78;1,74;0,00;0,00;
0,00;0,00;133,88;1,72;0,00;0,00;
0,00;0,00;133,98;1,73;0,00;0,00;
0,00;0,00;134,07;1,72;0,00;0,00;
0,00;0,00;134,17;1,72;0,00;0,00;
0,00;0,00;134,26;1,75;0,00;0,00;
0,00;0,00;134,36;1,73;0,00;0,00;
0,00;0,00;134,46;1,72;0,00;0,00;
0,00;0,00;134,55;1,72;0,00;0,00;
0,00;0,00;134,65;1,72;0,00;0,00;
0,00;0,00;134,74;1,74;0,00;0,00;
0,00;0,00;134,84;1,75;0,00;0,00;
0,00;0,00;134,94;1,74;0,00;0,00;
0,00;0,00;135,03;1,73;0,00;0,00;
0,00;0,00;135,13;1,73;0,00;0,00;
0,00;0,00;135,22;1,73;0,00;0,00;
0,00;0,00;135,32;1,72;0,00;0,00;
0,00;0,00;135,42;1,69;0,00;0,00;
0,00;0,00;135,51;1,69;0,00;0,00;
