7997;27.02.20 16:19:09;21;Avvicinamento Pressata Fuori Ingombro;force > max. force (8);
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;0,00;-0,01;0,00;0,00;
0,00;0,00;0,25;0,06;0,00;0,00;
0,00;0,00;1,04;0,04;0,00;0,00;
0,00;0,00;2,34;0,04;0,00;0,00;
0,00;0,00;4,15;0,04;0,00;0,00;
0,00;0,00;6,47;0,04;0,00;0,00;
0,00;0,00;9,30;0,04;0,00;0,00;
0,00;0,00;12,63;0,05;0,00;0,00;
0,00;0,00;16,12;0,04;0,00;0,00;
0,00;0,00;19,65;0,03;0,00;0,00;
0,00;0,00;23,17;0,04;0,00;0,00;
0,00;0,00;26,69;0,04;0,00;0,00;
0,00;0,00;30,21;0,04;0,00;0,00;
0,00;0,00;33,73;0,04;0,00;0,00;
0,00;0,00;37,25;0,03;0,00;0,00;
0,00;0,00;40,77;0,04;0,00;0,00;
0,00;0,00;44,29;0,04;0,00;0,00;
0,00;0,00;47,81;0,04;0,00;0,00;
0,00;0,00;51,33;0,04;0,00;0,00;
0,00;0,00;54,85;0,01;0,00;0,00;
0,00;0,00;58,37;0,03;0,00;0,00;
0,00;0,00;61,89;0,04;0,00;0,00;
0,00;0,00;65,41;0,04;0,00;0,00;
0,00;0,00;68,93;0,04;0,00;0,00;
0,00;0,00;72,45;0,03;0,00;0,00;
0,00;0,00;75,97;0,04;0,00;0,00;
0,00;0,00;79,49;0,04;0,00;0,00;
0,00;0,00;83,01;0,04;0,00;0,00;
0,00;0,00;86,53;0,04;0,00;0,00;
0,00;0,00;90,05;0,03;0,00;0,00;
0,00;0,00;93,57;0,02;0,00;0,00;
0,00;0,00;97,09;0,04;0,00;0,00;
0,00;0,00;100,61;0,04;0,00;0,00;
0,00;0,00;104,13;0,04;0,00;0,00;
0,00;0,00;107,65;0,02;0,00;0,00;
0,00;0,00;111,17;0,03;0,00;0,00;
0,00;0,00;114,46;0,01;0,00;0,00;
0,00;0,00;119,62;0,01;0,00;0,00;
0,00;0,00;123,99;-0,01;0,00;0,00;
0,00;0,00;124,01;0,01;0,00;0,00;
0,00;0,00;124,11;0,03;0,00;0,00;
0,00;0,00;124,24;0,01;0,00;0,00;
0,00;0,00;124,37;0,01;0,00;0,00;
0,00;0,00;124,50;0,01;0,00;0,00;
0,00;0,00;124,62;0,01;0,00;0,00;
0,00;0,00;124,75;0,01;0,00;0,00;
0,00;0,00;124,88;0,01;0,00;0,00;
0,00;0,00;125,01;0,01;0,00;0,00;
0,00;0,00;125,14;0,01;0,00;0,00;
0,00;0,00;125,27;0,01;0,00;0,00;
0,00;0,00;125,39;0,02;0,00;0,00;
0,00;0,00;125,52;0,18;0,00;0,00;
0,00;0,00;125,65;0,44;0,00;0,00;
0,00;0,00;125,77;0,53;0,00;0,00;
0,00;0,00;125,90;0,60;0,00;0,00;
0,00;0,00;126,03;0,66;0,00;0,00;
0,00;0,00;126,16;0,74;0,00;0,00;
0,00;0,00;126,29;0,80;0,00;0,00;
0,00;0,00;126,42;0,82;0,00;0,00;
0,00;0,00;126,54;0,85;0,00;0,00;
0,00;0,00;126,67;0,87;0,00;0,00;
0,00;0,00;126,80;0,86;0,00;0,00;
0,00;0,00;126,93;0,91;0,00;0,00;
0,00;0,00;127,06;0,96;0,00;0,00;
0,00;0,00;127,19;1,00;0,00;0,00;
0,00;0,00;127,31;1,04;0,00;0,00;
0,00;0,00;127,44;1,08;0,00;0,00;
0,00;0,00;127,57;1,08;0,00;0,00;
0,00;0,00;127,70;1,10;0,00;0,00;
0,00;0,00;127,82;1,11;0,00;0,00;
0,00;0,00;127,96;1,11;0,00;0,00;
0,00;0,00;128,08;1,12;0,00;0,00;
