24060;16.07.21 09:08:49;21;Avvicinamento Pressata Finale;Alcun errore (0);20210715150850P0008;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;30,22;0,09;0,00;0,00;
0,00;0,00;33,30;0,12;0,00;0,00;
0,00;0,00;37,92;0,09;0,00;0,00;
0,00;0,00;42,72;0,04;0,00;0,00;
0,00;0,00;52,32;0,04;0,00;0,00;
0,00;0,00;57,12;0,04;0,00;0,00;
0,00;0,00;61,92;0,04;0,00;0,00;
0,00;0,00;71,52;0,04;0,00;0,00;
0,00;0,00;85,92;0,04;0,00;0,00;
0,00;0,00;95,52;0,09;0,00;0,00;
0,00;0,00;109,92;0,09;0,00;0,00;
0,00;0,00;114,72;0,04;0,00;0,00;
0,00;0,00;129,12;0,04;0,00;0,00;
0,00;0,00;133,92;0,04;0,00;0,00;
0,00;0,00;143,52;0,04;0,00;0,00;
0,00;0,00;148,32;0,04;0,00;0,00;
0,00;0,00;157,92;-0,04;0,00;0,00;
0,00;0,00;162,72;0,04;0,00;0,00;
0,00;0,00;177,12;0,04;0,00;0,00;
0,00;0,00;186,72;-0,04;0,00;0,00;
0,00;0,00;196,32;0,09;0,00;0,00;
0,00;0,00;201,12;0,04;0,00;0,00;
0,00;0,00;205,92;0,04;0,00;0,00;
0,00;0,00;210,72;0,04;0,00;0,00;
0,00;0,00;215,52;0,09;0,00;0,00;
0,00;0,00;220,32;0,09;0,00;0,00;
0,00;0,00;225,12;0,09;0,00;0,00;
0,00;0,00;229,92;0,04;0,00;0,00;
0,00;0,00;234,72;0,09;0,00;0,00;
0,00;0,00;249,12;0,09;0,00;0,00;
0,00;0,00;253,92;-0,04;0,00;0,00;
0,00;0,00;263,52;0,09;0,00;0,00;
0,00;0,00;268,32;0,04;0,00;0,00;
0,00;0,00;277,92;-0,04;0,00;0,00;
0,00;0,00;282,72;0,04;0,00;0,00;
0,00;0,00;287,13;0,04;0,00;0,00;
0,00;0,00;289,81;-0,04;0,00;0,00;
0,00;0,00;290,56;0,09;0,00;0,00;
0,00;0,00;290,77;0,04;0,00;0,00;
0,00;0,00;291,01;0,09;0,00;0,00;
0,00;0,00;291,53;0,09;0,00;0,00;
0,00;0,00;292,04;0,09;0,00;0,00;
0,00;0,00;292,30;0,04;0,00;0,00;
0,00;0,00;292,55;0,09;0,00;0,00;
0,00;0,00;293,07;0,13;0,00;0,00;
0,00;0,00;293,32;0,04;0,00;0,00;
0,00;0,00;293,58;0,13;0,00;0,00;
0,00;0,00;293,83;0,04;0,00;0,00;
0,00;0,00;294,09;0,13;0,00;0,00;
0,00;0,00;294,35;0,04;0,00;0,00;
0,00;0,00;294,60;0,04;0,00;0,00;
0,00;0,00;294,86;0,04;0,00;0,00;
0,00;0,00;295,11;0,09;0,00;0,00;
0,00;0,00;295,37;0,09;0,00;0,00;
0,00;0,00;295,63;0,13;0,00;0,00;
0,00;0,00;295,88;0,09;0,00;0,00;
0,00;0,00;296,14;0,09;0,00;0,00;
0,00;0,00;296,39;0,09;0,00;0,00;
0,00;0,00;296,65;0,04;0,00;0,00;
0,00;0,00;296,91;0,04;0,00;0,00;
0,00;0,00;297,16;0,09;0,00;0,00;
0,00;0,00;297,42;0,09;0,00;0,00;
0,00;0,00;297,67;0,13;0,00;0,00;
0,00;0,00;297,93;0,18;0,00;0,00;
0,00;0,00;298,19;0,21;0,00;0,00;
0,00;0,00;298,44;0,35;0,00;0,00;
0,00;0,00;298,70;0,35;0,00;0,00;
0,00;0,00;298,95;0,35;0,00;0,00;
0,00;0,00;299,21;0,35;0,00;0,00;
0,00;0,00;299,47;0,30;0,00;0,00;
0,00;0,00;299,72;0,26;0,00;0,00;
0,00;0,00;299,98;0,44;0,00;0,00;
0,00;0,00;300,22;2,87;0,00;0,00;
0,00;0,00;300,49;1,87;0,00;0,00;
0,00;0,00;300,75;1,96;0,00;0,00;
0,00;0,00;301,00;2,13;0,00;0,00;
0,00;0,00;301,26;2,26;0,00;0,00;
0,00;0,00;301,51;2,26;0,00;0,00;
0,00;0,00;301,77;2,44;0,00;0,00;
0,00;0,00;302,03;2,57;0,00;0,00;
0,00;0,00;302,28;2,61;0,00;0,00;
0,00;0,00;302,54;2,74;0,00;0,00;
0,00;0,00;302,79;2,83;0,00;0,00;
0,00;0,00;303,05;2,96;0,00;0,00;
0,00;0,00;303,31;3,13;0,00;0,00;
0,00;0,00;303,56;3,26;0,00;0,00;
0,00;0,00;303,82;3,26;0,00;0,00;
0,00;0,00;304,08;3,34;0,00;0,00;
0,00;0,00;304,33;3,43;0,00;0,00;
0,00;0,00;304,58;3,74;0,00;0,00;
0,00;0,00;304,84;3,87;0,00;0,00;
0,00;0,00;305,10;4,18;0,00;0,00;
0,00;0,00;305,35;4,18;0,00;0,00;
0,00;0,00;305,61;4,30;0,00;0,00;
0,00;0,00;305,87;4,35;0,00;0,00;
0,00;0,00;306,12;4,48;0,00;0,00;
0,00;0,00;306,38;4,61;0,00;0,00;
0,00;0,00;306,64;4,65;0,00;0,00;
0,00;0,00;306,89;4,79;0,00;0,00;
0,00;0,00;307,15;4,95;0,00;0,00;
0,00;0,00;307,40;5,09;0,00;0,00;
0,00;0,00;307,66;5,22;0,00;0,00;
0,00;0,00;307,91;5,30;0,00;0,00;
0,00;0,00;308,17;5,35;0,00;0,00;
0,00;0,00;308,43;5,70;0,00;0,00;
0,00;0,00;308,68;5,66;0,00;0,00;
0,00;0,00;308,94;5,91;0,00;0,00;
0,00;0,00;309,19;6,00;0,00;0,00;
0,00;0,00;309,45;6,13;0,00;0,00;
0,00;0,00;309,70;6,40;0,00;0,00;
0,00;0,00;309,96;6,52;0,00;0,00;
0,00;0,00;310,22;6,65;0,00;0,00;
0,00;0,00;310,47;6,74;0,00;0,00;
0,00;0,00;310,73;6,82;0,00;0,00;
0,00;0,00;310,99;6,96;0,00;0,00;
0,00;0,00;311,24;7,04;0,00;0,00;
0,00;0,00;311,50;7,04;0,00;0,00;
0,00;0,00;311,75;7,27;0,00;0,00;
0,00;0,00;312,01;7,30;0,00;0,00;
0,00;0,00;312,26;7,52;0,00;0,00;
0,00;0,00;312,52;7,57;0,00;0,00;
0,00;0,00;312,78;7,78;0,00;0,00;
0,00;0,00;313,03;7,92;0,00;0,00;
0,00;0,00;313,29;8,09;0,00;0,00;
0,00;0,00;313,55;8,13;0,00;0,00;
0,00;0,00;313,80;8,39;0,00;0,00;
0,00;0,00;314,03;16,74;0,00;0,00;
0,00;0,00;314,13;24,10;0,00;0,00;
0,00;0,00;314,15;24,83;0,00;0,00;
0,00;0,00;314,16;25,40;0,00;0,00;
0,00;0,00;314,17;25,79;0,00;0,00;
0,00;0,00;314,17;26,10;0,00;0,00;
0,00;0,00;314,18;26,35;0,00;0,00;
0,00;0,00;313,66;2,44;0,00;0,00;
0,00;0,00;311,02;-0,09;0,00;0,00;
0,00;0,00;306,55;-0,04;0,00;0,00;
0,00;0,00;301,77;-0,04;0,00;0,00;
