9641;15.04.21 10:05:47;22;Avvicinamento pre-pressata pressata Fuori Ingombro;start interrupted (14);20210414155028P0043;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;25,16;0,16;0,00;0,00;
0,00;0,00;25,70;0,16;0,00;0,00;
0,00;0,00;26,73;0,09;0,00;0,00;
0,00;0,00;28,26;0,11;0,00;0,00;
0,00;0,00;30,30;0,20;0,00;0,00;
0,00;0,00;32,86;0,23;0,00;0,00;
0,00;0,00;35,89;0,04;0,00;0,00;
0,00;0,00;39,05;0,09;0,00;0,00;
0,00;0,00;42,22;0,18;0,00;0,00;
0,00;0,00;45,46;0,06;0,00;0,00;
0,00;0,00;48,63;0,18;0,00;0,00;
0,00;0,00;51,85;0,11;0,00;0,00;
0,00;0,00;55,05;0,13;0,00;0,00;
0,00;0,00;58,26;0,11;0,00;0,00;
0,00;0,00;61,45;0,06;0,00;0,00;
0,00;0,00;64,65;0,16;0,00;0,00;
0,00;0,00;67,85;0,04;0,00;0,00;
0,00;0,00;71,05;0,13;0,00;0,00;
0,00;0,00;74,25;0,11;0,00;0,00;
0,00;0,00;77,45;0,06;0,00;0,00;
0,00;0,00;80,65;0,09;0,00;0,00;
0,00;0,00;83,85;0,11;0,00;0,00;
0,00;0,00;87,05;0,11;0,00;0,00;
0,00;0,00;90,25;0,09;0,00;0,00;
0,00;0,00;93,45;0,02;0,00;0,00;
0,00;0,00;96,65;0,09;0,00;0,00;
