14337;20.08.21 09:45:30;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);20210819150857A0218;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;39,96;0,14;0,00;0,00;
0,00;0,00;40,50;0,07;0,00;0,00;
0,00;0,00;41,53;0,14;0,00;0,00;
0,00;0,00;43,06;0,18;0,00;0,00;
0,00;0,00;45,10;0,11;0,00;0,00;
0,00;0,00;47,66;0,07;0,00;0,00;
0,00;0,00;50,71;0,09;0,00;0,00;
0,00;0,00;53,84;0,09;0,00;0,00;
0,00;0,00;57,02;0,16;0,00;0,00;
0,00;0,00;60,25;0,09;0,00;0,00;
0,00;0,00;63,44;0,05;0,00;0,00;
0,00;0,00;66,65;0,09;0,00;0,00;
0,00;0,00;69,85;0,07;0,00;0,00;
0,00;0,00;73,05;0,14;0,00;0,00;
0,00;0,00;76,25;0,09;0,00;0,00;
0,00;0,00;79,45;0,02;0,00;0,00;
0,00;0,00;82,65;0,09;0,00;0,00;
0,00;0,00;85,85;0,05;0,00;0,00;
0,00;0,00;89,05;0,14;0,00;0,00;
0,00;0,00;92,25;0,07;0,00;0,00;
0,00;0,00;95,45;0,02;0,00;0,00;
0,00;0,00;98,65;0,09;0,00;0,00;
0,00;0,00;101,85;0,02;0,00;0,00;
0,00;0,00;105,05;0,13;0,00;0,00;
0,00;0,00;108,25;0,09;0,00;0,00;
0,00;0,00;111,45;0,05;0,00;0,00;
0,00;0,00;114,65;0,09;0,00;0,00;
0,00;0,00;117,85;0,05;0,00;0,00;
0,00;0,00;121,05;0,13;0,00;0,00;
0,00;0,00;124,25;0,07;0,00;0,00;
0,00;0,00;127,45;0,05;0,00;0,00;
0,00;0,00;130,65;0,07;0,00;0,00;
0,00;0,00;133,85;0,05;0,00;0,00;
0,00;0,00;137,05;0,11;0,00;0,00;
0,00;0,00;140,25;0,09;0,00;0,00;
0,00;0,00;143,45;0,07;0,00;0,00;
0,00;0,00;146,65;0,09;0,00;0,00;
0,00;0,00;149,81;-0,02;0,00;0,00;
0,00;0,00;152,50;0,05;0,00;0,00;
0,00;0,00;156,53;-0,07;0,00;0,00;
0,00;0,00;157,80;-0,07;0,00;0,00;
0,00;0,00;158,57;-0,02;0,00;0,00;
0,00;0,00;158,84;-0,05;0,00;0,00;
0,00;0,00;159,05;-0,02;0,00;0,00;
0,00;0,00;159,19;0,05;0,00;0,00;
0,00;0,00;159,35;0,05;0,00;0,00;
0,00;0,00;159,51;0,02;0,00;0,00;
0,00;0,00;159,67;0,02;0,00;0,00;
0,00;0,00;159,83;0,02;0,00;0,00;
0,00;0,00;159,99;0,02;0,00;0,00;
0,00;0,00;160,15;0,02;0,00;0,00;
0,00;0,00;160,31;0,02;0,00;0,00;
0,00;0,00;160,47;0,02;0,00;0,00;
0,00;0,00;160,63;0,02;0,00;0,00;
0,00;0,00;160,79;0,16;0,00;0,00;
0,00;0,00;160,95;0,21;0,00;0,00;
0,00;0,00;161,11;0,21;0,00;0,00;
0,00;0,00;161,27;0,70;0,00;0,00;
0,00;0,00;161,42;1,09;0,00;0,00;
0,00;0,00;161,58;1,33;0,00;0,00;
0,00;0,00;161,74;1,47;0,00;0,00;
0,00;0,00;161,90;1,60;0,00;0,00;
0,00;0,00;162,06;1,74;0,00;0,00;
0,00;0,00;162,22;1,90;0,00;0,00;
0,00;0,00;162,39;2,01;0,00;0,00;
0,00;0,00;162,55;2,19;0,00;0,00;
0,00;0,00;162,71;2,35;0,00;0,00;
0,00;0,00;162,87;2,40;0,00;0,00;
0,00;0,00;163,03;2,56;0,00;0,00;
0,00;0,00;163,19;2,71;0,00;0,00;
0,00;0,00;163,35;2,83;0,00;0,00;
0,00;0,00;163,51;2,92;0,00;0,00;
0,00;0,00;163,67;3,05;0,00;0,00;
