14216;18.08.21 13:49:09;21;Avvicinamento Pressata Fuori Ingombro;force > max. force (8);20210817102551P0028;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;39,90;-0,02;0,00;0,00;
0,00;0,00;40,17;0,18;0,00;0,00;
0,00;0,00;40,96;0,13;0,00;0,00;
0,00;0,00;42,23;0,06;0,00;0,00;
0,00;0,00;44,02;0,13;0,00;0,00;
0,00;0,00;46,32;0,20;0,00;0,00;
0,00;0,00;49,14;0,16;0,00;0,00;
0,00;0,00;52,30;0,05;0,00;0,00;
0,00;0,00;55,42;0,06;0,00;0,00;
0,00;0,00;58,64;0,06;0,00;0,00;
0,00;0,00;61,84;0,06;0,00;0,00;
0,00;0,00;65,04;0,11;0,00;0,00;
0,00;0,00;68,25;0,09;0,00;0,00;
0,00;0,00;71,45;0,06;0,00;0,00;
0,00;0,00;74,65;0,09;0,00;0,00;
0,00;0,00;77,85;0,09;0,00;0,00;
0,00;0,00;81,05;0,11;0,00;0,00;
0,00;0,00;84,25;0,09;0,00;0,00;
0,00;0,00;87,45;0,04;0,00;0,00;
0,00;0,00;90,65;0,09;0,00;0,00;
0,00;0,00;93,85;0,06;0,00;0,00;
0,00;0,00;97,05;0,09;0,00;0,00;
0,00;0,00;100,25;0,11;0,00;0,00;
0,00;0,00;103,45;0,02;0,00;0,00;
0,00;0,00;106,65;0,06;0,00;0,00;
0,00;0,00;109,85;0,06;0,00;0,00;
0,00;0,00;113,05;0,13;0,00;0,00;
0,00;0,00;116,25;0,06;0,00;0,00;
0,00;0,00;119,45;0,02;0,00;0,00;
0,00;0,00;122,65;0,06;0,00;0,00;
0,00;0,00;125,85;0,04;0,00;0,00;
0,00;0,00;129,05;0,11;0,00;0,00;
0,00;0,00;132,25;0,07;0,00;0,00;
0,00;0,00;135,45;0,04;0,00;0,00;
0,00;0,00;138,65;0,09;0,00;0,00;
0,00;0,00;141,85;0,02;0,00;0,00;
0,00;0,00;145,05;0,11;0,00;0,00;
0,00;0,00;148,25;0,09;0,00;0,00;
0,00;0,00;151,45;0,02;0,00;0,00;
0,00;0,00;154,65;0,09;0,00;0,00;
0,00;0,00;157,85;0,04;0,00;0,00;
0,00;0,00;161,05;0,18;0,00;0,00;
0,00;0,00;166,24;-0,05;0,00;0,00;
0,00;0,00;168,14;-0,02;0,00;0,00;
0,00;0,00;170,42;-0,02;0,00;0,00;
0,00;0,00;170,89;0,02;0,00;0,00;
0,00;0,00;170,92;-0,02;0,00;0,00;
0,00;0,00;171,19;0,07;0,00;0,00;
0,00;0,00;171,35;0,07;0,00;0,00;
0,00;0,00;171,51;0,05;0,00;0,00;
0,00;0,00;171,67;0,02;0,00;0,00;
0,00;0,00;171,83;0,23;0,00;0,00;
0,00;0,00;171,99;0,27;0,00;0,00;
0,00;0,00;172,14;3,16;0,00;0,00;
0,00;0,00;172,24;4,88;0,00;0,00;
0,00;0,00;172,25;4,34;0,00;0,00;
0,00;0,00;172,26;4,16;0,00;0,00;
0,00;0,00;172,27;4,02;0,00;0,00;
0,00;0,00;172,27;3,86;0,00;0,00;
0,00;0,00;172,27;3,79;0,00;0,00;
0,00;0,00;172,27;3,71;0,00;0,00;
0,00;0,00;172,28;3,66;0,00;0,00;
0,00;0,00;172,28;3,61;0,00;0,00;
0,00;0,00;172,28;3,59;0,00;0,00;
0,00;0,00;172,28;3,53;0,00;0,00;
0,00;0,00;172,28;3,48;0,00;0,00;
0,00;0,00;172,28;3,44;0,00;0,00;
0,00;0,00;172,28;3,44;0,00;0,00;
