1952;12.05.20 11:28:22;22;Avvicinamento pre-pressata pressata Fuori Ingombro;wrong softlimit spindle data (74);20200508123936P0043;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;0,06;0,20;0,00;0,00;
0,00;0,00;0,59;0,16;0,00;0,00;
0,00;0,00;1,62;0,13;0,00;0,00;
0,00;0,00;3,15;0,16;0,00;0,00;
0,00;0,00;5,19;0,18;0,00;0,00;
0,00;0,00;7,76;0,20;0,00;0,00;
0,00;0,00;10,80;0,02;0,00;0,00;
0,00;0,00;13,94;0,11;0,00;0,00;
0,00;0,00;17,10;0,25;0,00;0,00;
0,00;0,00;20,37;0,04;0,00;0,00;
0,00;0,00;23,51;0,11;0,00;0,00;
0,00;0,00;26,75;0,09;0,00;0,00;
0,00;0,00;29,93;0,11;0,00;0,00;
0,00;0,00;33,15;0,18;0,00;0,00;
0,00;0,00;36,34;0,09;0,00;0,00;
0,00;0,00;39,55;0,16;0,00;0,00;
0,00;0,00;42,74;0,09;0,00;0,00;
0,00;0,00;45,94;0,11;0,00;0,00;
0,00;0,00;49,15;0,13;0,00;0,00;
0,00;0,00;52,35;0,06;0,00;0,00;
0,00;0,00;55,55;0,09;0,00;0,00;
0,00;0,00;58,74;0,13;0,00;0,00;
0,00;0,00;61,95;0,09;0,00;0,00;
0,00;0,00;65,15;0,13;0,00;0,00;
0,00;0,00;68,35;0,04;0,00;0,00;
0,00;0,00;71,55;0,11;0,00;0,00;
0,00;0,00;74,75;0,11;0,00;0,00;
0,00;0,00;77,95;0,11;0,00;0,00;
0,00;0,00;81,15;0,13;0,00;0,00;
0,00;0,00;84,35;0,06;0,00;0,00;
0,00;0,00;87,55;0,11;0,00;0,00;
0,00;0,00;90,75;0,07;0,00;0,00;
0,00;0,00;93,95;0,09;0,00;0,00;
0,00;0,00;97,15;0,18;0,00;0,00;
0,00;0,00;100,35;0,06;0,00;0,00;
0,00;0,00;103,55;0,09;0,00;0,00;
0,00;0,00;106,75;0,09;0,00;0,00;
0,00;0,00;109,95;0,09;0,00;0,00;
0,00;0,00;113,15;0,16;0,00;0,00;
0,00;0,00;116,35;0,06;0,00;0,00;
0,00;0,00;119,55;0,13;0,00;0,00;
0,00;0,00;122,75;0,13;0,00;0,00;
0,00;0,00;125,95;0,13;0,00;0,00;
0,00;0,00;131,51;0,02;0,00;0,00;
0,00;0,00;133,60;0,02;0,00;0,00;
0,00;0,00;135,21;0,05;0,00;0,00;
0,00;0,00;137,07;0,05;0,00;0,00;
0,00;0,00;137,12;0,02;0,00;0,00;
0,00;0,00;137,18;0,06;0,00;0,00;
0,00;0,00;137,32;0,05;0,00;0,00;
0,00;0,00;137,47;0,02;0,00;0,00;
0,00;0,00;137,63;0,02;0,00;0,00;
0,00;0,00;137,79;0,02;0,00;0,00;
0,00;0,00;137,95;0,05;0,00;0,00;
0,00;0,00;138,11;0,09;0,00;0,00;
0,00;0,00;138,27;0,09;0,00;0,00;
0,00;0,00;138,43;0,09;0,00;0,00;
0,00;0,00;138,59;0,07;0,00;0,00;
0,00;0,00;138,75;0,09;0,00;0,00;
0,00;0,00;138,91;0,07;0,00;0,00;
0,00;0,00;139,07;0,09;0,00;0,00;
0,00;0,00;139,23;0,09;0,00;0,00;
0,00;0,00;139,39;0,09;0,00;0,00;
0,00;0,00;139,55;0,09;0,00;0,00;
0,00;0,00;139,71;0,09;0,00;0,00;
0,00;0,00;139,87;0,05;0,00;0,00;
0,00;0,00;140,03;0,09;0,00;0,00;
0,00;0,00;140,19;0,07;0,00;0,00;
0,00;0,00;140,35;0,07;0,00;0,00;
0,00;0,00;140,51;0,05;0,00;0,00;
0,00;0,00;140,67;0,09;0,00;0,00;
0,00;0,00;140,83;0,09;0,00;0,00;
0,00;0,00;140,99;0,09;0,00;0,00;
0,00;0,00;141,15;0,07;0,00;0,00;
0,00;0,00;141,31;0,09;0,00;0,00;
0,00;0,00;141,47;0,07;0,00;0,00;
0,00;0,00;141,63;0,09;0,00;0,00;
0,00;0,00;141,79;0,07;0,00;0,00;
0,00;0,00;141,95;0,02;0,00;0,00;
0,00;0,00;142,11;0,09;0,00;0,00;
0,00;0,00;142,27;0,09;0,00;0,00;
0,00;0,00;142,43;0,09;0,00;0,00;
0,00;0,00;142,59;0,09;0,00;0,00;
0,00;0,00;142,75;0,09;0,00;0,00;
0,00;0,00;142,91;0,09;0,00;0,00;
0,00;0,00;143,07;0,07;0,00;0,00;
0,00;0,00;143,23;0,09;0,00;0,00;
0,00;0,00;143,39;0,09;0,00;0,00;
0,00;0,00;143,55;0,09;0,00;0,00;
0,00;0,00;143,71;0,09;0,00;0,00;
0,00;0,00;143,87;0,07;0,00;0,00;
0,00;0,00;144,03;0,09;0,00;0,00;
0,00;0,00;144,19;0,09;0,00;0,00;
0,00;0,00;144,35;0,07;0,00;0,00;
0,00;0,00;144,51;0,09;0,00;0,00;
0,00;0,00;144,67;0,07;0,00;0,00;
0,00;0,00;144,83;0,09;0,00;0,00;
0,00;0,00;144,99;0,09;0,00;0,00;
0,00;0,00;145,15;0,07;0,00;0,00;
0,00;0,00;145,31;0,09;0,00;0,00;
0,00;0,00;145,47;0,07;0,00;0,00;
