1923;12.05.20 09:04:17;22;Avvicinamento pre-pressata pressata Fuori Ingombro;wrong softlimit spindle data (74);20200508123936P0043;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;0,06;0,18;0,00;0,00;
0,00;0,00;0,59;0,13;0,00;0,00;
0,00;0,00;1,61;0,16;0,00;0,00;
0,00;0,00;3,15;0,16;0,00;0,00;
0,00;0,00;5,19;0,16;0,00;0,00;
0,00;0,00;7,75;0,23;0,00;0,00;
0,00;0,00;10,79;0,04;0,00;0,00;
0,00;0,00;13,94;0,09;0,00;0,00;
0,00;0,00;17,10;0,27;0,00;0,00;
0,00;0,00;20,37;0,05;0,00;0,00;
0,00;0,00;23,52;0,11;0,00;0,00;
0,00;0,00;26,75;0,09;0,00;0,00;
0,00;0,00;29,94;0,09;0,00;0,00;
0,00;0,00;33,15;0,18;0,00;0,00;
0,00;0,00;36,35;0,02;0,00;0,00;
0,00;0,00;39,55;0,11;0,00;0,00;
0,00;0,00;42,75;0,06;0,00;0,00;
0,00;0,00;45,95;0,11;0,00;0,00;
0,00;0,00;49,15;0,13;0,00;0,00;
0,00;0,00;52,35;0,06;0,00;0,00;
0,00;0,00;55,55;0,11;0,00;0,00;
0,00;0,00;58,75;0,13;0,00;0,00;
0,00;0,00;61,95;0,06;0,00;0,00;
0,00;0,00;65,15;0,13;0,00;0,00;
0,00;0,00;68,35;0,04;0,00;0,00;
0,00;0,00;71,55;0,16;0,00;0,00;
0,00;0,00;74,75;0,11;0,00;0,00;
0,00;0,00;77,95;0,06;0,00;0,00;
0,00;0,00;81,15;0,18;0,00;0,00;
0,00;0,00;84,35;0,06;0,00;0,00;
0,00;0,00;87,55;0,09;0,00;0,00;
0,00;0,00;90,75;0,11;0,00;0,00;
0,00;0,00;93,95;0,06;0,00;0,00;
0,00;0,00;97,15;0,16;0,00;0,00;
0,00;0,00;100,35;0,06;0,00;0,00;
0,00;0,00;103,55;0,13;0,00;0,00;
0,00;0,00;106,75;0,11;0,00;0,00;
0,00;0,00;109,95;0,09;0,00;0,00;
0,00;0,00;113,15;0,13;0,00;0,00;
0,00;0,00;116,35;0,06;0,00;0,00;
0,00;0,00;119,55;0,11;0,00;0,00;
0,00;0,00;122,75;0,13;0,00;0,00;
0,00;0,00;125,95;0,09;0,00;0,00;
0,00;0,00;129,15;0,18;0,00;0,00;
0,00;0,00;132,35;0,02;0,00;0,00;
0,00;0,00;135,55;0,11;0,00;0,00;
0,00;0,00;138,75;0,09;0,00;0,00;
0,00;0,00;141,95;0,09;0,00;0,00;
0,00;0,00;145,15;0,18;0,00;0,00;
0,00;0,00;148,35;0,06;0,00;0,00;
0,00;0,00;151,55;0,09;0,00;0,00;
0,00;0,00;154,75;0,09;0,00;0,00;
0,00;0,00;157,95;0,06;0,00;0,00;
0,00;0,00;161,15;0,20;0,00;0,00;
0,00;0,00;164,35;0,09;0,00;0,00;
0,00;0,00;167,55;0,11;0,00;0,00;
0,00;0,00;170,75;0,09;0,00;0,00;
0,00;0,00;173,95;0,11;0,00;0,00;
0,00;0,00;177,15;0,13;0,00;0,00;
0,00;0,00;180,35;0,04;0,00;0,00;
0,00;0,00;183,55;0,11;0,00;0,00;
0,00;0,00;186,75;0,06;0,00;0,00;
0,00;0,00;189,65;0,04;0,00;0,00;
0,00;0,00;192,07;-0,02;0,00;0,00;
0,00;0,00;194,03;-0,05;0,00;0,00;
0,00;0,00;196,99;0,05;0,00;0,00;
0,00;0,00;197,12;0,02;0,00;0,00;
0,00;0,00;197,26;0,07;0,00;0,00;
0,00;0,00;197,41;0,02;0,00;0,00;
0,00;0,00;197,57;0,05;0,00;0,00;
0,00;0,00;197,73;0,02;0,00;0,00;
0,00;0,00;198,05;0,05;0,00;0,00;
0,00;0,00;198,21;0,07;0,00;0,00;
0,00;0,00;198,37;0,02;0,00;0,00;
0,00;0,00;198,53;0,02;0,00;0,00;
0,00;0,00;198,69;0,05;0,00;0,00;
0,00;0,00;198,85;0,07;0,00;0,00;
0,00;0,00;199,00;0,02;0,00;0,00;
0,00;0,00;199,01;0,02;0,00;0,00;
