11307;06.11.20 15:34:44;21;Avvicinamento Pressata Fuori Ingombro;Alcun errore (0);20201106131742P0037;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;17,76;0,05;0,00;0,00;
0,00;0,00;18,55;0,04;0,00;0,00;
0,00;0,00;19,84;0,04;0,00;0,00;
0,00;0,00;21,65;0,05;0,00;0,00;
0,00;0,00;23,97;0,04;0,00;0,00;
0,00;0,00;26,80;0,06;0,00;0,00;
0,00;0,00;30,14;0,06;0,00;0,00;
0,00;0,00;33,62;0,03;0,00;0,00;
0,00;0,00;37,15;0,03;0,00;0,00;
0,00;0,00;40,67;0,04;0,00;0,00;
0,00;0,00;44,19;0,04;0,00;0,00;
0,00;0,00;47,71;0,03;0,00;0,00;
0,00;0,00;51,23;0,03;0,00;0,00;
0,00;0,00;54,74;0,04;0,00;0,00;
0,00;0,00;58,27;0,04;0,00;0,00;
0,00;0,00;61,79;0,03;0,00;0,00;
0,00;0,00;65,31;0,02;0,00;0,00;
0,00;0,00;68,83;0,03;0,00;0,00;
0,00;0,00;72,35;0,03;0,00;0,00;
0,00;0,00;75,86;0,04;0,00;0,00;
0,00;0,00;79,39;0,04;0,00;0,00;
0,00;0,00;82,91;0,02;0,00;0,00;
0,00;0,00;86,43;0,02;0,00;0,00;
0,00;0,00;89,95;0,03;0,00;0,00;
0,00;0,00;93,47;0,04;0,00;0,00;
0,00;0,00;96,99;0,04;0,00;0,00;
0,00;0,00;100,51;0,04;0,00;0,00;
0,00;0,00;104,03;0,03;0,00;0,00;
0,00;0,00;107,43;-0,01;0,00;0,00;
0,00;0,00;110,36;0,01;0,00;0,00;
0,00;0,00;112,80;0,01;0,00;0,00;
0,00;0,00;114,72;0,01;0,00;0,00;
0,00;0,00;116,14;0,01;0,00;0,00;
0,00;0,00;117,06;-0,01;0,00;0,00;
0,00;0,00;117,47;-0,01;0,00;0,00;
0,00;0,00;117,51;0,01;0,00;0,00;
0,00;0,00;117,55;0,01;0,00;0,00;
0,00;0,00;117,63;0,02;0,00;0,00;
0,00;0,00;117,71;0,02;0,00;0,00;
0,00;0,00;117,79;0,02;0,00;0,00;
0,00;0,00;117,87;0,02;0,00;0,00;
0,00;0,00;117,95;0,02;0,00;0,00;
0,00;0,00;118,03;0,02;0,00;0,00;
0,00;0,00;118,11;0,02;0,00;0,00;
0,00;0,00;118,19;0,02;0,00;0,00;
0,00;0,00;118,27;0,02;0,00;0,00;
0,00;0,00;118,35;0,02;0,00;0,00;
0,00;0,00;118,43;0,02;0,00;0,00;
0,00;0,00;118,51;0,01;0,00;0,00;
0,00;0,00;118,59;0,02;0,00;0,00;
0,00;0,00;118,67;0,02;0,00;0,00;
0,00;0,00;118,75;0,01;0,00;0,00;
0,00;0,00;118,83;0,02;0,00;0,00;
0,00;0,00;118,91;0,02;0,00;0,00;
0,00;0,00;118,99;0,02;0,00;0,00;
0,00;0,00;119,07;0,02;0,00;0,00;
0,00;0,00;119,16;0,02;0,00;0,00;
0,00;0,00;119,24;0,02;0,00;0,00;
0,00;0,00;119,31;0,02;0,00;0,00;
0,00;0,00;119,39;0,02;0,00;0,00;
0,00;0,00;119,47;0,02;0,00;0,00;
0,00;0,00;119,55;0,02;0,00;0,00;
0,00;0,00;119,63;0,02;0,00;0,00;
0,00;0,00;119,71;0,02;0,00;0,00;
0,00;0,00;119,79;0,02;0,00;0,00;
0,00;0,00;119,87;0,02;0,00;0,00;
0,00;0,00;119,96;0,02;0,00;0,00;
0,00;0,00;120,04;0,02;0,00;0,00;
0,00;0,00;120,11;0,02;0,00;0,00;
0,00;0,00;120,19;0,02;0,00;0,00;
0,00;0,00;120,27;0,02;0,00;0,00;
0,00;0,00;120,36;0,02;0,00;0,00;
0,00;0,00;120,43;0,02;0,00;0,00;
0,00;0,00;120,51;0,02;0,00;0,00;
0,00;0,00;120,59;0,02;0,00;0,00;
0,00;0,00;120,68;0,02;0,00;0,00;
0,00;0,00;120,75;0,02;0,00;0,00;
0,00;0,00;120,83;0,02;0,00;0,00;
0,00;0,00;120,92;0,02;0,00;0,00;
0,00;0,00;121,00;0,02;0,00;0,00;
0,00;0,00;121,08;0,02;0,00;0,00;
0,00;0,00;121,15;0,02;0,00;0,00;
0,00;0,00;121,23;0,02;0,00;0,00;
0,00;0,00;121,32;0,02;0,00;0,00;
0,00;0,00;121,40;0,02;0,00;0,00;
0,00;0,00;121,47;0,02;0,00;0,00;
0,00;0,00;121,55;0,02;0,00;0,00;
0,00;0,00;121,64;0,02;0,00;0,00;
0,00;0,00;121,72;0,02;0,00;0,00;
0,00;0,00;121,79;0,02;0,00;0,00;
0,00;0,00;121,87;0,02;0,00;0,00;
0,00;0,00;121,95;0,02;0,00;0,00;
0,00;0,00;122,03;0,02;0,00;0,00;
0,00;0,00;122,11;0,02;0,00;0,00;
0,00;0,00;122,19;0,02;0,00;0,00;
0,00;0,00;122,27;0,02;0,00;0,00;
0,00;0,00;122,36;0,02;0,00;0,00;
0,00;0,00;122,43;0,02;0,00;0,00;
0,00;0,00;122,51;0,02;0,00;0,00;
0,00;0,00;122,59;0,02;0,00;0,00;
0,00;0,00;122,67;0,02;0,00;0,00;
0,00;0,00;122,75;0,02;0,00;0,00;
0,00;0,00;122,83;0,01;0,00;0,00;
0,00;0,00;122,92;0,02;0,00;0,00;
0,00;0,00;123,00;0,02;0,00;0,00;
0,00;0,00;123,07;0,02;0,00;0,00;
0,00;0,00;123,16;0,02;0,00;0,00;
0,00;0,00;123,23;0,02;0,00;0,00;
0,00;0,00;123,31;0,02;0,00;0,00;
0,00;0,00;123,39;0,02;0,00;0,00;
0,00;0,00;123,48;0,01;0,00;0,00;
0,00;0,00;123,56;0,02;0,00;0,00;
0,00;0,00;123,63;0,02;0,00;0,00;
0,00;0,00;123,71;0,02;0,00;0,00;
0,00;0,00;123,80;0,02;0,00;0,00;
0,00;0,00;123,87;0,02;0,00;0,00;
0,00;0,00;123,95;0,02;0,00;0,00;
0,00;0,00;124,03;0,02;0,00;0,00;
0,00;0,00;124,12;0,02;0,00;0,00;
0,00;0,00;124,19;0,02;0,00;0,00;
0,00;0,00;124,27;0,02;0,00;0,00;
0,00;0,00;124,36;0,02;0,00;0,00;
0,00;0,00;124,43;0,02;0,00;0,00;
0,00;0,00;124,51;0,02;0,00;0,00;
0,00;0,00;124,59;0,02;0,00;0,00;
0,00;0,00;124,67;0,02;0,00;0,00;
0,00;0,00;124,76;0,02;0,00;0,00;
0,00;0,00;124,84;0,02;0,00;0,00;
0,00;0,00;124,91;0,02;0,00;0,00;
0,00;0,00;124,99;0,02;0,00;0,00;
0,00;0,00;125,07;0,02;0,00;0,00;
0,00;0,00;125,16;0,02;0,00;0,00;
0,00;0,00;125,23;0,02;0,00;0,00;
0,00;0,00;125,31;0,02;0,00;0,00;
0,00;0,00;125,39;0,02;0,00;0,00;
0,00;0,00;125,48;0,02;0,00;0,00;
0,00;0,00;125,55;0,02;0,00;0,00;
0,00;0,00;125,63;0,02;0,00;0,00;
0,00;0,00;125,71;0,02;0,00;0,00;
0,00;0,00;125,79;0,02;0,00;0,00;
0,00;0,00;125,87;0,02;0,00;0,00;
0,00;0,00;125,96;0,02;0,00;0,00;
0,00;0,00;126,04;0,02;0,00;0,00;
0,00;0,00;126,11;0,02;0,00;0,00;
0,00;0,00;126,19;0,02;0,00;0,00;
0,00;0,00;126,27;0,02;0,00;0,00;
0,00;0,00;126,36;0,02;0,00;0,00;
0,00;0,00;126,43;0,02;0,00;0,00;
0,00;0,00;126,51;0,02;0,00;0,00;
0,00;0,00;126,59;0,02;0,00;0,00;
0,00;0,00;126,67;0,02;0,00;0,00;
0,00;0,00;126,76;0,02;0,00;0,00;
0,00;0,00;126,83;0,02;0,00;0,00;
0,00;0,00;126,91;0,02;0,00;0,00;
0,00;0,00;126,99;0,02;0,00;0,00;
0,00;0,00;127,07;0,02;0,00;0,00;
0,00;0,00;127,16;0,02;0,00;0,00;
0,00;0,00;127,24;0,02;0,00;0,00;
0,00;0,00;127,31;0,02;0,00;0,00;
0,00;0,00;127,39;0,02;0,00;0,00;
0,00;0,00;127,47;0,02;0,00;0,00;
0,00;0,00;127,56;0,02;0,00;0,00;
0,00;0,00;127,63;0,02;0,00;0,00;
0,00;0,00;127,71;0,02;0,00;0,00;
0,00;0,00;127,79;0,02;0,00;0,00;
0,00;0,00;127,87;0,02;0,00;0,00;
0,00;0,00;127,96;0,02;0,00;0,00;
0,00;0,00;128,03;0,02;0,00;0,00;
0,00;0,00;128,11;0,02;0,00;0,00;
0,00;0,00;128,19;0,02;0,00;0,00;
0,00;0,00;128,27;0,02;0,00;0,00;
0,00;0,00;128,35;0,02;0,00;0,00;
0,00;0,00;128,43;0,02;0,00;0,00;
0,00;0,00;128,52;0,02;0,00;0,00;
0,00;0,00;128,60;0,02;0,00;0,00;
0,00;0,00;128,67;0,02;0,00;0,00;
0,00;0,00;128,75;0,02;0,00;0,00;
0,00;0,00;128,83;0,02;0,00;0,00;
0,00;0,00;128,91;0,02;0,00;0,00;
0,00;0,00;128,99;0,02;0,00;0,00;
0,00;0,00;129,07;0,02;0,00;0,00;
0,00;0,00;129,15;0,01;0,00;0,00;
0,00;0,00;129,24;0,01;0,00;0,00;
0,00;0,00;129,31;0,02;0,00;0,00;
0,00;0,00;129,39;0,04;0,00;0,00;
0,00;0,00;129,47;0,08;0,00;0,00;
0,00;0,00;129,55;0,11;0,00;0,00;
0,00;0,00;129,63;0,14;0,00;0,00;
0,00;0,00;129,71;0,17;0,00;0,00;
0,00;0,00;129,79;0,14;0,00;0,00;
0,00;0,00;129,87;0,17;0,00;0,00;
0,00;0,00;129,95;0,17;0,00;0,00;
0,00;0,00;130,04;0,15;0,00;0,00;
0,00;0,00;130,11;0,17;0,00;0,00;
0,00;0,00;130,19;0,14;0,00;0,00;
0,00;0,00;130,27;0,18;0,00;0,00;
0,00;0,00;130,36;0,16;0,00;0,00;
0,00;0,00;130,44;0,19;0,00;0,00;
0,00;0,00;130,52;0,16;0,00;0,00;
0,00;0,00;130,60;0,17;0,00;0,00;
0,00;0,00;130,68;0,18;0,00;0,00;
0,00;0,00;130,76;0,17;0,00;0,00;
0,00;0,00;130,83;0,20;0,00;0,00;
0,00;0,00;130,91;0,17;0,00;0,00;
0,00;0,00;131,00;0,20;0,00;0,00;
0,00;0,00;131,08;0,17;0,00;0,00;
0,00;0,00;131,15;0,20;0,00;0,00;
0,00;0,00;131,23;0,18;0,00;0,00;
0,00;0,00;131,32;0,18;0,00;0,00;
0,00;0,00;131,40;0,19;0,00;0,00;
0,00;0,00;131,47;0,17;0,00;0,00;
0,00;0,00;131,55;0,20;0,00;0,00;
0,00;0,00;131,64;0,17;0,00;0,00;
0,00;0,00;131,72;0,22;0,00;0,00;
0,00;0,00;131,79;0,19;0,00;0,00;
