2601;14.01.20 10:58:03;21;Avvicinamento Pressata Fuori Ingombro;Alcun errore (0);20200114104521;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;44,17;0,23;0,00;0,00;
0,00;0,00;44,95;0,16;0,00;0,00;
0,00;0,00;46,21;0,18;0,00;0,00;
0,00;0,00;48,00;0,18;0,00;0,00;
0,00;0,00;50,31;0,20;0,00;0,00;
0,00;0,00;53,12;0,18;0,00;0,00;
0,00;0,00;56,28;0,14;0,00;0,00;
0,00;0,00;59,40;0,18;0,00;0,00;
0,00;0,00;62,65;0,20;0,00;0,00;
0,00;0,00;65,84;0,14;0,00;0,00;
0,00;0,00;69,04;0,16;0,00;0,00;
0,00;0,00;72,24;0,16;0,00;0,00;
0,00;0,00;75,45;0,09;0,00;0,00;
0,00;0,00;78,65;0,14;0,00;0,00;
0,00;0,00;81,85;0,12;0,00;0,00;
0,00;0,00;85,05;0,14;0,00;0,00;
0,00;0,00;88,25;0,14;0,00;0,00;
0,00;0,00;91,45;0,12;0,00;0,00;
0,00;0,00;94,65;0,18;0,00;0,00;
0,00;0,00;97,85;0,14;0,00;0,00;
0,00;0,00;101,05;0,16;0,00;0,00;
0,00;0,00;104,25;0,18;0,00;0,00;
0,00;0,00;107,45;0,14;0,00;0,00;
0,00;0,00;110,65;0,18;0,00;0,00;
0,00;0,00;113,85;0,14;0,00;0,00;
0,00;0,00;117,05;0,16;0,00;0,00;
0,00;0,00;120,25;0,16;0,00;0,00;
0,00;0,00;123,45;0,14;0,00;0,00;
0,00;0,00;126,65;0,16;0,00;0,00;
0,00;0,00;129,85;0,16;0,00;0,00;
0,00;0,00;133,05;0,14;0,00;0,00;
0,00;0,00;136,25;0,16;0,00;0,00;
0,00;0,00;139,45;0,12;0,00;0,00;
0,00;0,00;142,65;0,16;0,00;0,00;
0,00;0,00;145,85;0,14;0,00;0,00;
0,00;0,00;149,05;0,14;0,00;0,00;
0,00;0,00;152,25;0,14;0,00;0,00;
0,00;0,00;155,45;0,12;0,00;0,00;
0,00;0,00;158,65;0,14;0,00;0,00;
0,00;0,00;161,85;0,14;0,00;0,00;
0,00;0,00;165,01;0,07;0,00;0,00;
0,00;0,00;167,70;0,09;0,00;0,00;
0,00;0,00;169,94;0,09;0,00;0,00;
0,00;0,00;171,70;0,05;0,00;0,00;
0,00;0,00;172,94;0,02;0,00;0,00;
0,00;0,00;173,90;0,02;0,00;0,00;
0,00;0,00;173,97;0,02;0,00;0,00;
