49755;09.07.21 09:38:18;21;Avvicinamento Pressata Fuori Ingombro;Alcun errore (0);20210709083512P0038;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;22,54;0,61;0,00;0,00;
0,00;0,00;23,15;0,61;0,00;0,00;
0,00;0,00;24,11;0,55;0,00;0,00;
0,00;0,00;25,45;0,53;0,00;0,00;
0,00;0,00;27,19;0,53;0,00;0,00;
0,00;0,00;29,31;0,61;0,00;0,00;
0,00;0,00;31,67;0,47;0,00;0,00;
0,00;0,00;34,03;0,47;0,00;0,00;
0,00;0,00;36,44;0,39;0,00;0,00;
0,00;0,00;38,84;0,31;0,00;0,00;
0,00;0,00;41,25;0,39;0,00;0,00;
0,00;0,00;43,64;0,31;0,00;0,00;
0,00;0,00;46,05;0,47;0,00;0,00;
0,00;0,00;48,45;0,47;0,00;0,00;
0,00;0,00;50,85;0,47;0,00;0,00;
0,00;0,00;53,25;0,39;0,00;0,00;
0,00;0,00;55,64;0,39;0,00;0,00;
0,00;0,00;58,05;0,39;0,00;0,00;
0,00;0,00;60,45;0,47;0,00;0,00;
0,00;0,00;62,85;0,31;0,00;0,00;
0,00;0,00;65,25;0,31;0,00;0,00;
0,00;0,00;67,64;0,39;0,00;0,00;
0,00;0,00;70,05;0,31;0,00;0,00;
0,00;0,00;72,45;0,39;0,00;0,00;
0,00;0,00;74,85;0,39;0,00;0,00;
0,00;0,00;77,25;0,39;0,00;0,00;
0,00;0,00;79,64;0,31;0,00;0,00;
0,00;0,00;82,05;0,39;0,00;0,00;
0,00;0,00;84,45;0,39;0,00;0,00;
0,00;0,00;86,85;0,31;0,00;0,00;
0,00;0,00;89,25;0,31;0,00;0,00;
0,00;0,00;91,64;0,23;0,00;0,00;
0,00;0,00;94,05;0,23;0,00;0,00;
0,00;0,00;96,45;0,31;0,00;0,00;
0,00;0,00;98,85;0,31;0,00;0,00;
0,00;0,00;101,25;0,31;0,00;0,00;
0,00;0,00;103,64;0,31;0,00;0,00;
0,00;0,00;106,05;0,23;0,00;0,00;
0,00;0,00;108,45;0,31;0,00;0,00;
0,00;0,00;110,85;0,47;0,00;0,00;
0,00;0,00;113,25;0,23;0,00;0,00;
0,00;0,00;115,64;0,31;0,00;0,00;
0,00;0,00;118,05;0,31;0,00;0,00;
0,00;0,00;120,45;0,31;0,00;0,00;
0,00;0,00;122,85;0,31;0,00;0,00;
0,00;0,00;125,25;0,39;0,00;0,00;
0,00;0,00;127,64;0,31;0,00;0,00;
0,00;0,00;130,05;0,31;0,00;0,00;
0,00;0,00;132,45;0,31;0,00;0,00;
0,00;0,00;134,85;0,31;0,00;0,00;
0,00;0,00;137,25;0,39;0,00;0,00;
0,00;0,00;139,64;0,31;0,00;0,00;
0,00;0,00;142,05;0,31;0,00;0,00;
0,00;0,00;144,45;0,23;0,00;0,00;
0,00;0,00;146,85;0,39;0,00;0,00;
0,00;0,00;149,25;0,39;0,00;0,00;
0,00;0,00;151,64;0,31;0,00;0,00;
0,00;0,00;154,05;0,39;0,00;0,00;
