3346;12.02.20 14:57:08;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);20200212111224;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;41,90;-0,02;0,00;0,00;
0,00;0,00;41,96;0,13;0,00;0,00;
0,00;0,00;42,50;0,11;0,00;0,00;
0,00;0,00;43,52;0,13;0,00;0,00;
0,00;0,00;45,04;0,18;0,00;0,00;
0,00;0,00;47,09;0,13;0,00;0,00;
0,00;0,00;49,66;0,13;0,00;0,00;
0,00;0,00;52,69;0,20;0,00;0,00;
0,00;0,00;55,84;0,09;0,00;0,00;
0,00;0,00;59,01;0,09;0,00;0,00;
0,00;0,00;62,25;0,09;0,00;0,00;
0,00;0,00;65,44;0,06;0,00;0,00;
0,00;0,00;68,65;0,09;0,00;0,00;
0,00;0,00;71,85;0,09;0,00;0,00;
0,00;0,00;75,05;0,07;0,00;0,00;
0,00;0,00;78,25;0,09;0,00;0,00;
0,00;0,00;81,45;0,09;0,00;0,00;
0,00;0,00;84,65;0,11;0,00;0,00;
0,00;0,00;87,85;0,09;0,00;0,00;
0,00;0,00;91,05;0,09;0,00;0,00;
0,00;0,00;94,25;0,11;0,00;0,00;
0,00;0,00;97,45;0,09;0,00;0,00;
0,00;0,00;100,65;0,11;0,00;0,00;
0,00;0,00;103,85;0,06;0,00;0,00;
0,00;0,00;107,05;0,09;0,00;0,00;
0,00;0,00;110,25;0,11;0,00;0,00;
0,00;0,00;113,45;0,09;0,00;0,00;
0,00;0,00;116,65;0,13;0,00;0,00;
0,00;0,00;119,85;0,06;0,00;0,00;
0,00;0,00;123,05;0,07;0,00;0,00;
0,00;0,00;126,25;0,11;0,00;0,00;
0,00;0,00;129,45;0,07;0,00;0,00;
0,00;0,00;132,65;0,07;0,00;0,00;
0,00;0,00;135,85;0,05;0,00;0,00;
0,00;0,00;139,05;0,07;0,00;0,00;
0,00;0,00;142,18;-0,05;0,00;0,00;
0,00;0,00;144,80;0,02;0,00;0,00;
0,00;0,00;146,98;0,05;0,00;0,00;
0,00;0,00;148,67;-0,02;0,00;0,00;
0,00;0,00;149,83;-0,02;0,00;0,00;
0,00;0,00;150,48;-0,05;0,00;0,00;
0,00;0,00;150,78;0,07;0,00;0,00;
0,00;0,00;150,91;0,02;0,00;0,00;
0,00;0,00;151,71;0,02;0,00;0,00;
0,00;0,00;152,03;0,02;0,00;0,00;
0,00;0,00;152,99;0,02;0,00;0,00;
0,00;0,00;153,47;0,02;0,00;0,00;
0,00;0,00;153,79;0,02;0,00;0,00;
0,00;0,00;154,11;0,02;0,00;0,00;
0,00;0,00;154,59;0,07;0,00;0,00;
0,00;0,00;154,75;0,18;0,00;0,00;
0,00;0,00;154,91;0,18;0,00;0,00;
0,00;0,00;155,07;0,29;0,00;0,00;
0,00;0,00;155,23;0,54;0,00;0,00;
0,00;0,00;155,39;0,86;0,00;0,00;
0,00;0,00;155,54;1,25;0,00;0,00;
0,00;0,00;155,69;1,54;0,00;0,00;
0,00;0,00;155,71;1,51;0,00;0,00;
0,00;0,00;155,70;1,26;0,00;0,00;
0,00;0,00;155,29;-0,02;0,00;0,00;
0,00;0,00;154,42;0,05;0,00;0,00;
0,00;0,00;153,94;-0,05;0,00;0,00;
0,00;0,00;153,79;-0,07;0,00;0,00;
0,00;0,00;153,71;-0,02;0,00;0,00;
0,00;0,00;153,70;-0,05;0,00;0,00;
0,00;0,00;153,70;-0,02;0,00;0,00;
0,00;0,00;153,96;0,02;0,00;0,00;
0,00;0,00;154,13;0,05;0,00;0,00;
0,00;0,00;154,30;0,02;0,00;0,00;
0,00;0,00;155,43;0,18;0,00;0,00;
0,00;0,00;155,59;0,18;0,00;0,00;
0,00;0,00;155,74;1,65;0,00;0,00;
0,00;0,00;155,89;1,90;0,00;0,00;
0,00;0,00;156,06;2,06;0,00;0,00;
0,00;0,00;156,22;2,24;0,00;0,00;
0,00;0,00;156,38;2,37;0,00;0,00;
0,00;0,00;156,54;2,49;0,00;0,00;
0,00;0,00;156,70;2,63;0,00;0,00;
0,00;0,00;156,86;2,76;0,00;0,00;
0,00;0,00;157,02;2,87;0,00;0,00;
0,00;0,00;157,18;3,06;0,00;0,00;
0,00;0,00;157,35;3,17;0,00;0,00;
0,00;0,00;157,51;3,30;0,00;0,00;
0,00;0,00;157,67;3,44;0,00;0,00;
0,00;0,00;157,83;3,62;0,00;0,00;
0,00;0,00;157,99;3,75;0,00;0,00;
0,00;0,00;158,14;3,89;0,00;0,00;
0,00;0,00;158,30;4,02;0,00;0,00;
0,00;0,00;158,46;4,23;0,00;0,00;
0,00;0,00;158,62;4,34;0,00;0,00;
0,00;0,00;158,78;4,50;0,00;0,00;
0,00;0,00;158,94;4,62;0,00;0,00;
0,00;0,00;159,10;4,75;0,00;0,00;
0,00;0,00;159,27;4,88;0,00;0,00;
0,00;0,00;159,43;5,02;0,00;0,00;
0,00;0,00;159,59;5,18;0,00;0,00;
0,00;0,00;159,75;5,31;0,00;0,00;
0,00;0,00;159,91;5,47;0,00;0,00;
0,00;0,00;160,06;5,58;0,00;0,00;
0,00;0,00;160,22;5,79;0,00;0,00;
0,00;0,00;160,38;5,97;0,00;0,00;
0,00;0,00;160,54;6,06;0,00;0,00;
0,00;0,00;160,70;6,24;0,00;0,00;
0,00;0,00;160,86;6,40;0,00;0,00;
0,00;0,00;161,02;6,54;0,00;0,00;
0,00;0,00;161,18;6,67;0,00;0,00;
0,00;0,00;161,34;6,80;0,00;0,00;
0,00;0,00;161,50;6,99;0,00;0,00;
0,00;0,00;161,66;7,15;0,00;0,00;
0,00;0,00;161,83;7,30;0,00;0,00;
0,00;0,00;161,99;7,46;0,00;0,00;
0,00;0,00;162,15;7,62;0,00;0,00;
0,00;0,00;162,31;7,73;0,00;0,00;
