7608;18.12.19 09:57:18;21;Avvicinamento Pressata Fuori Ingombro;Alcun errore (0);20191218094453;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;70,00;0,01;0,00;0,00;
0,00;0,00;70,25;0,05;0,00;0,00;
0,00;0,00;71,04;0,05;0,00;0,00;
0,00;0,00;72,34;0,04;0,00;0,00;
0,00;0,00;74,15;0,04;0,00;0,00;
0,00;0,00;76,47;0,05;0,00;0,00;
0,00;0,00;79,29;0,04;0,00;0,00;
0,00;0,00;82,63;0,05;0,00;0,00;
0,00;0,00;86,12;0,04;0,00;0,00;
0,00;0,00;89,65;0,03;0,00;0,00;
0,00;0,00;93,17;0,03;0,00;0,00;
0,00;0,00;96,69;0,04;0,00;0,00;
0,00;0,00;100,21;0,04;0,00;0,00;
0,00;0,00;103,73;0,04;0,00;0,00;
0,00;0,00;107,25;0,02;0,00;0,00;
0,00;0,00;110,77;0,04;0,00;0,00;
0,00;0,00;114,12;0,01;0,00;0,00;
0,00;0,00;117,01;0,01;0,00;0,00;
0,00;0,00;121,28;0,01;0,00;0,00;
0,00;0,00;123,97;-0,01;0,00;0,00;
0,00;0,00;124,02;-0,01;0,00;0,00;
0,00;0,00;124,09;0,02;0,00;0,00;
0,00;0,00;124,21;0,01;0,00;0,00;
0,00;0,00;124,44;0,01;0,00;0,00;
0,00;0,00;124,55;0,01;0,00;0,00;
0,00;0,00;124,66;0,02;0,00;0,00;
0,00;0,00;124,77;0,01;0,00;0,00;
0,00;0,00;124,88;0,01;0,00;0,00;
0,00;0,00;125,00;0,02;0,00;0,00;
0,00;0,00;125,11;0,02;0,00;0,00;
0,00;0,00;125,22;0,02;0,00;0,00;
0,00;0,00;125,33;0,02;0,00;0,00;
0,00;0,00;125,44;0,02;0,00;0,00;
0,00;0,00;125,56;0,02;0,00;0,00;
0,00;0,00;125,67;0,02;0,00;0,00;
0,00;0,00;125,78;0,01;0,00;0,00;
0,00;0,00;125,89;0,01;0,00;0,00;
0,00;0,00;126,01;0,02;0,00;0,00;
0,00;0,00;126,12;0,02;0,00;0,00;
0,00;0,00;126,23;0,02;0,00;0,00;
0,00;0,00;126,34;0,02;0,00;0,00;
0,00;0,00;126,45;0,02;0,00;0,00;
0,00;0,00;126,56;0,10;0,00;0,00;
0,00;0,00;126,68;0,17;0,00;0,00;
0,00;0,00;126,79;0,20;0,00;0,00;
0,00;0,00;126,90;0,23;0,00;0,00;
0,00;0,00;127,01;0,26;0,00;0,00;
0,00;0,00;127,13;0,28;0,00;0,00;
0,00;0,00;127,24;0,32;0,00;0,00;
0,00;0,00;127,35;0,33;0,00;0,00;
0,00;0,00;127,46;0,34;0,00;0,00;
0,00;0,00;127,57;0,36;0,00;0,00;
0,00;0,00;127,69;0,37;0,00;0,00;
0,00;0,00;127,80;0,38;0,00;0,00;
0,00;0,00;127,91;0,39;0,00;0,00;
0,00;0,00;128,02;0,40;0,00;0,00;
0,00;0,00;128,13;0,42;0,00;0,00;
0,00;0,00;128,24;0,43;0,00;0,00;
0,00;0,00;128,36;0,45;0,00;0,00;
0,00;0,00;128,47;0,48;0,00;0,00;
