3937;26.10.20 16:08:25;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);20201026134054A0218;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;-0,10;-0,05;0,00;0,00;
0,00;0,00;-0,04;0,11;0,00;0,00;
0,00;0,00;0,50;0,06;0,00;0,00;
0,00;0,00;1,52;0,09;0,00;0,00;
0,00;0,00;3,05;0,13;0,00;0,00;
0,00;0,00;5,09;0,07;0,00;0,00;
0,00;0,00;7,66;0,09;0,00;0,00;
0,00;0,00;10,71;0,11;0,00;0,00;
0,00;0,00;13,84;0,09;0,00;0,00;
0,00;0,00;17,01;0,11;0,00;0,00;
0,00;0,00;20,26;0,07;0,00;0,00;
0,00;0,00;23,43;0,02;0,00;0,00;
0,00;0,00;26,64;0,09;0,00;0,00;
0,00;0,00;29,85;0,04;0,00;0,00;
0,00;0,00;33,05;0,09;0,00;0,00;
0,00;0,00;36,25;0,05;0,00;0,00;
0,00;0,00;39,45;0,05;0,00;0,00;
0,00;0,00;42,65;0,06;0,00;0,00;
0,00;0,00;45,85;0,02;0,00;0,00;
0,00;0,00;49,05;0,09;0,00;0,00;
0,00;0,00;52,25;0,06;0,00;0,00;
0,00;0,00;55,45;0,02;0,00;0,00;
0,00;0,00;58,65;0,09;0,00;0,00;
0,00;0,00;61,85;0,05;0,00;0,00;
0,00;0,00;65,05;0,06;0,00;0,00;
0,00;0,00;68,25;0,06;0,00;0,00;
0,00;0,00;71,45;0,02;0,00;0,00;
0,00;0,00;74,65;0,06;0,00;0,00;
0,00;0,00;77,85;0,02;0,00;0,00;
0,00;0,00;81,05;0,09;0,00;0,00;
0,00;0,00;84,25;0,06;0,00;0,00;
0,00;0,00;87,45;0,05;0,00;0,00;
0,00;0,00;90,65;0,06;0,00;0,00;
0,00;0,00;93,85;0,02;0,00;0,00;
0,00;0,00;97,05;0,06;0,00;0,00;
0,00;0,00;100,25;0,06;0,00;0,00;
0,00;0,00;103,45;0,02;0,00;0,00;
0,00;0,00;106,65;0,06;0,00;0,00;
0,00;0,00;109,85;0,02;0,00;0,00;
0,00;0,00;113,05;0,11;0,00;0,00;
0,00;0,00;116,25;0,07;0,00;0,00;
0,00;0,00;122,65;0,06;0,00;0,00;
0,00;0,00;125,85;0,02;0,00;0,00;
0,00;0,00;129,05;0,09;0,00;0,00;
0,00;0,00;132,25;0,09;0,00;0,00;
0,00;0,00;135,45;0,02;0,00;0,00;
0,00;0,00;138,65;0,06;0,00;0,00;
0,00;0,00;141,85;0,02;0,00;0,00;
0,00;0,00;145,05;0,09;0,00;0,00;
0,00;0,00;148,25;0,06;0,00;0,00;
0,00;0,00;151,22;-0,05;0,00;0,00;
0,00;0,00;153,68;-0,05;0,00;0,00;
0,00;0,00;155,71;-0,02;0,00;0,00;
0,00;0,00;157,24;-0,02;0,00;0,00;
0,00;0,00;158,25;-0,07;0,00;0,00;
0,00;0,00;158,77;-0,07;0,00;0,00;
0,00;0,00;158,92;-0,02;0,00;0,00;
0,00;0,00;158,98;0,05;0,00;0,00;
0,00;0,00;159,12;0,02;0,00;0,00;
0,00;0,00;160,39;0,05;0,00;0,00;
0,00;0,00;160,55;0,20;0,00;0,00;
0,00;0,00;160,71;0,18;0,00;0,00;
0,00;0,00;160,87;0,36;0,00;0,00;
0,00;0,00;161,03;0,54;0,00;0,00;
0,00;0,00;161,19;0,72;0,00;0,00;
0,00;0,00;161,35;0,84;0,00;0,00;
0,00;0,00;161,51;0,95;0,00;0,00;
0,00;0,00;161,66;1,09;0,00;0,00;
