22962;16.06.21 14:48:57;21;Avvicinamento Pressata Fuori Ingombro;Alcun errore (0);20210616144339P0037;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;17,50;0,02;0,00;0,00;
0,00;0,00;17,76;0,06;0,00;0,00;
0,00;0,00;18,55;0,06;0,00;0,00;
0,00;0,00;19,84;0,06;0,00;0,00;
0,00;0,00;21,65;0,06;0,00;0,00;
0,00;0,00;23,97;0,06;0,00;0,00;
0,00;0,00;26,80;0,06;0,00;0,00;
0,00;0,00;30,14;0,06;0,00;0,00;
0,00;0,00;33,62;0,04;0,00;0,00;
0,00;0,00;37,15;0,04;0,00;0,00;
0,00;0,00;40,67;0,05;0,00;0,00;
0,00;0,00;44,19;0,06;0,00;0,00;
0,00;0,00;47,71;0,04;0,00;0,00;
0,00;0,00;51,23;0,04;0,00;0,00;
0,00;0,00;54,75;0,04;0,00;0,00;
0,00;0,00;58,27;0,05;0,00;0,00;
0,00;0,00;61,79;0,04;0,00;0,00;
0,00;0,00;65,31;0,03;0,00;0,00;
0,00;0,00;68,83;0,04;0,00;0,00;
0,00;0,00;72,35;0,04;0,00;0,00;
0,00;0,00;75,87;0,04;0,00;0,00;
0,00;0,00;79,39;0,05;0,00;0,00;
0,00;0,00;82,91;0,04;0,00;0,00;
0,00;0,00;86,43;0,04;0,00;0,00;
0,00;0,00;89,95;0,03;0,00;0,00;
0,00;0,00;93,47;0,05;0,00;0,00;
0,00;0,00;96,99;0,04;0,00;0,00;
0,00;0,00;100,51;0,04;0,00;0,00;
0,00;0,00;104,03;0,04;0,00;0,00;
0,00;0,00;107,43;0,02;0,00;0,00;
0,00;0,00;110,36;0,01;0,00;0,00;
0,00;0,00;112,79;0,01;0,00;0,00;
0,00;0,00;114,72;0,02;0,00;0,00;
0,00;0,00;116,14;0,02;0,00;0,00;
0,00;0,00;117,05;-0,00;0,00;0,00;
0,00;0,00;117,51;0,03;0,00;0,00;
0,00;0,00;117,51;0,03;0,00;0,00;
0,00;0,00;117,55;0,02;0,00;0,00;
0,00;0,00;117,63;0,03;0,00;0,00;
0,00;0,00;117,71;0,03;0,00;0,00;
0,00;0,00;117,79;0,03;0,00;0,00;
0,00;0,00;117,87;0,03;0,00;0,00;
0,00;0,00;117,96;0,03;0,00;0,00;
0,00;0,00;118,03;0,03;0,00;0,00;
0,00;0,00;118,11;0,03;0,00;0,00;
0,00;0,00;118,19;0,03;0,00;0,00;
0,00;0,00;118,27;0,03;0,00;0,00;
0,00;0,00;118,35;0,03;0,00;0,00;
0,00;0,00;118,43;0,03;0,00;0,00;
0,00;0,00;118,51;0,03;0,00;0,00;
0,00;0,00;118,60;0,03;0,00;0,00;
0,00;0,00;118,67;0,03;0,00;0,00;
0,00;0,00;118,75;0,03;0,00;0,00;
0,00;0,00;118,83;0,03;0,00;0,00;
0,00;0,00;118,92;0,03;0,00;0,00;
0,00;0,00;118,99;0,03;0,00;0,00;
0,00;0,00;119,07;0,03;0,00;0,00;
0,00;0,00;119,16;0,03;0,00;0,00;
0,00;0,00;119,24;0,03;0,00;0,00;
0,00;0,00;119,31;0,03;0,00;0,00;
0,00;0,00;119,39;0,03;0,00;0,00;
0,00;0,00;119,47;0,03;0,00;0,00;
0,00;0,00;119,55;0,03;0,00;0,00;
0,00;0,00;119,63;0,03;0,00;0,00;
0,00;0,00;119,71;0,03;0,00;0,00;
0,00;0,00;119,79;0,03;0,00;0,00;
0,00;0,00;119,87;0,03;0,00;0,00;
0,00;0,00;119,95;0,03;0,00;0,00;
0,00;0,00;120,04;0,03;0,00;0,00;
0,00;0,00;120,11;0,03;0,00;0,00;
0,00;0,00;120,19;0,03;0,00;0,00;
0,00;0,00;120,27;0,03;0,00;0,00;
0,00;0,00;120,35;0,03;0,00;0,00;
0,00;0,00;120,43;0,03;0,00;0,00;
0,00;0,00;120,51;0,03;0,00;0,00;
0,00;0,00;120,59;0,03;0,00;0,00;
0,00;0,00;120,68;0,03;0,00;0,00;
0,00;0,00;120,75;0,03;0,00;0,00;
0,00;0,00;120,83;0,03;0,00;0,00;
0,00;0,00;120,92;0,03;0,00;0,00;
0,00;0,00;121,00;0,03;0,00;0,00;
0,00;0,00;121,08;0,03;0,00;0,00;
0,00;0,00;121,15;0,03;0,00;0,00;
0,00;0,00;121,23;0,03;0,00;0,00;
0,00;0,00;121,32;0,03;0,00;0,00;
0,00;0,00;121,40;0,03;0,00;0,00;
0,00;0,00;121,47;0,03;0,00;0,00;
0,00;0,00;121,55;0,03;0,00;0,00;
0,00;0,00;121,63;0,03;0,00;0,00;
0,00;0,00;121,72;0,03;0,00;0,00;
0,00;0,00;121,79;0,03;0,00;0,00;
0,00;0,00;121,87;0,03;0,00;0,00;
0,00;0,00;121,95;0,03;0,00;0,00;
0,00;0,00;122,04;0,03;0,00;0,00;
0,00;0,00;122,11;0,03;0,00;0,00;
0,00;0,00;122,19;0,03;0,00;0,00;
0,00;0,00;122,28;0,03;0,00;0,00;
0,00;0,00;122,36;0,03;0,00;0,00;
0,00;0,00;122,43;0,03;0,00;0,00;
0,00;0,00;122,51;0,03;0,00;0,00;
0,00;0,00;122,59;0,03;0,00;0,00;
0,00;0,00;122,67;0,03;0,00;0,00;
0,00;0,00;122,75;0,03;0,00;0,00;
0,00;0,00;122,83;0,03;0,00;0,00;
0,00;0,00;122,92;0,03;0,00;0,00;
0,00;0,00;123,00;0,03;0,00;0,00;
0,00;0,00;123,07;0,03;0,00;0,00;
0,00;0,00;123,15;0,03;0,00;0,00;
0,00;0,00;123,23;0,03;0,00;0,00;
0,00;0,00;123,31;0,03;0,00;0,00;
0,00;0,00;123,39;0,03;0,00;0,00;
0,00;0,00;123,47;0,03;0,00;0,00;
0,00;0,00;123,56;0,03;0,00;0,00;
0,00;0,00;123,63;0,03;0,00;0,00;
0,00;0,00;123,71;0,03;0,00;0,00;
0,00;0,00;123,79;0,03;0,00;0,00;
0,00;0,00;123,87;0,03;0,00;0,00;
0,00;0,00;123,95;0,03;0,00;0,00;
0,00;0,00;124,03;0,03;0,00;0,00;
0,00;0,00;124,12;0,04;0,00;0,00;
0,00;0,00;124,20;0,03;0,00;0,00;
0,00;0,00;124,27;0,03;0,00;0,00;
0,00;0,00;124,35;0,03;0,00;0,00;
0,00;0,00;124,43;0,03;0,00;0,00;
0,00;0,00;124,51;0,03;0,00;0,00;
0,00;0,00;124,59;0,03;0,00;0,00;
0,00;0,00;124,67;0,03;0,00;0,00;
0,00;0,00;124,76;0,03;0,00;0,00;
0,00;0,00;124,84;0,04;0,00;0,00;
0,00;0,00;124,91;0,03;0,00;0,00;
