12597;25.06.21 10:30:08;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);20210625091332A0218;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;39,96;0,14;0,00;0,00;
0,00;0,00;40,49;0,11;0,00;0,00;
0,00;0,00;41,53;0,16;0,00;0,00;
0,00;0,00;43,06;0,18;0,00;0,00;
0,00;0,00;45,10;0,13;0,00;0,00;
0,00;0,00;47,66;0,13;0,00;0,00;
0,00;0,00;50,72;0,13;0,00;0,00;
0,00;0,00;53,85;0,11;0,00;0,00;
0,00;0,00;57,02;0,16;0,00;0,00;
0,00;0,00;60,25;0,11;0,00;0,00;
0,00;0,00;63,45;0,05;0,00;0,00;
0,00;0,00;66,65;0,13;0,00;0,00;
0,00;0,00;69,85;0,07;0,00;0,00;
0,00;0,00;73,05;0,16;0,00;0,00;
0,00;0,00;76,25;0,11;0,00;0,00;
0,00;0,00;79,45;0,07;0,00;0,00;
0,00;0,00;82,65;0,11;0,00;0,00;
0,00;0,00;85,85;0,05;0,00;0,00;
0,00;0,00;89,05;0,16;0,00;0,00;
0,00;0,00;92,25;0,11;0,00;0,00;
0,00;0,00;95,45;0,09;0,00;0,00;
0,00;0,00;98,65;0,09;0,00;0,00;
0,00;0,00;101,85;0,07;0,00;0,00;
0,00;0,00;105,05;0,13;0,00;0,00;
0,00;0,00;108,25;0,11;0,00;0,00;
0,00;0,00;111,45;0,05;0,00;0,00;
0,00;0,00;114,65;0,09;0,00;0,00;
0,00;0,00;117,85;0,07;0,00;0,00;
0,00;0,00;121,05;0,16;0,00;0,00;
0,00;0,00;124,25;0,13;0,00;0,00;
0,00;0,00;127,45;0,09;0,00;0,00;
0,00;0,00;130,65;0,09;0,00;0,00;
0,00;0,00;133,85;0,09;0,00;0,00;
0,00;0,00;137,05;0,13;0,00;0,00;
0,00;0,00;140,25;0,16;0,00;0,00;
0,00;0,00;143,45;0,05;0,00;0,00;
0,00;0,00;146,65;0,11;0,00;0,00;
0,00;0,00;152,50;0,09;0,00;0,00;
0,00;0,00;157,80;-0,02;0,00;0,00;
0,00;0,00;158,84;0,02;0,00;0,00;
0,00;0,00;158,90;0,02;0,00;0,00;
0,00;0,00;158,92;0,05;0,00;0,00;
0,00;0,00;159,01;0,02;0,00;0,00;
0,00;0,00;159,15;0,07;0,00;0,00;
0,00;0,00;159,31;0,05;0,00;0,00;
0,00;0,00;159,47;0,02;0,00;0,00;
0,00;0,00;159,63;0,07;0,00;0,00;
0,00;0,00;159,79;0,09;0,00;0,00;
0,00;0,00;159,95;0,09;0,00;0,00;
0,00;0,00;160,11;0,07;0,00;0,00;
0,00;0,00;160,27;0,05;0,00;0,00;
0,00;0,00;160,43;0,14;0,00;0,00;
0,00;0,00;160,59;0,23;0,00;0,00;
0,00;0,00;160,75;0,25;0,00;0,00;
0,00;0,00;160,91;0,47;0,00;0,00;
0,00;0,00;161,07;0,61;0,00;0,00;
0,00;0,00;161,23;0,63;0,00;0,00;
0,00;0,00;161,39;0,63;0,00;0,00;
0,00;0,00;161,55;0,73;0,00;0,00;
0,00;0,00;161,71;0,81;0,00;0,00;
0,00;0,00;161,87;0,84;0,00;0,00;
0,00;0,00;162,03;0,91;0,00;0,00;
0,00;0,00;162,19;0,93;0,00;0,00;
0,00;0,00;162,35;1,00;0,00;0,00;
0,00;0,00;162,51;1,09;0,00;0,00;
0,00;0,00;162,67;1,18;0,00;0,00;
0,00;0,00;162,83;1,20;0,00;0,00;
0,00;0,00;162,99;1,27;0,00;0,00;
0,00;0,00;163,15;1,36;0,00;0,00;
0,00;0,00;163,31;1,40;0,00;0,00;
0,00;0,00;163,47;1,47;0,00;0,00;
0,00;0,00;163,63;1,56;0,00;0,00;
0,00;0,00;163,79;1,63;0,00;0,00;
