1054;13.12.19 16:26:03;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);20191213155616;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;39,90;-0,05;0,00;0,00;
0,00;0,00;39,96;0,11;0,00;0,00;
0,00;0,00;40,50;0,09;0,00;0,00;
0,00;0,00;41,52;0,13;0,00;0,00;
0,00;0,00;43,04;0,20;0,00;0,00;
0,00;0,00;45,09;0,09;0,00;0,00;
0,00;0,00;47,65;0,13;0,00;0,00;
0,00;0,00;50,67;0,20;0,00;0,00;
0,00;0,00;53,84;0,11;0,00;0,00;
0,00;0,00;57,00;0,11;0,00;0,00;
0,00;0,00;60,27;0,02;0,00;0,00;
0,00;0,00;63,43;0,06;0,00;0,00;
0,00;0,00;66,65;0,13;0,00;0,00;
0,00;0,00;69,84;0,06;0,00;0,00;
0,00;0,00;73,05;0,13;0,00;0,00;
0,00;0,00;76,25;0,09;0,00;0,00;
0,00;0,00;79,45;0,09;0,00;0,00;
0,00;0,00;82,65;0,16;0,00;0,00;
0,00;0,00;85,85;0,06;0,00;0,00;
0,00;0,00;89,05;0,16;0,00;0,00;
0,00;0,00;92,25;0,09;0,00;0,00;
0,00;0,00;95,45;0,09;0,00;0,00;
0,00;0,00;98,65;0,13;0,00;0,00;
0,00;0,00;101,85;0,02;0,00;0,00;
0,00;0,00;105,05;0,16;0,00;0,00;
0,00;0,00;108,25;0,11;0,00;0,00;
0,00;0,00;111,45;0,09;0,00;0,00;
0,00;0,00;114,65;0,13;0,00;0,00;
0,00;0,00;117,85;0,06;0,00;0,00;
0,00;0,00;121,05;0,18;0,00;0,00;
0,00;0,00;124,25;0,11;0,00;0,00;
0,00;0,00;127,45;0,06;0,00;0,00;
0,00;0,00;130,65;0,11;0,00;0,00;
0,00;0,00;133,85;0,06;0,00;0,00;
0,00;0,00;137,05;0,16;0,00;0,00;
0,00;0,00;140,25;0,13;0,00;0,00;
0,00;0,00;143,45;0,06;0,00;0,00;
0,00;0,00;146,65;0,13;0,00;0,00;
0,00;0,00;149,85;0,09;0,00;0,00;
0,00;0,00;153,05;0,13;0,00;0,00;
0,00;0,00;156,25;0,11;0,00;0,00;
0,00;0,00;159,42;0,09;0,00;0,00;
0,00;0,00;162,10;0,04;0,00;0,00;
0,00;0,00;164,35;0,02;0,00;0,00;
0,00;0,00;166,11;-0,00;0,00;0,00;
0,00;0,00;167,36;-0,05;0,00;0,00;
0,00;0,00;168,10;-0,07;0,00;0,00;
0,00;0,00;168,43;0,06;0,00;0,00;
0,00;0,00;168,73;0,02;0,00;0,00;
0,00;0,00;168,89;0,02;0,00;0,00;
0,00;0,00;169,05;0,02;0,00;0,00;
0,00;0,00;169,21;0,02;0,00;0,00;
0,00;0,00;169,37;0,02;0,00;0,00;
0,00;0,00;169,53;0,02;0,00;0,00;
0,00;0,00;169,69;0,02;0,00;0,00;
0,00;0,00;169,85;0,02;0,00;0,00;
0,00;0,00;170,01;0,02;0,00;0,00;
0,00;0,00;170,17;0,02;0,00;0,00;
0,00;0,00;170,33;0,02;0,00;0,00;
0,00;0,00;170,49;0,02;0,00;0,00;
0,00;0,00;170,65;0,02;0,00;0,00;
0,00;0,00;170,81;0,18;0,00;0,00;
0,00;0,00;170,91;0,18;0,00;0,00;
0,00;0,00;170,91;0,20;0,00;0,00;
0,00;0,00;170,76;-0,14;0,00;0,00;
0,00;0,00;170,09;-0,16;0,00;0,00;
0,00;0,00;169,31;0,02;0,00;0,00;
0,00;0,00;169,03;-0,09;0,00;0,00;
0,00;0,00;168,94;-0,18;0,00;0,00;
0,00;0,00;168,90;-0,11;0,00;0,00;
0,00;0,00;168,90;-0,07;0,00;0,00;
0,00;0,00;168,95;0,09;0,00;0,00;
0,00;0,00;169,09;0,02;0,00;0,00;
0,00;0,00;169,24;-0,02;0,00;0,00;
0,00;0,00;169,58;0,04;0,00;0,00;
0,00;0,00;169,74;0,04;0,00;0,00;
0,00;0,00;169,90;0,02;0,00;0,00;
0,00;0,00;170,06;0,02;0,00;0,00;
0,00;0,00;170,23;0,02;0,00;0,00;
0,00;0,00;170,39;0,02;0,00;0,00;
0,00;0,00;170,55;0,02;0,00;0,00;
0,00;0,00;170,71;0,02;0,00;0,00;
0,00;0,00;170,87;0,18;0,00;0,00;
0,00;0,00;171,03;0,18;0,00;0,00;
0,00;0,00;171,19;0,61;0,00;0,00;
0,00;0,00;171,34;0,92;0,00;0,00;
0,00;0,00;171,50;1,13;0,00;0,00;
0,00;0,00;171,66;1,24;0,00;0,00;
0,00;0,00;171,82;1,35;0,00;0,00;
0,00;0,00;171,98;1,47;0,00;0,00;
0,00;0,00;172,14;1,60;0,00;0,00;
0,00;0,00;172,30;1,67;0,00;0,00;
0,00;0,00;172,47;1,81;0,00;0,00;
0,00;0,00;172,63;1,87;0,00;0,00;
0,00;0,00;172,79;1,92;0,00;0,00;
0,00;0,00;172,95;2,01;0,00;0,00;
0,00;0,00;173,11;2,08;0,00;0,00;
0,00;0,00;173,27;2,14;0,00;0,00;
0,00;0,00;173,43;2,23;0,00;0,00;
0,00;0,00;173,59;2,32;0,00;0,00;
0,00;0,00;173,75;2,37;0,00;0,00;
0,00;0,00;173,91;2,46;0,00;0,00;
0,00;0,00;174,07;2,55;0,00;0,00;
0,00;0,00;174,23;2,55;0,00;0,00;
0,00;0,00;174,39;2,62;0,00;0,00;
0,00;0,00;174,55;2,71;0,00;0,00;
0,00;0,00;174,71;2,78;0,00;0,00;
0,00;0,00;174,87;2,82;0,00;0,00;
0,00;0,00;175,03;2,91;0,00;0,00;
0,00;0,00;175,19;3,00;0,00;0,00;
0,00;0,00;175,35;3,00;0,00;0,00;
0,00;0,00;175,51;3,07;0,00;0,00;
0,00;0,00;175,67;3,16;0,00;0,00;
0,00;0,00;175,83;3,18;0,00;0,00;
0,00;0,00;175,91;2,82;0,00;0,00;
0,00;0,00;175,91;2,71;0,00;0,00;
0,00;0,00;175,91;2,46;0,00;0,00;
0,00;0,00;175,50;-0,05;0,00;0,00;
0,00;0,00;174,61;-0,14;0,00;0,00;
0,00;0,00;173,21;-0,20;0,00;0,00;
0,00;0,00;171,28;-0,23;0,00;0,00;
0,00;0,00;168,85;-0,16;0,00;0,00;
0,00;0,00;165,94;-0,18;0,00;0,00;
0,00;0,00;162,76;-0,18;0,00;0,00;
0,00;0,00;159,61;-0,23;0,00;0,00;
0,00;0,00;156,34;-0,25;0,00;0,00;
0,00;0,00;153,18;-0,23;0,00;0,00;
0,00;0,00;149,96;-0,18;0,00;0,00;
0,00;0,00;146,76;-0,27;0,00;0,00;
0,00;0,00;143,56;-0,14;0,00;0,00;
0,00;0,00;140,36;-0,20;0,00;0,00;
0,00;0,00;137,15;-0,18;0,00;0,00;
0,00;0,00;133,96;-0,14;0,00;0,00;
0,00;0,00;130,76;-0,27;0,00;0,00;
0,00;0,00;127,55;-0,14;0,00;0,00;
0,00;0,00;124,35;-0,20;0,00;0,00;
0,00;0,00;121,16;-0,20;0,00;0,00;
0,00;0,00;117,95;-0,18;0,00;0,00;
0,00;0,00;114,75;-0,27;0,00;0,00;
0,00;0,00;111,56;-0,09;0,00;0,00;
0,00;0,00;108,35;-0,20;0,00;0,00;
0,00;0,00;105,15;-0,18;0,00;0,00;
0,00;0,00;101,96;-0,18;0,00;0,00;
0,00;0,00;98,75;-0,25;0,00;0,00;
0,00;0,00;95,55;-0,14;0,00;0,00;
0,00;0,00;92,35;-0,20;0,00;0,00;
0,00;0,00;89,15;-0,18;0,00;0,00;
0,00;0,00;85,95;-0,18;0,00;0,00;
0,00;0,00;82,75;-0,27;0,00;0,00;
0,00;0,00;79,55;-0,14;0,00;0,00;
0,00;0,00;76,35;-0,18;0,00;0,00;
0,00;0,00;73,15;-0,20;0,00;0,00;
0,00;0,00;69,96;-0,16;0,00;0,00;
0,00;0,00;66,75;-0,29;0,00;0,00;
0,00;0,00;63,55;-0,16;0,00;0,00;
0,00;0,00;60,35;-0,23;0,00;0,00;
0,00;0,00;57,15;-0,18;0,00;0,00;
0,00;0,00;53,95;-0,16;0,00;0,00;
0,00;0,00;50,75;-0,25;0,00;0,00;
0,00;0,00;47,78;-0,14;0,00;0,00;
0,00;0,00;45,29;-0,09;0,00;0,00;
0,00;0,00;43,25;-0,07;0,00;0,00;
