12789;26.02.21 08:45:14;21;Avvicinamento Pressata Finale;Alcun errore (0);20210225140315P0008;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;72,62;0,04;0,00;0,00;
0,00;0,00;75,70;0,09;0,00;0,00;
0,00;0,00;99,52;0,04;0,00;0,00;
0,00;0,00;123,52;-0,04;0,00;0,00;
0,00;0,00;133,12;-0,04;0,00;0,00;
0,00;0,00;137,92;-0,04;0,00;0,00;
0,00;0,00;142,72;0,04;0,00;0,00;
0,00;0,00;157,12;0,04;0,00;0,00;
0,00;0,00;166,72;-0,04;0,00;0,00;
0,00;0,00;176,32;-0,04;0,00;0,00;
0,00;0,00;181,12;-0,04;0,00;0,00;
0,00;0,00;205,12;-0,09;0,00;0,00;
0,00;0,00;209,92;0,04;0,00;0,00;
0,00;0,00;214,72;-0,04;0,00;0,00;
0,00;0,00;224,32;-0,04;0,00;0,00;
0,00;0,00;233,92;-0,04;0,00;0,00;
0,00;0,00;248,32;0,04;0,00;0,00;
0,00;0,00;262,72;-0,04;0,00;0,00;
0,00;0,00;267,52;0,04;0,00;0,00;
0,00;0,00;272,32;-0,09;0,00;0,00;
0,00;0,00;277,12;0,04;0,00;0,00;
0,00;0,00;281,92;0,04;0,00;0,00;
0,00;0,00;286,71;-0,04;0,00;0,00;
0,00;0,00;291,99;0,09;0,00;0,00;
0,00;0,00;292,18;0,04;0,00;0,00;
0,00;0,00;293,33;0,09;0,00;0,00;
0,00;0,00;293,53;0,04;0,00;0,00;
0,00;0,00;294,68;0,04;0,00;0,00;
0,00;0,00;295,06;0,04;0,00;0,00;
0,00;0,00;295,25;0,04;0,00;0,00;
0,00;0,00;295,83;0,04;0,00;0,00;
0,00;0,00;296,21;0,04;0,00;0,00;
0,00;0,00;296,41;0,04;0,00;0,00;
0,00;0,00;296,98;0,04;0,00;0,00;
0,00;0,00;297,17;0,04;0,00;0,00;
0,00;0,00;298,71;0,04;0,00;0,00;
0,00;0,00;298,90;0,04;0,00;0,00;
0,00;0,00;299,29;0,04;0,00;0,00;
0,00;0,00;299,48;0,09;0,00;0,00;
0,00;0,00;299,67;0,18;0,00;0,00;
0,00;0,00;299,86;0,18;0,00;0,00;
0,00;0,00;300,05;0,26;0,00;0,00;
0,00;0,00;300,25;0,35;0,00;0,00;
0,00;0,00;300,44;0,35;0,00;0,00;
0,00;0,00;300,63;0,35;0,00;0,00;
0,00;0,00;300,82;0,35;0,00;0,00;
0,00;0,00;301,01;0,35;0,00;0,00;
0,00;0,00;301,21;0,35;0,00;0,00;
0,00;0,00;301,40;0,39;0,00;0,00;
0,00;0,00;301,59;0,48;0,00;0,00;
0,00;0,00;301,78;0,48;0,00;0,00;
0,00;0,00;301,97;0,44;0,00;0,00;
0,00;0,00;302,16;0,52;0,00;0,00;
0,00;0,00;302,36;0,52;0,00;0,00;
0,00;0,00;302,55;0,52;0,00;0,00;
0,00;0,00;302,74;0,52;0,00;0,00;
0,00;0,00;302,93;0,52;0,00;0,00;
0,00;0,00;303,13;0,65;0,00;0,00;
0,00;0,00;303,32;0,56;0,00;0,00;
0,00;0,00;303,51;0,60;0,00;0,00;
0,00;0,00;303,70;0,78;0,00;0,00;
0,00;0,00;303,89;1,00;0,00;0,00;
0,00;0,00;304,09;1,09;0,00;0,00;
0,00;0,00;304,28;1,09;0,00;0,00;
0,00;0,00;304,47;1,17;0,00;0,00;
0,00;0,00;304,66;1,22;0,00;0,00;
0,00;0,00;304,85;1,22;0,00;0,00;
0,00;0,00;305,05;1,25;0,00;0,00;
0,00;0,00;305,24;1,39;0,00;0,00;
0,00;0,00;305,43;1,43;0,00;0,00;
0,00;0,00;305,62;1,57;0,00;0,00;
0,00;0,00;305,81;1,57;0,00;0,00;
0,00;0,00;306,00;1,57;0,00;0,00;
0,00;0,00;306,20;1,65;0,00;0,00;
0,00;0,00;306,39;1,74;0,00;0,00;
0,00;0,00;306,58;1,74;0,00;0,00;
0,00;0,00;306,77;1,82;0,00;0,00;
0,00;0,00;306,97;1,87;0,00;0,00;
0,00;0,00;307,16;1,91;0,00;0,00;
0,00;0,00;307,35;2,00;0,00;0,00;
0,00;0,00;307,54;2,00;0,00;0,00;
0,00;0,00;307,73;2,09;0,00;0,00;
0,00;0,00;307,93;2,09;0,00;0,00;
0,00;0,00;308,12;2,13;0,00;0,00;
0,00;0,00;308,31;2,21;0,00;0,00;
0,00;0,00;308,50;2,21;0,00;0,00;
0,00;0,00;308,69;2,26;0,00;0,00;
0,00;0,00;308,88;2,26;0,00;0,00;
0,00;0,00;309,08;2,35;0,00;0,00;
0,00;0,00;309,27;2,39;0,00;0,00;
0,00;0,00;309,46;2,44;0,00;0,00;
0,00;0,00;309,65;2,52;0,00;0,00;
0,00;0,00;309,85;2,52;0,00;0,00;
0,00;0,00;310,04;2,61;0,00;0,00;
0,00;0,00;310,23;2,61;0,00;0,00;
0,00;0,00;310,42;2,65;0,00;0,00;
0,00;0,00;310,61;2,78;0,00;0,00;
0,00;0,00;310,80;2,95;0,00;0,00;
0,00;0,00;310,99;3,57;0,00;0,00;
0,00;0,00;311,09;5,00;0,00;0,00;
0,00;0,00;311,10;5,18;0,00;0,00;
0,00;0,00;310,47;-0,13;0,00;0,00;
0,00;0,00;307,88;-0,09;0,00;0,00;
0,00;0,00;303,43;-0,04;0,00;0,00;
0,00;0,00;298,68;-0,04;0,00;0,00;
0,00;0,00;293,88;-0,09;0,00;0,00;
0,00;0,00;289,08;-0,09;0,00;0,00;
0,00;0,00;284,28;-0,04;0,00;0,00;
0,00;0,00;279,48;0,04;0,00;0,00;
0,00;0,00;274,68;-0,04;0,00;0,00;
0,00;0,00;269,88;-0,04;0,00;0,00;
0,00;0,00;260,28;-0,04;0,00;0,00;
0,00;0,00;255,48;-0,04;0,00;0,00;
0,00;0,00;250,68;-0,04;0,00;0,00;
0,00;0,00;241,08;-0,04;0,00;0,00;
0,00;0,00;236,28;-0,04;0,00;0,00;
0,00;0,00;226,68;-0,04;0,00;0,00;
0,00;0,00;217,08;-0,04;0,00;0,00;
0,00;0,00;212,28;-0,04;0,00;0,00;
0,00;0,00;202,68;-0,04;0,00;0,00;
0,00;0,00;197,88;-0,04;0,00;0,00;
0,00;0,00;188,28;-0,04;0,00;0,00;
0,00;0,00;178,68;0,04;0,00;0,00;
0,00;0,00;169,08;-0,09;0,00;0,00;
0,00;0,00;159,48;-0,04;0,00;0,00;
0,00;0,00;145,08;-0,04;0,00;0,00;
0,00;0,00;135,48;0,04;0,00;0,00;
0,00;0,00;130,68;-0,04;0,00;0,00;
0,00;0,00;125,88;0,04;0,00;0,00;
0,00;0,00;121,08;-0,04;0,00;0,00;
0,00;0,00;106,68;-0,04;0,00;0,00;
0,00;0,00;82,68;-0,04;0,00;0,00;
0,00;0,00;77,88;-0,04;0,00;0,00;
0,00;0,00;71,86;0,04;0,00;0,00;
