31592;12.02.21 14:06:05;22;Avvicinamento pre-pressata pressata Fuori Ingombro;force < min. force (9);20210212101452P0004;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;0,00;-0,02;0,00;0,00;
0,00;0,00;0,06;0,29;0,00;0,00;
0,00;0,00;0,61;0,22;0,00;0,00;
0,00;0,00;1,64;0,22;0,00;0,00;
0,00;0,00;3,17;0,22;0,00;0,00;
0,00;0,00;5,21;0,22;0,00;0,00;
0,00;0,00;7,78;0,29;0,00;0,00;
0,00;0,00;10,84;0,13;0,00;0,00;
0,00;0,00;13,95;0,18;0,00;0,00;
0,00;0,00;17,13;0,18;0,00;0,00;
0,00;0,00;20,34;0,20;0,00;0,00;
0,00;0,00;23,54;0,18;0,00;0,00;
0,00;0,00;26,74;0,20;0,00;0,00;
0,00;0,00;29,94;0,18;0,00;0,00;
0,00;0,00;33,14;0,18;0,00;0,00;
0,00;0,00;36,33;0,18;0,00;0,00;
0,00;0,00;39,53;0,20;0,00;0,00;
0,00;0,00;42,73;0,24;0,00;0,00;
0,00;0,00;45,94;0,16;0,00;0,00;
0,00;0,00;49,13;0,20;0,00;0,00;
0,00;0,00;52,33;0,15;0,00;0,00;
0,00;0,00;55,54;0,18;0,00;0,00;
0,00;0,00;58,73;0,22;0,00;0,00;
0,00;0,00;61,94;0,16;0,00;0,00;
0,00;0,00;65,14;0,18;0,00;0,00;
0,00;0,00;68,34;0,16;0,00;0,00;
0,00;0,00;71,54;0,18;0,00;0,00;
0,00;0,00;74,74;0,20;0,00;0,00;
0,00;0,00;77,94;0,18;0,00;0,00;
0,00;0,00;81,14;0,18;0,00;0,00;
0,00;0,00;84,34;0,15;0,00;0,00;
0,00;0,00;87,54;0,13;0,00;0,00;
0,00;0,00;90,74;0,20;0,00;0,00;
0,00;0,00;93,94;0,15;0,00;0,00;
0,00;0,00;97,14;0,18;0,00;0,00;
0,00;0,00;100,34;0,16;0,00;0,00;
0,00;0,00;103,53;0,20;0,00;0,00;
0,00;0,00;106,74;0,20;0,00;0,00;
0,00;0,00;109,94;0,16;0,00;0,00;
0,00;0,00;113,14;0,18;0,00;0,00;
0,00;0,00;116,34;0,18;0,00;0,00;
0,00;0,00;119,54;0,18;0,00;0,00;
0,00;0,00;122,74;0,20;0,00;0,00;
0,00;0,00;125,94;0,16;0,00;0,00;
0,00;0,00;129,14;0,20;0,00;0,00;
0,00;0,00;132,34;0,15;0,00;0,00;
0,00;0,00;135,54;0,18;0,00;0,00;
0,00;0,00;138,74;0,20;0,00;0,00;
0,00;0,00;141,87;0,06;0,00;0,00;
0,00;0,00;144,50;0,11;0,00;0,00;
0,00;0,00;146,72;0,09;0,00;0,00;
0,00;0,00;148,44;0,09;0,00;0,00;
0,00;0,00;149,67;0,06;0,00;0,00;
0,00;0,00;150,40;0,06;0,00;0,00;
0,00;0,00;150,64;0,04;0,00;0,00;
0,00;0,00;150,71;0,06;0,00;0,00;
0,00;0,00;150,72;0,09;0,00;0,00;
0,00;0,00;150,84;0,06;0,00;0,00;
0,00;0,00;150,99;0,09;0,00;0,00;
0,00;0,00;151,15;0,16;0,00;0,00;
0,00;0,00;151,31;0,13;0,00;0,00;
0,00;0,00;151,47;0,11;0,00;0,00;
0,00;0,00;151,63;0,09;0,00;0,00;
0,00;0,00;151,79;0,09;0,00;0,00;
0,00;0,00;151,95;0,09;0,00;0,00;
0,00;0,00;152,11;0,09;0,00;0,00;
0,00;0,00;152,27;0,11;0,00;0,00;
0,00;0,00;152,43;0,11;0,00;0,00;
0,00;0,00;152,59;0,11;0,00;0,00;
0,00;0,00;152,75;0,11;0,00;0,00;
0,00;0,00;152,91;0,09;0,00;0,00;
0,00;0,00;153,07;0,11;0,00;0,00;
0,00;0,00;153,23;0,09;0,00;0,00;
0,00;0,00;153,39;0,09;0,00;0,00;
0,00;0,00;153,55;0,09;0,00;0,00;
0,00;0,00;153,71;0,09;0,00;0,00;
0,00;0,00;153,87;0,09;0,00;0,00;
0,00;0,00;154,03;0,09;0,00;0,00;
0,00;0,00;154,19;0,11;0,00;0,00;
0,00;0,00;154,35;0,11;0,00;0,00;
0,00;0,00;154,51;0,09;0,00;0,00;
0,00;0,00;154,67;0,09;0,00;0,00;
0,00;0,00;154,83;0,09;0,00;0,00;
0,00;0,00;154,99;0,11;0,00;0,00;
0,00;0,00;155,15;0,09;0,00;0,00;
0,00;0,00;155,31;0,11;0,00;0,00;
0,00;0,00;155,47;0,09;0,00;0,00;
0,00;0,00;155,63;0,09;0,00;0,00;
0,00;0,00;155,79;0,13;0,00;0,00;
0,00;0,00;155,95;0,11;0,00;0,00;
0,00;0,00;156,11;0,11;0,00;0,00;
0,00;0,00;156,27;0,09;0,00;0,00;
0,00;0,00;156,43;0,09;0,00;0,00;
0,00;0,00;156,59;0,11;0,00;0,00;
0,00;0,00;156,71;0,04;0,00;0,00;
0,00;0,00;156,71;0,09;0,00;0,00;
0,00;0,00;156,71;0,09;0,00;0,00;
0,00;0,00;156,71;0,09;0,00;0,00;
