1859;07.05.20 12:22:42;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);20200507105907A0215;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;39,96;0,16;0,00;0,00;
0,00;0,00;40,50;0,11;0,00;0,00;
0,00;0,00;41,53;0,13;0,00;0,00;
0,00;0,00;43,05;0,20;0,00;0,00;
0,00;0,00;45,10;0,11;0,00;0,00;
0,00;0,00;47,66;0,18;0,00;0,00;
0,00;0,00;50,71;0,11;0,00;0,00;
0,00;0,00;53,85;0,09;0,00;0,00;
0,00;0,00;57,01;0,16;0,00;0,00;
0,00;0,00;60,25;0,09;0,00;0,00;
0,00;0,00;63,44;0,06;0,00;0,00;
0,00;0,00;66,64;0,16;0,00;0,00;
0,00;0,00;69,84;0,06;0,00;0,00;
0,00;0,00;73,04;0,13;0,00;0,00;
0,00;0,00;76,25;0,11;0,00;0,00;
0,00;0,00;79,45;0,06;0,00;0,00;
0,00;0,00;82,65;0,13;0,00;0,00;
0,00;0,00;85,84;0,09;0,00;0,00;
0,00;0,00;89,04;0,13;0,00;0,00;
0,00;0,00;92,25;0,09;0,00;0,00;
0,00;0,00;95,45;0,04;0,00;0,00;
0,00;0,00;98,65;0,09;0,00;0,00;
0,00;0,00;101,84;0,06;0,00;0,00;
0,00;0,00;105,05;0,11;0,00;0,00;
0,00;0,00;108,25;0,16;0,00;0,00;
0,00;0,00;111,45;0,04;0,00;0,00;
0,00;0,00;114,65;0,09;0,00;0,00;
0,00;0,00;117,85;0,04;0,00;0,00;
0,00;0,00;121,05;0,16;0,00;0,00;
0,00;0,00;124,25;0,11;0,00;0,00;
0,00;0,00;127,45;0,09;0,00;0,00;
0,00;0,00;130,65;0,11;0,00;0,00;
0,00;0,00;133,84;0,09;0,00;0,00;
0,00;0,00;137,05;0,13;0,00;0,00;
0,00;0,00;140,25;0,11;0,00;0,00;
0,00;0,00;143,45;0,09;0,00;0,00;
0,00;0,00;146,65;0,11;0,00;0,00;
0,00;0,00;149,85;0,09;0,00;0,00;
0,00;0,00;153,05;0,16;0,00;0,00;
0,00;0,00;156,25;0,13;0,00;0,00;
0,00;0,00;159,42;0,06;0,00;0,00;
0,00;0,00;162,10;0,07;0,00;0,00;
0,00;0,00;164,34;0,02;0,00;0,00;
0,00;0,00;166,11;-0,02;0,00;0,00;
0,00;0,00;167,36;-0,02;0,00;0,00;
0,00;0,00;168,10;-0,07;0,00;0,00;
0,00;0,00;168,34;0,02;0,00;0,00;
0,00;0,00;168,41;0,02;0,00;0,00;
0,00;0,00;168,42;-0,02;0,00;0,00;
0,00;0,00;168,55;0,02;0,00;0,00;
0,00;0,00;168,69;0,05;0,00;0,00;
0,00;0,00;168,85;0,07;0,00;0,00;
0,00;0,00;169,01;0,02;0,00;0,00;
0,00;0,00;169,17;0,02;0,00;0,00;
0,00;0,00;169,49;0,05;0,00;0,00;
0,00;0,00;169,65;0,07;0,00;0,00;
0,00;0,00;169,81;0,05;0,00;0,00;
0,00;0,00;169,97;0,07;0,00;0,00;
0,00;0,00;170,13;0,05;0,00;0,00;
0,00;0,00;170,29;0,02;0,00;0,00;
0,00;0,00;170,45;0,07;0,00;0,00;
0,00;0,00;170,61;0,05;0,00;0,00;
0,00;0,00;170,77;0,07;0,00;0,00;
0,00;0,00;170,90;0,04;0,00;0,00;
0,00;0,00;170,91;0,05;0,00;0,00;
0,00;0,00;170,85;-0,16;0,00;0,00;
0,00;0,00;170,30;-0,16;0,00;0,00;
0,00;0,00;169,43;0,04;0,00;0,00;
0,00;0,00;169,07;-0,07;0,00;0,00;
0,00;0,00;168,96;-0,16;0,00;0,00;
0,00;0,00;168,90;-0,02;0,00;0,00;
0,00;0,00;168,90;0,02;0,00;0,00;
0,00;0,00;169,06;0,02;0,00;0,00;
0,00;0,00;169,21;-0,02;0,00;0,00;
0,00;0,00;169,37;0,05;0,00;0,00;
0,00;0,00;169,54;0,09;0,00;0,00;
0,00;0,00;169,70;0,09;0,00;0,00;
0,00;0,00;169,86;0,02;0,00;0,00;
0,00;0,00;170,19;0,02;0,00;0,00;
0,00;0,00;170,35;0,05;0,00;0,00;
0,00;0,00;170,51;0,07;0,00;0,00;
0,00;0,00;170,67;0,05;0,00;0,00;
0,00;0,00;170,99;0,16;0,00;0,00;
0,00;0,00;171,15;0,20;0,00;0,00;
0,00;0,00;171,31;0,20;0,00;0,00;
0,00;0,00;171,47;0,34;0,00;0,00;
0,00;0,00;171,63;0,50;0,00;0,00;
0,00;0,00;171,78;0,68;0,00;0,00;
0,00;0,00;171,94;0,81;0,00;0,00;
0,00;0,00;172,11;0,99;0,00;0,00;
0,00;0,00;172,27;1,13;0,00;0,00;
0,00;0,00;172,43;1,20;0,00;0,00;
0,00;0,00;172,59;1,24;0,00;0,00;
0,00;0,00;172,75;1,31;0,00;0,00;
0,00;0,00;172,91;1,36;0,00;0,00;
0,00;0,00;173,07;1,44;0,00;0,00;
0,00;0,00;173,23;1,44;0,00;0,00;
0,00;0,00;173,39;1,44;0,00;0,00;
0,00;0,00;173,55;1,42;0,00;0,00;
0,00;0,00;173,71;1,36;0,00;0,00;
0,00;0,00;173,87;1,33;0,00;0,00;
0,00;0,00;174,03;1,36;0,00;0,00;
0,00;0,00;174,19;1,36;0,00;0,00;
0,00;0,00;174,35;1,42;0,00;0,00;
0,00;0,00;174,51;1,51;0,00;0,00;
0,00;0,00;174,67;1,54;0,00;0,00;
0,00;0,00;174,83;1,63;0,00;0,00;
0,00;0,00;174,99;1,69;0,00;0,00;
0,00;0,00;175,15;1,72;0,00;0,00;
0,00;0,00;175,31;1,72;0,00;0,00;
0,00;0,00;175,47;1,78;0,00;0,00;
0,00;0,00;175,63;1,81;0,00;0,00;
0,00;0,00;175,79;1,88;0,00;0,00;
0,00;0,00;175,95;1,90;0,00;0,00;
0,00;0,00;176,01;2,71;0,00;0,00;
0,00;0,00;176,01;2,66;0,00;0,00;
0,00;0,00;175,94;1,37;0,00;0,00;
0,00;0,00;175,41;-0,21;0,00;0,00;
0,00;0,00;174,39;-0,14;0,00;0,00;
0,00;0,00;172,86;-0,21;0,00;0,00;
0,00;0,00;170,81;-0,11;0,00;0,00;
0,00;0,00;168,25;-0,14;0,00;0,00;
0,00;0,00;165,20;-0,18;0,00;0,00;
0,00;0,00;162,06;-0,11;0,00;0,00;
0,00;0,00;158,89;-0,23;0,00;0,00;
0,00;0,00;155,66;-0,11;0,00;0,00;
0,00;0,00;152,47;-0,07;0,00;0,00;
0,00;0,00;149,26;-0,14;0,00;0,00;
0,00;0,00;146,06;-0,11;0,00;0,00;
0,00;0,00;142,86;-0,18;0,00;0,00;
0,00;0,00;139,66;-0,11;0,00;0,00;
0,00;0,00;136,46;-0,09;0,00;0,00;
