9777;16.10.20 08:26:25;21;Avvicinamento Pressata Fuori Ingombro;Alcun errore (0);20201015155821P0031;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;74,44;-0,08;0,00;0,00;
0,00;0,00;75,05;-0,02;0,00;0,00;
0,00;0,00;76,00;0,14;0,00;0,00;
0,00;0,00;77,35;-0,09;0,00;0,00;
0,00;0,00;79,09;0,22;0,00;0,00;
0,00;0,00;81,20;0,22;0,00;0,00;
0,00;0,00;85,92;0,06;0,00;0,00;
0,00;0,00;88,34;0,14;0,00;0,00;
0,00;0,00;90,74;0,06;0,00;0,00;
0,00;0,00;95,54;0,06;0,00;0,00;
0,00;0,00;97,95;0,14;0,00;0,00;
0,00;0,00;100,35;0,14;0,00;0,00;
0,00;0,00;102,74;0,06;0,00;0,00;
0,00;0,00;109,95;0,14;0,00;0,00;
0,00;0,00;112,35;0,06;0,00;0,00;
0,00;0,00;114,74;0,06;0,00;0,00;
0,00;0,00;119,54;0,06;0,00;0,00;
0,00;0,00;121,95;0,06;0,00;0,00;
0,00;0,00;124,35;0,06;0,00;0,00;
0,00;0,00;126,75;-0,02;0,00;0,00;
0,00;0,00;129,15;0,06;0,00;0,00;
0,00;0,00;131,55;0,06;0,00;0,00;
0,00;0,00;133,95;0,06;0,00;0,00;
0,00;0,00;136,35;0,14;0,00;0,00;
0,00;0,00;138,74;0,06;0,00;0,00;
0,00;0,00;145,95;0,06;0,00;0,00;
0,00;0,00;148,35;0,14;0,00;0,00;
0,00;0,00;150,74;0,06;0,00;0,00;
0,00;0,00;157,95;0,06;0,00;0,00;
0,00;0,00;160,35;0,14;0,00;0,00;
0,00;0,00;162,75;-0,02;0,00;0,00;
0,00;0,00;169,95;-0,02;0,00;0,00;
0,00;0,00;172,35;0,14;0,00;0,00;
0,00;0,00;174,74;0,14;0,00;0,00;
0,00;0,00;177,15;0,06;0,00;0,00;
0,00;0,00;179,54;0,06;0,00;0,00;
0,00;0,00;181,95;0,22;0,00;0,00;
0,00;0,00;184,35;0,14;0,00;0,00;
0,00;0,00;186,75;0,14;0,00;0,00;
0,00;0,00;189,15;0,06;0,00;0,00;
0,00;0,00;191,48;-0,02;0,00;0,00;
0,00;0,00;193,43;0,06;0,00;0,00;
0,00;0,00;195,09;0,06;0,00;0,00;
0,00;0,00;196,36;-0,08;0,00;0,00;
0,00;0,00;197,76;-0,08;0,00;0,00;
0,00;0,00;198,07;0,14;0,00;0,00;
0,00;0,00;200,12;0,06;0,00;0,00;
0,00;0,00;200,28;0,06;0,00;0,00;
0,00;0,00;200,60;0,06;0,00;0,00;
0,00;0,00;201,88;0,06;0,00;0,00;
0,00;0,00;202,20;0,06;0,00;0,00;
0,00;0,00;202,52;0,06;0,00;0,00;
0,00;0,00;202,68;0,14;0,00;0,00;
0,00;0,00;202,84;0,14;0,00;0,00;
0,00;0,00;203,00;0,06;0,00;0,00;
0,00;0,00;203,16;0,22;0,00;0,00;
0,00;0,00;203,32;0,22;0,00;0,00;
0,00;0,00;203,48;0,22;0,00;0,00;
0,00;0,00;203,64;0,30;0,00;0,00;
0,00;0,00;203,80;0,30;0,00;0,00;
0,00;0,00;203,96;0,22;0,00;0,00;
0,00;0,00;204,12;0,30;0,00;0,00;
0,00;0,00;204,28;0,30;0,00;0,00;
0,00;0,00;204,44;0,30;0,00;0,00;
0,00;0,00;204,60;0,37;0,00;0,00;
0,00;0,00;204,76;0,37;0,00;0,00;
0,00;0,00;204,92;1,96;0,00;0,00;
0,00;0,00;205,07;2,12;0,00;0,00;
0,00;0,00;205,24;2,12;0,00;0,00;
0,00;0,00;205,40;2,04;0,00;0,00;
0,00;0,00;205,56;2,04;0,00;0,00;
0,00;0,00;205,72;1,96;0,00;0,00;
0,00;0,00;205,88;2,12;0,00;0,00;
0,00;0,00;206,04;2,12;0,00;0,00;
0,00;0,00;206,20;2,04;0,00;0,00;
0,00;0,00;206,36;2,12;0,00;0,00;
0,00;0,00;206,52;1,82;0,00;0,00;
0,00;0,00;206,68;1,74;0,00;0,00;
0,00;0,00;206,84;1,96;0,00;0,00;
0,00;0,00;206,95;2,43;0,00;0,00;
0,00;0,00;206,95;2,20;0,00;0,00;
