21603;15.06.21 11:06:01;21;Avvicinamento Pressata Finale;Alcun errore (0);20210615094859P0008;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;72,62;0,17;0,00;0,00;
0,00;0,00;75,70;0,12;0,00;0,00;
0,00;0,00;80,32;0,08;0,00;0,00;
0,00;0,00;85,12;0,04;0,00;0,00;
0,00;0,00;89,92;0,09;0,00;0,00;
0,00;0,00;94,72;0,09;0,00;0,00;
0,00;0,00;99,52;0,04;0,00;0,00;
0,00;0,00;104,32;0,04;0,00;0,00;
0,00;0,00;109,12;0,09;0,00;0,00;
0,00;0,00;113,92;0,04;0,00;0,00;
0,00;0,00;118,72;0,04;0,00;0,00;
0,00;0,00;123,52;0,04;0,00;0,00;
0,00;0,00;128,32;0,04;0,00;0,00;
0,00;0,00;133,12;0,04;0,00;0,00;
0,00;0,00;137,92;0,09;0,00;0,00;
0,00;0,00;142,72;0,04;0,00;0,00;
0,00;0,00;147,52;0,04;0,00;0,00;
0,00;0,00;152,32;0,09;0,00;0,00;
0,00;0,00;161,92;0,04;0,00;0,00;
0,00;0,00;166,72;0,04;0,00;0,00;
0,00;0,00;171,52;0,04;0,00;0,00;
0,00;0,00;176,32;0,04;0,00;0,00;
0,00;0,00;181,12;0,04;0,00;0,00;
0,00;0,00;190,72;0,08;0,00;0,00;
0,00;0,00;200,32;0,04;0,00;0,00;
0,00;0,00;205,12;0,04;0,00;0,00;
0,00;0,00;219,52;0,04;0,00;0,00;
0,00;0,00;224,32;0,09;0,00;0,00;
0,00;0,00;229,12;0,04;0,00;0,00;
0,00;0,00;238,72;0,09;0,00;0,00;
0,00;0,00;243,52;0,04;0,00;0,00;
0,00;0,00;248,32;0,12;0,00;0,00;
0,00;0,00;253,12;0,09;0,00;0,00;
0,00;0,00;257,92;0,04;0,00;0,00;
0,00;0,00;267,52;0,04;0,00;0,00;
0,00;0,00;281,92;0,04;0,00;0,00;
0,00;0,00;291,78;0,04;0,00;0,00;
0,00;0,00;291,95;0,09;0,00;0,00;
0,00;0,00;291,99;0,09;0,00;0,00;
0,00;0,00;292,18;0,09;0,00;0,00;
0,00;0,00;292,37;0,12;0,00;0,00;
0,00;0,00;292,57;0,09;0,00;0,00;
0,00;0,00;292,76;0,12;0,00;0,00;
0,00;0,00;292,95;0,09;0,00;0,00;
0,00;0,00;293,14;0,09;0,00;0,00;
0,00;0,00;293,33;0,09;0,00;0,00;
0,00;0,00;293,53;0,09;0,00;0,00;
0,00;0,00;293,72;0,09;0,00;0,00;
0,00;0,00;293,91;0,09;0,00;0,00;
0,00;0,00;294,10;0,09;0,00;0,00;
0,00;0,00;294,29;0,09;0,00;0,00;
0,00;0,00;294,49;0,09;0,00;0,00;
0,00;0,00;294,68;0,09;0,00;0,00;
0,00;0,00;294,87;0,09;0,00;0,00;
0,00;0,00;295,06;0,09;0,00;0,00;
0,00;0,00;295,25;0,12;0,00;0,00;
0,00;0,00;295,45;0,09;0,00;0,00;
0,00;0,00;295,64;0,09;0,00;0,00;
0,00;0,00;295,83;0,09;0,00;0,00;
0,00;0,00;296,02;0,09;0,00;0,00;
0,00;0,00;296,21;0,09;0,00;0,00;
0,00;0,00;296,41;0,09;0,00;0,00;
0,00;0,00;296,60;0,09;0,00;0,00;
0,00;0,00;296,79;0,09;0,00;0,00;
0,00;0,00;296,98;0,09;0,00;0,00;
0,00;0,00;297,17;0,09;0,00;0,00;
0,00;0,00;297,37;0,09;0,00;0,00;
0,00;0,00;297,56;0,09;0,00;0,00;
0,00;0,00;297,75;0,09;0,00;0,00;
0,00;0,00;297,94;0,17;0,00;0,00;
0,00;0,00;298,13;0,09;0,00;0,00;
0,00;0,00;298,33;0,12;0,00;0,00;
0,00;0,00;298,52;0,09;0,00;0,00;
0,00;0,00;298,71;0,09;0,00;0,00;
0,00;0,00;298,90;0,09;0,00;0,00;
0,00;0,00;299,09;0,09;0,00;0,00;
0,00;0,00;299,29;0,12;0,00;0,00;
0,00;0,00;299,48;0,09;0,00;0,00;
0,00;0,00;299,67;0,09;0,00;0,00;
0,00;0,00;299,86;0,09;0,00;0,00;
0,00;0,00;300,05;0,09;0,00;0,00;
0,00;0,00;300,25;0,09;0,00;0,00;
0,00;0,00;300,44;0,17;0,00;0,00;
0,00;0,00;300,63;0,26;0,00;0,00;
0,00;0,00;300,82;0,26;0,00;0,00;
0,00;0,00;301,01;0,30;0,00;0,00;
0,00;0,00;301,20;0,26;0,00;0,00;
0,00;0,00;301,40;0,39;0,00;0,00;
0,00;0,00;301,59;0,44;0,00;0,00;
0,00;0,00;301,78;0,44;0,00;0,00;
0,00;0,00;301,97;0,44;0,00;0,00;
0,00;0,00;302,17;0,44;0,00;0,00;
0,00;0,00;302,36;0,56;0,00;0,00;
0,00;0,00;302,55;0,60;0,00;0,00;
0,00;0,00;302,74;0,60;0,00;0,00;
0,00;0,00;302,93;0,60;0,00;0,00;
0,00;0,00;303,13;0,60;0,00;0,00;
0,00;0,00;303,32;0,78;0,00;0,00;
0,00;0,00;303,51;0,78;0,00;0,00;
0,00;0,00;303,70;0,78;0,00;0,00;
0,00;0,00;303,89;0,78;0,00;0,00;
0,00;0,00;304,09;0,78;0,00;0,00;
0,00;0,00;304,28;0,60;0,00;0,00;
0,00;0,00;304,47;0,60;0,00;0,00;
0,00;0,00;304,66;0,60;0,00;0,00;
0,00;0,00;304,85;0,60;0,00;0,00;
0,00;0,00;305,05;0,56;0,00;0,00;
0,00;0,00;305,24;0,56;0,00;0,00;
0,00;0,00;305,43;0,60;0,00;0,00;
0,00;0,00;305,62;0,60;0,00;0,00;
0,00;0,00;305,81;0,60;0,00;0,00;
0,00;0,00;306,01;0,60;0,00;0,00;
0,00;0,00;306,20;0,60;0,00;0,00;
0,00;0,00;306,39;0,60;0,00;0,00;
0,00;0,00;306,58;0,60;0,00;0,00;
0,00;0,00;306,77;0,60;0,00;0,00;
0,00;0,00;306,97;0,78;0,00;0,00;
0,00;0,00;307,16;0,69;0,00;0,00;
0,00;0,00;307,35;0,78;0,00;0,00;
0,00;0,00;307,54;0,78;0,00;0,00;
0,00;0,00;307,73;0,82;0,00;0,00;
0,00;0,00;307,93;0,86;0,00;0,00;
0,00;0,00;308,12;0,86;0,00;0,00;
0,00;0,00;308,31;0,95;0,00;0,00;
0,00;0,00;308,50;0,95;0,00;0,00;
0,00;0,00;308,69;1,00;0,00;0,00;
0,00;0,00;308,89;1,00;0,00;0,00;
0,00;0,00;309,08;1,13;0,00;0,00;
0,00;0,00;309,27;1,09;0,00;0,00;
0,00;0,00;309,46;1,13;0,00;0,00;
0,00;0,00;309,65;1,13;0,00;0,00;
0,00;0,00;309,85;1,22;0,00;0,00;
0,00;0,00;310,04;1,26;0,00;0,00;
0,00;0,00;310,23;1,31;0,00;0,00;
0,00;0,00;310,42;1,31;0,00;0,00;
0,00;0,00;310,61;1,34;0,00;0,00;
0,00;0,00;310,80;1,73;0,00;0,00;
0,00;0,00;310,99;3,74;0,00;0,00;
0,00;0,00;311,08;5,83;0,00;0,00;
0,00;0,00;311,09;6,00;0,00;0,00;
0,00;0,00;311,10;6,17;0,00;0,00;
0,00;0,00;310,01;-0,09;0,00;0,00;
0,00;0,00;306,91;-0,09;0,00;0,00;
0,00;0,00;302,28;-0,04;0,00;0,00;
0,00;0,00;292,68;-0,04;0,00;0,00;
0,00;0,00;287,88;0,04;0,00;0,00;
0,00;0,00;283,08;0,04;0,00;0,00;
0,00;0,00;259,08;0,04;0,00;0,00;
