Nr;Date;ProgNr;ProgName;State;PartInfo;
62011;21.09.21 11:48:53;22;Avvicinamento pre-pressata pressata Fuori Ingombro;start interrupted (14);20210921104927P0009;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;22,30;0,08;0,00;0,00;
0,00;0,00;22,36;0,37;0,00;0,00;
0,00;0,00;22,81;0,61;0,00;0,00;
0,00;0,00;23,58;0,69;0,00;0,00;
0,00;0,00;24,73;0,53;0,00;0,00;
0,00;0,00;26,28;0,53;0,00;0,00;
0,00;0,00;28,20;0,53;0,00;0,00;
0,00;0,00;30,50;0,53;0,00;0,00;
0,00;0,00;32,84;0,61;0,00;0,00;
0,00;0,00;35,23;0,53;0,00;0,00;
0,00;0,00;37,64;0,53;0,00;0,00;
0,00;0,00;40,05;0,53;0,00;0,00;
0,00;0,00;42,44;0,37;0,00;0,00;
0,00;0,00;44,84;0,53;0,00;0,00;
0,00;0,00;47,25;0,53;0,00;0,00;
0,00;0,00;49,64;0,45;0,00;0,00;
0,00;0,00;52,05;0,45;0,00;0,00;
0,00;0,00;54,45;0,45;0,00;0,00;
0,00;0,00;56,85;0,37;0,00;0,00;
0,00;0,00;59,25;0,37;0,00;0,00;
0,00;0,00;61,65;0,45;0,00;0,00;
