11607;04.06.21 12:09:38;22;Avvicinamento pre-pressata pressata Fuori Ingombro;force > max. force (8);20210604113915A0218;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;39,96;0,14;0,00;0,00;
0,00;0,00;40,50;0,09;0,00;0,00;
0,00;0,00;41,53;0,13;0,00;0,00;
0,00;0,00;43,06;0,20;0,00;0,00;
0,00;0,00;45,10;0,11;0,00;0,00;
0,00;0,00;47,66;0,09;0,00;0,00;
0,00;0,00;50,71;0,09;0,00;0,00;
0,00;0,00;53,85;0,09;0,00;0,00;
0,00;0,00;57,02;0,16;0,00;0,00;
0,00;0,00;60,25;0,09;0,00;0,00;
0,00;0,00;63,44;0,05;0,00;0,00;
0,00;0,00;66,65;0,09;0,00;0,00;
0,00;0,00;69,85;0,07;0,00;0,00;
0,00;0,00;73,05;0,11;0,00;0,00;
0,00;0,00;76,25;0,11;0,00;0,00;
0,00;0,00;79,45;0,09;0,00;0,00;
0,00;0,00;82,65;0,11;0,00;0,00;
0,00;0,00;85,85;0,05;0,00;0,00;
0,00;0,00;89,05;0,11;0,00;0,00;
0,00;0,00;92,25;0,09;0,00;0,00;
0,00;0,00;95,45;0,07;0,00;0,00;
0,00;0,00;98,65;0,11;0,00;0,00;
0,00;0,00;101,85;0,07;0,00;0,00;
0,00;0,00;105,05;0,13;0,00;0,00;
0,00;0,00;108,25;0,09;0,00;0,00;
0,00;0,00;111,45;0,05;0,00;0,00;
0,00;0,00;114,65;0,09;0,00;0,00;
0,00;0,00;117,85;0,07;0,00;0,00;
0,00;0,00;121,05;0,13;0,00;0,00;
0,00;0,00;124,25;0,11;0,00;0,00;
0,00;0,00;127,45;0,07;0,00;0,00;
0,00;0,00;130,65;0,07;0,00;0,00;
0,00;0,00;133,85;0,07;0,00;0,00;
0,00;0,00;137,05;0,09;0,00;0,00;
0,00;0,00;140,25;0,11;0,00;0,00;
0,00;0,00;143,45;0,05;0,00;0,00;
0,00;0,00;146,65;0,07;0,00;0,00;
0,00;0,00;149,85;0,05;0,00;0,00;
0,00;0,00;153,05;0,13;0,00;0,00;
0,00;0,00;156,25;0,09;0,00;0,00;
0,00;0,00;159,42;0,05;0,00;0,00;
0,00;0,00;162,10;0,07;0,00;0,00;
0,00;0,00;164,34;0,02;0,00;0,00;
0,00;0,00;166,11;-0,07;0,00;0,00;
0,00;0,00;167,36;-0,05;0,00;0,00;
0,00;0,00;168,10;-0,07;0,00;0,00;
0,00;0,00;168,34;0,02;0,00;0,00;
0,00;0,00;168,42;-0,02;0,00;0,00;
0,00;0,00;168,55;0,02;0,00;0,00;
0,00;0,00;168,69;0,07;0,00;0,00;
0,00;0,00;168,85;0,05;0,00;0,00;
0,00;0,00;169,01;0,05;0,00;0,00;
0,00;0,00;169,17;0,02;0,00;0,00;
0,00;0,00;169,33;0,11;0,00;0,00;
0,00;0,00;169,49;0,18;0,00;0,00;
0,00;0,00;169,65;0,84;0,00;0,00;
0,00;0,00;169,79;4,65;0,00;0,00;
0,00;0,00;169,83;6,21;0,00;0,00;
0,00;0,00;169,84;6,58;0,00;0,00;
0,00;0,00;169,84;6,80;0,00;0,00;
0,00;0,00;169,85;7,00;0,00;0,00;
0,00;0,00;169,86;7,12;0,00;0,00;
0,00;0,00;169,86;7,25;0,00;0,00;
0,00;0,00;169,86;7,32;0,00;0,00;
0,00;0,00;169,87;7,41;0,00;0,00;
0,00;0,00;169,87;7,50;0,00;0,00;
0,00;0,00;169,87;7,57;0,00;0,00;
0,00;0,00;169,87;7,59;0,00;0,00;
0,00;0,00;169,87;7,62;0,00;0,00;
0,00;0,00;169,87;7,68;0,00;0,00;
