3935;17.02.20 11:36:58;21;Avvicinamento Pressata Fuori Ingombro;Alcun errore (0);20200217113150;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;74,44;0,22;0,00;0,00;
0,00;0,00;75,05;0,14;0,00;0,00;
0,00;0,00;76,00;0,22;0,00;0,00;
0,00;0,00;77,35;0,22;0,00;0,00;
0,00;0,00;79,09;0,30;0,00;0,00;
0,00;0,00;81,20;0,30;0,00;0,00;
0,00;0,00;83,57;0,14;0,00;0,00;
0,00;0,00;85,93;0,14;0,00;0,00;
0,00;0,00;88,34;0,22;0,00;0,00;
0,00;0,00;90,74;0,30;0,00;0,00;
0,00;0,00;93,15;0,14;0,00;0,00;
0,00;0,00;95,54;0,06;0,00;0,00;
0,00;0,00;97,95;0,14;0,00;0,00;
0,00;0,00;100,35;0,22;0,00;0,00;
0,00;0,00;102,74;0,22;0,00;0,00;
0,00;0,00;105,15;0,14;0,00;0,00;
0,00;0,00;107,54;0,06;0,00;0,00;
0,00;0,00;109,95;0,14;0,00;0,00;
0,00;0,00;112,35;0,22;0,00;0,00;
0,00;0,00;114,74;0,22;0,00;0,00;
0,00;0,00;117,15;0,14;0,00;0,00;
0,00;0,00;121,95;0,14;0,00;0,00;
0,00;0,00;124,35;0,22;0,00;0,00;
0,00;0,00;126,75;0,14;0,00;0,00;
0,00;0,00;131,54;0,06;0,00;0,00;
0,00;0,00;133,95;0,14;0,00;0,00;
0,00;0,00;136,35;0,14;0,00;0,00;
0,00;0,00;138,75;0,14;0,00;0,00;
0,00;0,00;141,15;0,06;0,00;0,00;
0,00;0,00;145,95;0,06;0,00;0,00;
0,00;0,00;148,35;0,14;0,00;0,00;
0,00;0,00;150,74;0,14;0,00;0,00;
0,00;0,00;155,54;0,06;0,00;0,00;
0,00;0,00;157,95;0,14;0,00;0,00;
0,00;0,00;160,35;0,06;0,00;0,00;
0,00;0,00;162,75;0,22;0,00;0,00;
0,00;0,00;167,54;0,06;0,00;0,00;
0,00;0,00;169,95;0,06;0,00;0,00;
0,00;0,00;172,35;0,22;0,00;0,00;
0,00;0,00;174,74;0,14;0,00;0,00;
0,00;0,00;177,15;0,06;0,00;0,00;
0,00;0,00;179,54;0,14;0,00;0,00;
0,00;0,00;181,95;0,14;0,00;0,00;
0,00;0,00;184,35;0,22;0,00;0,00;
0,00;0,00;186,74;0,30;0,00;0,00;
0,00;0,00;189,15;0,06;0,00;0,00;
0,00;0,00;191,48;0,14;0,00;0,00;
0,00;0,00;193,43;0,14;0,00;0,00;
0,00;0,00;195,09;0,06;0,00;0,00;
0,00;0,00;196,36;-0,02;0,00;0,00;
0,00;0,00;197,25;-0,02;0,00;0,00;
0,00;0,00;197,97;0,06;0,00;0,00;
0,00;0,00;198,07;0,14;0,00;0,00;
0,00;0,00;198,20;0,06;0,00;0,00;
0,00;0,00;198,35;0,06;0,00;0,00;
0,00;0,00;198,52;0,14;0,00;0,00;
