45754;14.06.21 14:56:26;22;Avvicinamento pre-pressata pressata Fuori Ingombro;force > max. force (8);20210614144126P0009;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;22,36;0,08;0,00;0,00;
0,00;0,00;22,81;0,47;0,00;0,00;
0,00;0,00;23,58;0,47;0,00;0,00;
0,00;0,00;24,73;0,47;0,00;0,00;
0,00;0,00;26,28;0,39;0,00;0,00;
0,00;0,00;28,20;0,39;0,00;0,00;
0,00;0,00;30,50;0,47;0,00;0,00;
0,00;0,00;32,84;0,39;0,00;0,00;
0,00;0,00;35,23;0,39;0,00;0,00;
0,00;0,00;37,64;0,39;0,00;0,00;
0,00;0,00;40,05;0,39;0,00;0,00;
0,00;0,00;42,44;0,39;0,00;0,00;
0,00;0,00;44,84;0,39;0,00;0,00;
0,00;0,00;47,25;0,39;0,00;0,00;
0,00;0,00;49,64;0,39;0,00;0,00;
0,00;0,00;52,05;0,39;0,00;0,00;
0,00;0,00;54,45;0,39;0,00;0,00;
0,00;0,00;56,85;0,39;0,00;0,00;
0,00;0,00;59,25;0,39;0,00;0,00;
0,00;0,00;61,64;0,39;0,00;0,00;
0,00;0,00;64,05;0,31;0,00;0,00;
0,00;0,00;66,45;0,39;0,00;0,00;
0,00;0,00;68,85;0,39;0,00;0,00;
0,00;0,00;71,25;0,39;0,00;0,00;
0,00;0,00;73,64;0,39;0,00;0,00;
0,00;0,00;76,05;0,39;0,00;0,00;
0,00;0,00;78,45;0,39;0,00;0,00;
0,00;0,00;80,85;0,39;0,00;0,00;
0,00;0,00;83,25;0,39;0,00;0,00;
0,00;0,00;85,64;0,39;0,00;0,00;
0,00;0,00;88,05;0,31;0,00;0,00;
0,00;0,00;90,45;0,31;0,00;0,00;
0,00;0,00;92,85;0,39;0,00;0,00;
0,00;0,00;95,25;0,39;0,00;0,00;
0,00;0,00;97,64;0,31;0,00;0,00;
0,00;0,00;100,05;0,39;0,00;0,00;
0,00;0,00;102,45;0,39;0,00;0,00;
0,00;0,00;104,85;0,31;0,00;0,00;
0,00;0,00;107,25;0,39;0,00;0,00;
0,00;0,00;109,64;0,31;0,00;0,00;
0,00;0,00;112,05;0,39;0,00;0,00;
0,00;0,00;114,45;0,31;0,00;0,00;
0,00;0,00;116,85;0,39;0,00;0,00;
0,00;0,00;119,25;0,39;0,00;0,00;
0,00;0,00;121,64;0,39;0,00;0,00;
0,00;0,00;124,05;0,39;0,00;0,00;
0,00;0,00;126,45;0,39;0,00;0,00;
0,00;0,00;128,85;0,39;0,00;0,00;
0,00;0,00;131,25;0,39;0,00;0,00;
0,00;0,00;133,64;0,39;0,00;0,00;
0,00;0,00;136,05;0,31;0,00;0,00;
0,00;0,00;138,45;0,31;0,00;0,00;
0,00;0,00;140,85;0,39;0,00;0,00;
0,00;0,00;143,25;0,31;0,00;0,00;
0,00;0,00;145,64;0,39;0,00;0,00;
0,00;0,00;148,05;0,31;0,00;0,00;
0,00;0,00;150,45;0,31;0,00;0,00;
0,00;0,00;152,85;0,39;0,00;0,00;
0,00;0,00;155,25;0,31;0,00;0,00;
0,00;0,00;157,64;0,39;0,00;0,00;
0,00;0,00;160,05;0,31;0,00;0,00;
0,00;0,00;162,45;0,39;0,00;0,00;
0,00;0,00;164,85;0,39;0,00;0,00;
0,00;0,00;167,25;0,39;0,00;0,00;
0,00;0,00;169,64;0,39;0,00;0,00;
0,00;0,00;172,05;0,39;0,00;0,00;
0,00;0,00;174,45;0,39;0,00;0,00;
0,00;0,00;176,84;0,31;0,00;0,00;
0,00;0,00;178,87;0,39;0,00;0,00;
0,00;0,00;180,60;0,23;0,00;0,00;
0,00;0,00;181,96;0,23;0,00;0,00;
0,00;0,00;182,94;0,39;0,00;0,00;
0,00;0,00;183,53;0,31;0,00;0,00;
0,00;0,00;183,75;0,23;0,00;0,00;
0,00;0,00;183,81;0,31;0,00;0,00;
0,00;0,00;183,81;0,39;0,00;0,00;
0,00;0,00;183,96;0,31;0,00;0,00;
0,00;0,00;184,09;0,31;0,00;0,00;
0,00;0,00;184,24;0,39;0,00;0,00;
0,00;0,00;184,41;0,39;0,00;0,00;
0,00;0,00;184,57;0,31;0,00;0,00;
0,00;0,00;184,73;0,39;0,00;0,00;
0,00;0,00;184,89;0,39;0,00;0,00;
0,00;0,00;185,05;0,39;0,00;0,00;
0,00;0,00;185,21;0,39;0,00;0,00;
0,00;0,00;185,37;0,39;0,00;0,00;
0,00;0,00;185,53;0,39;0,00;0,00;
0,00;0,00;185,69;0,39;0,00;0,00;
0,00;0,00;185,85;0,39;0,00;0,00;
0,00;0,00;186,01;0,39;0,00;0,00;
0,00;0,00;186,17;0,39;0,00;0,00;
0,00;0,00;186,33;0,39;0,00;0,00;
0,00;0,00;186,49;0,39;0,00;0,00;
0,00;0,00;186,65;0,39;0,00;0,00;
0,00;0,00;186,81;0,39;0,00;0,00;
0,00;0,00;186,97;0,39;0,00;0,00;
0,00;0,00;187,13;0,39;0,00;0,00;
0,00;0,00;187,29;0,39;0,00;0,00;
0,00;0,00;187,45;0,39;0,00;0,00;
0,00;0,00;187,61;0,39;0,00;0,00;
0,00;0,00;187,77;0,39;0,00;0,00;
0,00;0,00;187,93;0,39;0,00;0,00;
0,00;0,00;188,09;0,39;0,00;0,00;
0,00;0,00;188,25;0,39;0,00;0,00;
0,00;0,00;188,41;0,39;0,00;0,00;
0,00;0,00;188,57;0,39;0,00;0,00;
0,00;0,00;188,73;0,39;0,00;0,00;
0,00;0,00;188,80;0,39;0,00;0,00;
0,00;0,00;188,80;0,39;0,00;0,00;
0,00;0,00;188,13;-0,08;0,00;0,00;
0,00;0,00;187,27;-0,08;0,00;0,00;
0,00;0,00;186,02;-0,08;0,00;0,00;
0,00;0,00;185,05;-0,08;0,00;0,00;
0,00;0,00;184,34;0,08;0,00;0,00;
0,00;0,00;183,91;0,08;0,00;0,00;
0,00;0,00;183,82;-0,16;0,00;0,00;
0,00;0,00;183,79;-0,08;0,00;0,00;
0,00;0,00;183,79;-0,08;0,00;0,00;
0,00;0,00;183,95;0,39;0,00;0,00;
0,00;0,00;184,08;0,39;0,00;0,00;
0,00;0,00;184,24;0,39;0,00;0,00;
0,00;0,00;184,41;0,39;0,00;0,00;
0,00;0,00;184,57;0,39;0,00;0,00;
0,00;0,00;184,73;0,39;0,00;0,00;
0,00;0,00;184,89;0,39;0,00;0,00;
0,00;0,00;185,05;0,39;0,00;0,00;
0,00;0,00;185,21;0,39;0,00;0,00;
0,00;0,00;185,37;0,39;0,00;0,00;
0,00;0,00;185,53;0,39;0,00;0,00;
0,00;0,00;185,69;0,39;0,00;0,00;
0,00;0,00;185,85;0,39;0,00;0,00;
0,00;0,00;186,01;0,39;0,00;0,00;
0,00;0,00;186,17;0,39;0,00;0,00;
0,00;0,00;186,33;0,39;0,00;0,00;
0,00;0,00;186,49;0,39;0,00;0,00;
0,00;0,00;186,65;0,39;0,00;0,00;
0,00;0,00;186,81;0,39;0,00;0,00;
0,00;0,00;186,97;0,39;0,00;0,00;
0,00;0,00;187,13;0,39;0,00;0,00;
0,00;0,00;187,29;0,39;0,00;0,00;
0,00;0,00;187,45;0,39;0,00;0,00;
0,00;0,00;187,61;0,39;0,00;0,00;
0,00;0,00;187,77;0,39;0,00;0,00;
0,00;0,00;187,93;0,39;0,00;0,00;
0,00;0,00;188,09;0,39;0,00;0,00;
0,00;0,00;188,25;0,39;0,00;0,00;
0,00;0,00;188,41;0,39;0,00;0,00;
0,00;0,00;188,57;0,39;0,00;0,00;
0,00;0,00;188,73;0,39;0,00;0,00;
0,00;0,00;188,89;0,39;0,00;0,00;
0,00;0,00;189,05;0,39;0,00;0,00;
0,00;0,00;189,21;0,39;0,00;0,00;
0,00;0,00;189,37;0,39;0,00;0,00;
0,00;0,00;189,53;0,39;0,00;0,00;
0,00;0,00;189,69;0,39;0,00;0,00;
0,00;0,00;189,85;0,47;0,00;0,00;
0,00;0,00;190,01;0,70;0,00;0,00;
0,00;0,00;190,17;0,70;0,00;0,00;
0,00;0,00;190,33;1,00;0,00;0,00;
0,00;0,00;190,49;1,31;0,00;0,00;
0,00;0,00;190,65;1,60;0,00;0,00;
0,00;0,00;190,81;2,13;0,00;0,00;
0,00;0,00;190,96;4,19;0,00;0,00;
0,00;0,00;191,12;6,39;0,00;0,00;
0,00;0,00;191,28;8,46;0,00;0,00;
0,00;0,00;191,44;10,36;0,00;0,00;
0,00;0,00;191,60;12,49;0,00;0,00;
0,00;0,00;191,75;14,39;0,00;0,00;
0,00;0,00;191,92;15,08;0,00;0,00;
0,00;0,00;192,08;16,82;0,00;0,00;
0,00;0,00;192,24;19,19;0,00;0,00;
0,00;0,00;192,39;21,54;0,00;0,00;
0,00;0,00;192,55;23,44;0,00;0,00;
0,00;0,00;192,71;25,05;0,00;0,00;
0,00;0,00;192,88;27,63;0,00;0,00;
0,00;0,00;193,03;30,61;0,00;0,00;
0,00;0,00;193,08;29,39;0,00;0,00;
0,00;0,00;193,11;31,74;0,00;0,00;
0,00;0,00;193,11;31,66;0,00;0,00;
0,00;0,00;193,11;31,51;0,00;0,00;
0,00;0,00;193,11;31,51;0,00;0,00;
0,00;0,00;193,12;31,45;0,00;0,00;
0,00;0,00;193,12;31,59;0,00;0,00;
0,00;0,00;193,12;31,74;0,00;0,00;
0,00;0,00;193,12;31,66;0,00;0,00;
0,00;0,00;193,12;31,74;0,00;0,00;
0,00;0,00;193,12;31,59;0,00;0,00;
0,00;0,00;193,12;31,51;0,00;0,00;
0,00;0,00;193,12;31,45;0,00;0,00;
0,00;0,00;193,12;31,45;0,00;0,00;
