918;12.12.19 17:41:49;21;Avvicinamento Pressata Fuori Ingombro;Alcun errore (0);20191212172850;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;0,26;0,13;0,00;0,00;
0,00;0,00;1,04;0,18;0,00;0,00;
0,00;0,00;2,30;0,13;0,00;0,00;
0,00;0,00;4,09;0,18;0,00;0,00;
0,00;0,00;6,40;0,23;0,00;0,00;
0,00;0,00;9,20;0,23;0,00;0,00;
0,00;0,00;12,35;0,09;0,00;0,00;
0,00;0,00;15,49;0,16;0,00;0,00;
0,00;0,00;18,75;0,04;0,00;0,00;
0,00;0,00;21,94;0,11;0,00;0,00;
0,00;0,00;25,15;0,18;0,00;0,00;
0,00;0,00;28,35;0,09;0,00;0,00;
0,00;0,00;31,56;0,16;0,00;0,00;
0,00;0,00;34,75;0,11;0,00;0,00;
0,00;0,00;37,95;0,11;0,00;0,00;
0,00;0,00;41,15;0,20;0,00;0,00;
0,00;0,00;44,35;0,04;0,00;0,00;
0,00;0,00;47,55;0,20;0,00;0,00;
0,00;0,00;50,75;0,13;0,00;0,00;
0,00;0,00;53,95;0,13;0,00;0,00;
0,00;0,00;57,15;0,23;0,00;0,00;
0,00;0,00;60,35;0,06;0,00;0,00;
0,00;0,00;63,55;0,18;0,00;0,00;
0,00;0,00;66,75;0,13;0,00;0,00;
0,00;0,00;69,95;0,09;0,00;0,00;
0,00;0,00;73,15;0,23;0,00;0,00;
0,00;0,00;76,35;0,09;0,00;0,00;
0,00;0,00;79,55;0,16;0,00;0,00;
0,00;0,00;82,75;0,11;0,00;0,00;
0,00;0,00;85,95;0,11;0,00;0,00;
0,00;0,00;89,15;0,23;0,00;0,00;
0,00;0,00;92,35;0,06;0,00;0,00;
0,00;0,00;95,55;0,13;0,00;0,00;
0,00;0,00;98,75;0,11;0,00;0,00;
0,00;0,00;101,95;0,11;0,00;0,00;
0,00;0,00;105,15;0,23;0,00;0,00;
0,00;0,00;108,35;0,06;0,00;0,00;
0,00;0,00;111,55;0,16;0,00;0,00;
0,00;0,00;114,75;0,11;0,00;0,00;
0,00;0,00;117,95;0,09;0,00;0,00;
0,00;0,00;121,15;0,20;0,00;0,00;
0,00;0,00;124,35;0,09;0,00;0,00;
0,00;0,00;127,55;0,16;0,00;0,00;
0,00;0,00;130,75;0,09;0,00;0,00;
0,00;0,00;133,95;0,11;0,00;0,00;
0,00;0,00;137,15;0,20;0,00;0,00;
0,00;0,00;140,35;0,13;0,00;0,00;
0,00;0,00;143,55;0,16;0,00;0,00;
0,00;0,00;146,75;0,13;0,00;0,00;
0,00;0,00;149,95;0,13;0,00;0,00;
0,00;0,00;153,15;0,20;0,00;0,00;
0,00;0,00;156,35;0,06;0,00;0,00;
0,00;0,00;159,55;0,18;0,00;0,00;
0,00;0,00;162,63;-0,05;0,00;0,00;
0,00;0,00;165,20;0,09;0,00;0,00;
0,00;0,00;167,34;0,06;0,00;0,00;
0,00;0,00;170,71;-0,07;0,00;0,00;
0,00;0,00;170,88;0,05;0,00;0,00;
0,00;0,00;170,94;-0,02;0,00;0,00;
0,00;0,00;171,05;0,02;0,00;0,00;
0,00;0,00;171,19;0,07;0,00;0,00;
0,00;0,00;171,35;0,09;0,00;0,00;
0,00;0,00;171,51;0,07;0,00;0,00;
0,00;0,00;171,67;0,05;0,00;0,00;
0,00;0,00;171,83;0,02;0,00;0,00;
0,00;0,00;171,99;0,07;0,00;0,00;
0,00;0,00;172,15;0,09;0,00;0,00;
0,00;0,00;172,31;0,07;0,00;0,00;
0,00;0,00;172,47;0,07;0,00;0,00;
0,00;0,00;172,63;0,07;0,00;0,00;
0,00;0,00;172,79;0,09;0,00;0,00;
0,00;0,00;172,95;0,09;0,00;0,00;
0,00;0,00;173,11;0,09;0,00;0,00;
0,00;0,00;173,27;0,05;0,00;0,00;
0,00;0,00;173,43;0,09;0,00;0,00;
0,00;0,00;173,59;0,09;0,00;0,00;
0,00;0,00;173,75;0,07;0,00;0,00;
0,00;0,00;173,91;0,07;0,00;0,00;
0,00;0,00;174,07;0,09;0,00;0,00;
0,00;0,00;174,23;0,07;0,00;0,00;
0,00;0,00;174,39;0,07;0,00;0,00;
0,00;0,00;174,55;0,09;0,00;0,00;
0,00;0,00;174,71;0,13;0,00;0,00;
0,00;0,00;174,87;0,18;0,00;0,00;
0,00;0,00;175,03;0,25;0,00;0,00;
0,00;0,00;175,19;0,90;0,00;0,00;
