7938;18.02.20 15:19:29;21;Avvicinamento Pressata Fuori Ingombro;wrong softlimit spindle data (74);
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;0,00;-0,01;0,00;0,00;
0,00;0,00;0,26;0,07;0,00;0,00;
0,00;0,00;1,04;0,04;0,00;0,00;
0,00;0,00;2,33;0,04;0,00;0,00;
0,00;0,00;4,15;0,05;0,00;0,00;
0,00;0,00;6,46;0,04;0,00;0,00;
0,00;0,00;9,30;0,05;0,00;0,00;
0,00;0,00;12,63;0,05;0,00;0,00;
0,00;0,00;16,12;0,03;0,00;0,00;
0,00;0,00;19,65;0,03;0,00;0,00;
0,00;0,00;23,17;0,03;0,00;0,00;
0,00;0,00;26,69;0,03;0,00;0,00;
0,00;0,00;30,21;0,04;0,00;0,00;
0,00;0,00;33,73;0,04;0,00;0,00;
0,00;0,00;37,25;0,02;0,00;0,00;
0,00;0,00;40,77;0,04;0,00;0,00;
0,00;0,00;44,29;0,04;0,00;0,00;
0,00;0,00;47,81;0,03;0,00;0,00;
0,00;0,00;51,33;0,04;0,00;0,00;
0,00;0,00;54,85;0,03;0,00;0,00;
0,00;0,00;58,36;0,04;0,00;0,00;
0,00;0,00;61,89;0,03;0,00;0,00;
0,00;0,00;65,41;0,03;0,00;0,00;
0,00;0,00;68,93;0,04;0,00;0,00;
0,00;0,00;72,45;0,03;0,00;0,00;
0,00;0,00;75,97;0,04;0,00;0,00;
0,00;0,00;79,49;0,03;0,00;0,00;
0,00;0,00;83,01;0,04;0,00;0,00;
0,00;0,00;86,53;0,04;0,00;0,00;
0,00;0,00;90,05;0,03;0,00;0,00;
0,00;0,00;93,57;0,03;0,00;0,00;
0,00;0,00;97,09;0,04;0,00;0,00;
0,00;0,00;100,61;0,04;0,00;0,00;
0,00;0,00;104,13;0,04;0,00;0,00;
0,00;0,00;107,65;0,02;0,00;0,00;
0,00;0,00;111,17;0,02;0,00;0,00;
0,00;0,00;114,46;0,03;0,00;0,00;
0,00;0,00;117,29;0,01;0,00;0,00;
0,00;0,00;119,62;0,01;0,00;0,00;
0,00;0,00;123,99;-0,01;0,00;0,00;
0,00;0,00;124,11;0,01;0,00;0,00;
0,00;0,00;124,24;0,01;0,00;0,00;
0,00;0,00;124,37;0,01;0,00;0,00;
0,00;0,00;124,50;0,01;0,00;0,00;
0,00;0,00;124,62;0,01;0,00;0,00;
0,00;0,00;124,75;0,02;0,00;0,00;
0,00;0,00;124,88;0,02;0,00;0,00;
0,00;0,00;125,01;0,01;0,00;0,00;
0,00;0,00;125,14;0,01;0,00;0,00;
0,00;0,00;125,39;0,01;0,00;0,00;
0,00;0,00;125,52;0,02;0,00;0,00;
0,00;0,00;125,65;0,02;0,00;0,00;
0,00;0,00;125,78;0,01;0,00;0,00;
0,00;0,00;125,91;0,03;0,00;0,00;
0,00;0,00;126,04;0,02;0,00;0,00;
0,00;0,00;126,16;0,02;0,00;0,00;
0,00;0,00;126,29;0,03;0,00;0,00;
0,00;0,00;126,42;0,04;0,00;0,00;
0,00;0,00;126,55;0,07;0,00;0,00;
0,00;0,00;126,67;0,15;0,00;0,00;
0,00;0,00;126,80;0,20;0,00;0,00;
0,00;0,00;126,93;0,26;0,00;0,00;
0,00;0,00;127,06;0,30;0,00;0,00;
0,00;0,00;127,19;0,32;0,00;0,00;
0,00;0,00;127,31;0,35;0,00;0,00;
0,00;0,00;127,44;0,38;0,00;0,00;
0,00;0,00;127,57;0,41;0,00;0,00;
0,00;0,00;127,70;0,44;0,00;0,00;
0,00;0,00;127,82;0,44;0,00;0,00;
0,00;0,00;127,95;0,47;0,00;0,00;
0,00;0,00;128,08;0,50;0,00;0,00;
