15219;06.09.21 10:57:16;21;Avvicinamento Pressata Fuori Ingombro;Alcun errore (0);20210903144803P0043;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;25,37;0,07;0,00;0,00;
0,00;0,00;26,16;0,13;0,00;0,00;
0,00;0,00;27,43;0,18;0,00;0,00;
0,00;0,00;29,22;0,11;0,00;0,00;
0,00;0,00;31,51;0,05;0,00;0,00;
0,00;0,00;34,33;0,13;0,00;0,00;
0,00;0,00;37,49;0,11;0,00;0,00;
0,00;0,00;40,61;0,13;0,00;0,00;
0,00;0,00;43,85;0,02;0,00;0,00;
0,00;0,00;47,04;0,13;0,00;0,00;
0,00;0,00;50,25;0,07;0,00;0,00;
0,00;0,00;53,45;0,02;0,00;0,00;
0,00;0,00;56,65;0,09;0,00;0,00;
0,00;0,00;59,85;0,09;0,00;0,00;
0,00;0,00;63,05;0,13;0,00;0,00;
0,00;0,00;66,25;0,11;0,00;0,00;
0,00;0,00;69,45;0,05;0,00;0,00;
0,00;0,00;72,65;0,07;0,00;0,00;
0,00;0,00;75,85;0,02;0,00;0,00;
0,00;0,00;79,05;0,09;0,00;0,00;
0,00;0,00;82,25;0,09;0,00;0,00;
0,00;0,00;85,45;0,02;0,00;0,00;
0,00;0,00;88,65;0,09;0,00;0,00;
0,00;0,00;91,85;0,07;0,00;0,00;
0,00;0,00;95,05;0,13;0,00;0,00;
0,00;0,00;98,25;0,11;0,00;0,00;
0,00;0,00;101,45;0,02;0,00;0,00;
0,00;0,00;104,65;0,09;0,00;0,00;
0,00;0,00;107,85;0,05;0,00;0,00;
0,00;0,00;111,05;0,11;0,00;0,00;
0,00;0,00;114,25;0,09;0,00;0,00;
0,00;0,00;117,45;0,06;0,00;0,00;
0,00;0,00;120,65;0,11;0,00;0,00;
0,00;0,00;123,85;0,02;0,00;0,00;
0,00;0,00;127,05;0,11;0,00;0,00;
0,00;0,00;132,35;-0,05;0,00;0,00;
0,00;0,00;134,28;-0,02;0,00;0,00;
0,00;0,00;136,62;-0,02;0,00;0,00;
0,00;0,00;137,02;-0,09;0,00;0,00;
0,00;0,00;137,17;0,07;0,00;0,00;
