5884;18.01.21 08:19:38;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);20210114111447A0218;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;39,96;0,11;0,00;0,00;
0,00;0,00;40,50;0,06;0,00;0,00;
0,00;0,00;41,53;0,11;0,00;0,00;
0,00;0,00;43,05;0,18;0,00;0,00;
0,00;0,00;45,10;0,07;0,00;0,00;
0,00;0,00;47,66;0,09;0,00;0,00;
0,00;0,00;50,69;0,16;0,00;0,00;
0,00;0,00;53,85;0,09;0,00;0,00;
0,00;0,00;57,01;0,13;0,00;0,00;
0,00;0,00;60,26;0,05;0,00;0,00;
0,00;0,00;63,44;0,05;0,00;0,00;
0,00;0,00;66,65;0,13;0,00;0,00;
0,00;0,00;69,85;0,05;0,00;0,00;
0,00;0,00;73,05;0,11;0,00;0,00;
0,00;0,00;76,25;0,09;0,00;0,00;
0,00;0,00;82,65;0,11;0,00;0,00;
0,00;0,00;85,85;0,02;0,00;0,00;
0,00;0,00;89,05;0,16;0,00;0,00;
0,00;0,00;92,25;0,09;0,00;0,00;
0,00;0,00;95,45;0,05;0,00;0,00;
0,00;0,00;98,65;0,11;0,00;0,00;
0,00;0,00;101,85;0,05;0,00;0,00;
0,00;0,00;105,05;0,13;0,00;0,00;
0,00;0,00;108,25;0,09;0,00;0,00;
0,00;0,00;111,45;0,05;0,00;0,00;
0,00;0,00;114,65;0,09;0,00;0,00;
0,00;0,00;117,85;0,04;0,00;0,00;
0,00;0,00;121,05;0,13;0,00;0,00;
0,00;0,00;124,25;0,11;0,00;0,00;
0,00;0,00;127,45;0,05;0,00;0,00;
0,00;0,00;130,65;0,09;0,00;0,00;
0,00;0,00;133,85;0,02;0,00;0,00;
0,00;0,00;137,05;0,11;0,00;0,00;
0,00;0,00;140,25;0,09;0,00;0,00;
0,00;0,00;143,45;0,05;0,00;0,00;
0,00;0,00;146,65;0,09;0,00;0,00;
0,00;0,00;152,50;0,06;0,00;0,00;
0,00;0,00;156,53;-0,07;0,00;0,00;
0,00;0,00;157,81;-0,05;0,00;0,00;
0,00;0,00;158,57;-0,05;0,00;0,00;
0,00;0,00;158,84;-0,02;0,00;0,00;
0,00;0,00;158,93;-0,05;0,00;0,00;
0,00;0,00;159,05;-0,02;0,00;0,00;
