14726;02.02.21 09:03:18;21;Avvicinamento Pressata Fuori Ingombro;Alcun errore (0);20210201165205P0037;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;11,50;0,01;0,00;0,00;
0,00;0,00;11,50;0,01;0,00;0,00;
0,00;0,00;11,76;0,06;0,00;0,00;
0,00;0,00;12,55;0,07;0,00;0,00;
0,00;0,00;13,84;0,06;0,00;0,00;
0,00;0,00;15,65;0,05;0,00;0,00;
0,00;0,00;17,97;0,05;0,00;0,00;
0,00;0,00;20,80;0,07;0,00;0,00;
0,00;0,00;24,14;0,07;0,00;0,00;
0,00;0,00;27,62;0,05;0,00;0,00;
0,00;0,00;31,15;0,04;0,00;0,00;
0,00;0,00;34,67;0,06;0,00;0,00;
0,00;0,00;38,19;0,05;0,00;0,00;
0,00;0,00;41,71;0,05;0,00;0,00;
0,00;0,00;45,23;0,04;0,00;0,00;
0,00;0,00;48,75;0,04;0,00;0,00;
0,00;0,00;52,27;0,05;0,00;0,00;
0,00;0,00;55,79;0,05;0,00;0,00;
0,00;0,00;59,31;0,06;0,00;0,00;
0,00;0,00;62,83;0,04;0,00;0,00;
0,00;0,00;66,35;0,05;0,00;0,00;
0,00;0,00;69,87;0,05;0,00;0,00;
0,00;0,00;73,39;0,05;0,00;0,00;
0,00;0,00;76,91;0,05;0,00;0,00;
0,00;0,00;80,43;0,05;0,00;0,00;
0,00;0,00;83,95;0,05;0,00;0,00;
0,00;0,00;87,47;0,06;0,00;0,00;
0,00;0,00;90,99;0,05;0,00;0,00;
0,00;0,00;94,51;0,04;0,00;0,00;
0,00;0,00;98,03;0,04;0,00;0,00;
0,00;0,00;101,55;0,04;0,00;0,00;
0,00;0,00;105,07;0,04;0,00;0,00;
0,00;0,00;108,58;0,05;0,00;0,00;
0,00;0,00;112,11;0,04;0,00;0,00;
0,00;0,00;115,63;0,03;0,00;0,00;
0,00;0,00;119,15;0,06;0,00;0,00;
0,00;0,00;122,50;0,04;0,00;0,00;
0,00;0,00;125,39;0,01;0,00;0,00;
0,00;0,00;127,77;0,02;0,00;0,00;
0,00;0,00;129,67;0,02;0,00;0,00;
0,00;0,00;131,06;0,01;0,00;0,00;
0,00;0,00;131,96;0,01;0,00;0,00;
0,00;0,00;132,37;0,01;0,00;0,00;
0,00;0,00;132,41;0,01;0,00;0,00;
0,00;0,00;132,41;0,01;0,00;0,00;
0,00;0,00;132,46;0,02;0,00;0,00;
0,00;0,00;132,55;0,02;0,00;0,00;
0,00;0,00;132,63;0,01;0,00;0,00;
0,00;0,00;132,71;0,01;0,00;0,00;
0,00;0,00;132,79;0,01;0,00;0,00;
0,00;0,00;132,87;0,01;0,00;0,00;
0,00;0,00;132,96;0,02;0,00;0,00;
0,00;0,00;133,03;0,01;0,00;0,00;
0,00;0,00;133,11;0,01;0,00;0,00;
0,00;0,00;133,20;0,01;0,00;0,00;
0,00;0,00;133,27;0,01;0,00;0,00;
0,00;0,00;133,35;0,01;0,00;0,00;
0,00;0,00;133,43;0,01;0,00;0,00;
0,00;0,00;133,51;0,02;0,00;0,00;
0,00;0,00;133,60;0,01;0,00;0,00;
0,00;0,00;133,67;0,01;0,00;0,00;
0,00;0,00;133,75;0,02;0,00;0,00;
0,00;0,00;133,83;0,01;0,00;0,00;
0,00;0,00;133,92;0,02;0,00;0,00;
0,00;0,00;133,99;0,02;0,00;0,00;
0,00;0,00;134,07;0,02;0,00;0,00;
0,00;0,00;134,15;0,01;0,00;0,00;
0,00;0,00;134,24;0,01;0,00;0,00;
0,00;0,00;134,31;0,02;0,00;0,00;
0,00;0,00;134,40;0,01;0,00;0,00;
0,00;0,00;134,47;0,01;0,00;0,00;
0,00;0,00;134,55;0,02;0,00;0,00;
0,00;0,00;134,63;0,01;0,00;0,00;
0,00;0,00;134,71;0,01;0,00;0,00;
0,00;0,00;134,80;0,02;0,00;0,00;
0,00;0,00;134,87;0,02;0,00;0,00;
0,00;0,00;134,95;0,01;0,00;0,00;
0,00;0,00;135,03;0,03;0,00;0,00;
0,00;0,00;135,11;0,02;0,00;0,00;
0,00;0,00;135,19;0,01;0,00;0,00;
0,00;0,00;135,27;0,01;0,00;0,00;
0,00;0,00;135,35;0,01;0,00;0,00;
0,00;0,00;135,43;0,02;0,00;0,00;
0,00;0,00;135,51;0,02;0,00;0,00;
0,00;0,00;135,59;0,03;0,00;0,00;
0,00;0,00;135,67;0,01;0,00;0,00;
0,00;0,00;135,75;0,02;0,00;0,00;
0,00;0,00;135,83;0,01;0,00;0,00;
0,00;0,00;135,91;0,02;0,00;0,00;
0,00;0,00;136,00;0,02;0,00;0,00;
0,00;0,00;136,07;0,01;0,00;0,00;
0,00;0,00;136,15;0,02;0,00;0,00;
0,00;0,00;136,23;0,01;0,00;0,00;
0,00;0,00;136,32;0,01;0,00;0,00;
0,00;0,00;136,40;0,01;0,00;0,00;
0,00;0,00;136,47;0,01;0,00;0,00;
0,00;0,00;136,55;0,02;0,00;0,00;
0,00;0,00;136,63;0,01;0,00;0,00;
0,00;0,00;136,72;0,02;0,00;0,00;
0,00;0,00;136,79;0,02;0,00;0,00;
0,00;0,00;136,87;0,01;0,00;0,00;
0,00;0,00;136,95;0,02;0,00;0,00;
0,00;0,00;137,03;0,03;0,00;0,00;
0,00;0,00;137,11;0,01;0,00;0,00;
0,00;0,00;137,19;0,01;0,00;0,00;
0,00;0,00;137,27;0,01;0,00;0,00;
0,00;0,00;137,35;0,01;0,00;0,00;
0,00;0,00;137,43;0,02;0,00;0,00;
