10639;03.02.21 09:22:53;21;Avvicinamento Pressata Finale;Alcun errore (0);20210203083052P0008;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;29,40;0,04;0,00;0,00;
0,00;0,00;30,22;0,09;0,00;0,00;
0,00;0,00;31,50;0,09;0,00;0,00;
0,00;0,00;33,30;0,12;0,00;0,00;
0,00;0,00;37,92;0,09;0,00;0,00;
0,00;0,00;40,31;0,09;0,00;0,00;
0,00;0,00;42,72;0,04;0,00;0,00;
0,00;0,00;45,12;0,04;0,00;0,00;
0,00;0,00;47,52;0,04;0,00;0,00;
0,00;0,00;49,92;0,04;0,00;0,00;
0,00;0,00;54,72;0,09;0,00;0,00;
0,00;0,00;57,12;0,04;0,00;0,00;
0,00;0,00;59,52;0,04;0,00;0,00;
0,00;0,00;61,92;0,04;0,00;0,00;
0,00;0,00;69,12;0,09;0,00;0,00;
0,00;0,00;71,52;-0,04;0,00;0,00;
0,00;0,00;73,92;-0,04;0,00;0,00;
0,00;0,00;76,32;0,04;0,00;0,00;
0,00;0,00;78,72;0,04;0,00;0,00;
0,00;0,00;83,52;0,04;0,00;0,00;
0,00;0,00;85,92;0,04;0,00;0,00;
0,00;0,00;88,32;0,04;0,00;0,00;
0,00;0,00;95,52;0,04;0,00;0,00;
0,00;0,00;97,92;0,04;0,00;0,00;
0,00;0,00;100,32;0,04;0,00;0,00;
0,00;0,00;102,72;0,04;0,00;0,00;
0,00;0,00;105,12;0,04;0,00;0,00;
0,00;0,00;109,92;0,09;0,00;0,00;
0,00;0,00;117,12;0,04;0,00;0,00;
0,00;0,00;119,52;0,04;0,00;0,00;
0,00;0,00;121,92;0,04;0,00;0,00;
0,00;0,00;129,12;0,09;0,00;0,00;
0,00;0,00;131,52;0,04;0,00;0,00;
0,00;0,00;136,32;0,04;0,00;0,00;
0,00;0,00;138,72;0,04;0,00;0,00;
0,00;0,00;141,12;0,04;0,00;0,00;
0,00;0,00;148,32;0,09;0,00;0,00;
0,00;0,00;150,72;0,04;0,00;0,00;
0,00;0,00;153,12;0,04;0,00;0,00;
0,00;0,00;157,92;0,04;0,00;0,00;
0,00;0,00;160,32;0,09;0,00;0,00;
0,00;0,00;162,72;0,04;0,00;0,00;
0,00;0,00;169,92;0,04;0,00;0,00;
0,00;0,00;181,92;0,09;0,00;0,00;
0,00;0,00;184,32;-0,04;0,00;0,00;
0,00;0,00;186,72;-0,04;0,00;0,00;
0,00;0,00;189,12;0,04;0,00;0,00;
0,00;0,00;196,32;-0,04;0,00;0,00;
0,00;0,00;198,72;0,04;0,00;0,00;
0,00;0,00;201,12;0,09;0,00;0,00;
0,00;0,00;208,32;0,04;0,00;0,00;
0,00;0,00;210,72;-0,04;0,00;0,00;
0,00;0,00;213,12;0,04;0,00;0,00;
0,00;0,00;215,52;0,04;0,00;0,00;
0,00;0,00;220,32;0,09;0,00;0,00;
0,00;0,00;222,72;0,04;0,00;0,00;
0,00;0,00;229,92;0,09;0,00;0,00;
0,00;0,00;232,32;-0,04;0,00;0,00;
0,00;0,00;234,72;0,04;0,00;0,00;
0,00;0,00;237,12;0,04;0,00;0,00;
0,00;0,00;239,52;0,04;0,00;0,00;
0,00;0,00;241,92;0,04;0,00;0,00;
0,00;0,00;244,32;0,04;0,00;0,00;
0,00;0,00;246,72;0,04;0,00;0,00;
0,00;0,00;249,12;0,04;0,00;0,00;
0,00;0,00;251,52;0,04;0,00;0,00;
