8482;08.05.20 14:18:18;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);20200508123936P0001;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;34,35;0,05;0,00;0,00;
0,00;0,00;34,88;0,04;0,00;0,00;
0,00;0,00;35,92;0,03;0,00;0,00;
0,00;0,00;37,48;0,05;0,00;0,00;
0,00;0,00;39,54;0,04;0,00;0,00;
0,00;0,00;42,11;0,04;0,00;0,00;
0,00;0,00;45,20;0,04;0,00;0,00;
0,00;0,00;48,67;0,01;0,00;0,00;
0,00;0,00;52,19;0,03;0,00;0,00;
0,00;0,00;55,71;0,02;0,00;0,00;
0,00;0,00;59,23;0,02;0,00;0,00;
0,00;0,00;62,75;0,02;0,00;0,00;
0,00;0,00;66,27;0,03;0,00;0,00;
0,00;0,00;69,78;0,03;0,00;0,00;
0,00;0,00;73,31;0,03;0,00;0,00;
0,00;0,00;76,83;0,01;0,00;0,00;
0,00;0,00;80,35;0,01;0,00;0,00;
0,00;0,00;83,87;0,03;0,00;0,00;
0,00;0,00;87,39;0,03;0,00;0,00;
0,00;0,00;90,62;0,01;0,00;0,00;
0,00;0,00;95,66;-0,01;0,00;0,00;
0,00;0,00;97,44;-0,01;0,00;0,00;
0,00;0,00;98,72;-0,01;0,00;0,00;
0,00;0,00;99,50;-0,03;0,00;0,00;
0,00;0,00;99,79;0,07;0,00;0,00;
0,00;0,00;99,81;0,12;0,00;0,00;
0,00;0,00;99,89;0,24;0,00;0,00;
0,00;0,00;100,02;0,30;0,00;0,00;
0,00;0,00;100,17;0,36;0,00;0,00;
0,00;0,00;100,32;0,39;0,00;0,00;
0,00;0,00;100,46;0,41;0,00;0,00;
0,00;0,00;100,61;0,44;0,00;0,00;
0,00;0,00;100,75;0,50;0,00;0,00;
0,00;0,00;100,90;0,52;0,00;0,00;
0,00;0,00;101,04;0,56;0,00;0,00;
0,00;0,00;101,18;0,56;0,00;0,00;
0,00;0,00;101,33;0,60;0,00;0,00;
0,00;0,00;101,47;0,64;0,00;0,00;
0,00;0,00;101,62;0,64;0,00;0,00;
0,00;0,00;101,76;0,64;0,00;0,00;
0,00;0,00;101,81;0,63;0,00;0,00;
0,00;0,00;101,81;0,61;0,00;0,00;
0,00;0,00;101,55;-0,04;0,00;0,00;
0,00;0,00;100,76;-0,04;0,00;0,00;
0,00;0,00;98,50;0,01;0,00;0,00;
0,00;0,00;97,92;0,01;0,00;0,00;
0,00;0,00;97,84;0,02;0,00;0,00;
0,00;0,00;98,28;0,01;0,00;0,00;
0,00;0,00;99,44;0,01;0,00;0,00;
0,00;0,00;99,58;0,01;0,00;0,00;
0,00;0,00;99,87;0,01;0,00;0,00;
