60303;21.06.21 08:06:40;22;Avvicinamento pre-pressata pressata Fuori Ingombro;force > max. force (8);20210618163634P0004;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;1,76;0,20;0,00;0,00;
0,00;0,00;2,30;0,18;0,00;0,00;
0,00;0,00;3,33;0,20;0,00;0,00;
0,00;0,00;4,86;0,18;0,00;0,00;
0,00;0,00;6,91;0,25;0,00;0,00;
0,00;0,00;9,47;0,27;0,00;0,00;
0,00;0,00;12,53;0,22;0,00;0,00;
0,00;0,00;15,65;0,18;0,00;0,00;
0,00;0,00;18,83;0,16;0,00;0,00;
0,00;0,00;22,04;0,16;0,00;0,00;
0,00;0,00;25,24;0,16;0,00;0,00;
0,00;0,00;28,44;0,13;0,00;0,00;
0,00;0,00;31,65;0,18;0,00;0,00;
0,00;0,00;34,85;0,13;0,00;0,00;
0,00;0,00;38,05;0,13;0,00;0,00;
0,00;0,00;41,25;0,11;0,00;0,00;
0,00;0,00;44,45;0,13;0,00;0,00;
0,00;0,00;47,65;0,11;0,00;0,00;
0,00;0,00;50,85;0,13;0,00;0,00;
0,00;0,00;54,05;0,11;0,00;0,00;
0,00;0,00;57,25;0,13;0,00;0,00;
0,00;0,00;60,45;0,13;0,00;0,00;
0,00;0,00;63,65;0,18;0,00;0,00;
0,00;0,00;66,85;0,11;0,00;0,00;
0,00;0,00;70,05;0,13;0,00;0,00;
0,00;0,00;73,25;0,13;0,00;0,00;
0,00;0,00;76,45;0,11;0,00;0,00;
0,00;0,00;79,65;0,16;0,00;0,00;
0,00;0,00;82,85;0,13;0,00;0,00;
0,00;0,00;86,05;0,11;0,00;0,00;
0,00;0,00;89,25;0,13;0,00;0,00;
0,00;0,00;92,45;0,13;0,00;0,00;
0,00;0,00;95,65;0,18;0,00;0,00;
0,00;0,00;98,85;0,11;0,00;0,00;
0,00;0,00;102,05;0,13;0,00;0,00;
0,00;0,00;105,25;0,13;0,00;0,00;
0,00;0,00;108,45;0,13;0,00;0,00;
0,00;0,00;111,65;0,16;0,00;0,00;
0,00;0,00;114,85;0,11;0,00;0,00;
0,00;0,00;118,05;0,16;0,00;0,00;
0,00;0,00;121,25;0,13;0,00;0,00;
0,00;0,00;124,45;0,16;0,00;0,00;
0,00;0,00;127,65;0,16;0,00;0,00;
0,00;0,00;130,85;0,13;0,00;0,00;
0,00;0,00;134,05;0,09;0,00;0,00;
0,00;0,00;137,25;0,16;0,00;0,00;
0,00;0,00;140,45;0,13;0,00;0,00;
0,00;0,00;143,65;0,16;0,00;0,00;
0,00;0,00;146,85;0,09;0,00;0,00;
0,00;0,00;150,05;0,09;0,00;0,00;
0,00;0,00;153,25;0,11;0,00;0,00;
0,00;0,00;156,45;0,11;0,00;0,00;
0,00;0,00;159,65;0,18;0,00;0,00;
0,00;0,00;162,85;0,11;0,00;0,00;
0,00;0,00;166,05;0,09;0,00;0,00;
0,00;0,00;169,25;0,11;0,00;0,00;
0,00;0,00;175,01;0,07;0,00;0,00;
0,00;0,00;177,22;0,09;0,00;0,00;
0,00;0,00;178,95;0,02;0,00;0,00;
0,00;0,00;180,90;0,02;0,00;0,00;
0,00;0,00;181,14;0,02;0,00;0,00;
0,00;0,00;181,21;0,02;0,00;0,00;
0,00;0,00;181,34;0,05;0,00;0,00;
0,00;0,00;181,49;0,09;0,00;0,00;
0,00;0,00;181,65;0,09;0,00;0,00;
0,00;0,00;181,81;0,09;0,00;0,00;
0,00;0,00;181,97;0,07;0,00;0,00;
0,00;0,00;182,13;0,09;0,00;0,00;
0,00;0,00;182,29;0,07;0,00;0,00;
0,00;0,00;182,45;0,09;0,00;0,00;
0,00;0,00;182,61;0,20;0,00;0,00;
0,00;0,00;182,77;0,27;0,00;0,00;
0,00;0,00;182,93;1,18;0,00;0,00;
0,00;0,00;183,07;4,61;0,00;0,00;
0,00;0,00;183,14;6,90;0,00;0,00;
0,00;0,00;183,15;7,08;0,00;0,00;
0,00;0,00;183,16;7,30;0,00;0,00;
0,00;0,00;183,17;7,44;0,00;0,00;
0,00;0,00;183,17;7,60;0,00;0,00;
0,00;0,00;183,18;7,69;0,00;0,00;
0,00;0,00;183,18;7,75;0,00;0,00;
0,00;0,00;183,19;7,87;0,00;0,00;
0,00;0,00;183,19;7,91;0,00;0,00;
0,00;0,00;183,19;7,96;0,00;0,00;
0,00;0,00;183,19;7,96;0,00;0,00;
0,00;0,00;183,19;7,98;0,00;0,00;
0,00;0,00;183,20;8,03;0,00;0,00;
0,00;0,00;183,20;8,05;0,00;0,00;
