22627;08.01.21 15:41:49;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);20210107141417A0217;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;41,96;0,18;0,00;0,00;
0,00;0,00;42,51;0,13;0,00;0,00;
0,00;0,00;43,54;0,13;0,00;0,00;
0,00;0,00;45,06;0,18;0,00;0,00;
0,00;0,00;47,10;0,16;0,00;0,00;
0,00;0,00;49,67;0,16;0,00;0,00;
0,00;0,00;52,72;0,18;0,00;0,00;
0,00;0,00;55,85;0,13;0,00;0,00;
0,00;0,00;59,03;0,13;0,00;0,00;
0,00;0,00;62,24;0,11;0,00;0,00;
0,00;0,00;65,44;0,06;0,00;0,00;
0,00;0,00;68,65;0,09;0,00;0,00;
0,00;0,00;71,85;0,11;0,00;0,00;
0,00;0,00;75,05;0,11;0,00;0,00;
0,00;0,00;78,25;0,09;0,00;0,00;
0,00;0,00;81,45;0,09;0,00;0,00;
0,00;0,00;84,65;0,11;0,00;0,00;
0,00;0,00;87,85;0,09;0,00;0,00;
0,00;0,00;91,05;0,09;0,00;0,00;
0,00;0,00;94,25;0,11;0,00;0,00;
0,00;0,00;97,45;0,09;0,00;0,00;
0,00;0,00;100,65;0,11;0,00;0,00;
0,00;0,00;103,85;0,09;0,00;0,00;
0,00;0,00;107,05;0,09;0,00;0,00;
0,00;0,00;110,25;0,09;0,00;0,00;
0,00;0,00;113,45;0,09;0,00;0,00;
0,00;0,00;116,65;0,13;0,00;0,00;
0,00;0,00;119,85;0,13;0,00;0,00;
0,00;0,00;123,05;0,07;0,00;0,00;
0,00;0,00;126,25;0,11;0,00;0,00;
0,00;0,00;129,45;0,09;0,00;0,00;
0,00;0,00;132,65;0,11;0,00;0,00;
0,00;0,00;135,85;0,06;0,00;0,00;
0,00;0,00;139,05;0,13;0,00;0,00;
0,00;0,00;142,18;-0,07;0,00;0,00;
0,00;0,00;144,80;0,06;0,00;0,00;
0,00;0,00;146,98;0,02;0,00;0,00;
0,00;0,00;149,82;-0,02;0,00;0,00;
0,00;0,00;150,66;0,02;0,00;0,00;
0,00;0,00;150,72;0,07;0,00;0,00;
0,00;0,00;151,02;0,02;0,00;0,00;
0,00;0,00;151,19;0,02;0,00;0,00;
0,00;0,00;151,35;0,07;0,00;0,00;
0,00;0,00;151,51;0,05;0,00;0,00;
0,00;0,00;151,67;0,05;0,00;0,00;
0,00;0,00;151,83;0,05;0,00;0,00;
0,00;0,00;151,99;0,02;0,00;0,00;
0,00;0,00;152,15;0,02;0,00;0,00;
0,00;0,00;152,31;0,09;0,00;0,00;
0,00;0,00;152,47;0,05;0,00;0,00;
0,00;0,00;152,63;0,07;0,00;0,00;
0,00;0,00;152,79;0,09;0,00;0,00;
0,00;0,00;152,95;0,07;0,00;0,00;
0,00;0,00;153,11;0,05;0,00;0,00;
0,00;0,00;153,27;0,05;0,00;0,00;
0,00;0,00;153,43;0,02;0,00;0,00;
0,00;0,00;153,59;0,05;0,00;0,00;
0,00;0,00;153,75;0,02;0,00;0,00;
0,00;0,00;153,91;0,07;0,00;0,00;
0,00;0,00;154,07;0,25;0,00;0,00;
0,00;0,00;154,23;0,20;0,00;0,00;
0,00;0,00;154,39;0,54;0,00;0,00;
0,00;0,00;154,55;1,02;0,00;0,00;
0,00;0,00;154,70;1,31;0,00;0,00;
0,00;0,00;154,86;1,51;0,00;0,00;
0,00;0,00;155,02;1,68;0,00;0,00;
0,00;0,00;155,18;1,86;0,00;0,00;
0,00;0,00;155,34;1,99;0,00;0,00;
0,00;0,00;155,51;2,15;0,00;0,00;
0,00;0,00;155,66;2,28;0,00;0,00;
0,00;0,00;155,83;2,42;0,00;0,00;
0,00;0,00;155,99;2,53;0,00;0,00;
0,00;0,00;156,15;2,71;0,00;0,00;
0,00;0,00;156,31;2,85;0,00;0,00;
0,00;0,00;156,47;2,99;0,00;0,00;
0,00;0,00;156,63;3,14;0,00;0,00;
0,00;0,00;156,71;2,89;0,00;0,00;
0,00;0,00;156,71;2,71;0,00;0,00;
0,00;0,00;156,56;0,45;0,00;0,00;
0,00;0,00;155,91;-0,05;0,00;0,00;
0,00;0,00;154,82;-0,07;0,00;0,00;
0,00;0,00;154,14;-0,07;0,00;0,00;
0,00;0,00;153,79;0,05;0,00;0,00;
0,00;0,00;153,93;0,09;0,00;0,00;
0,00;0,00;154,09;0,09;0,00;0,00;
0,00;0,00;154,26;0,05;0,00;0,00;
0,00;0,00;154,42;0,05;0,00;0,00;
0,00;0,00;154,58;0,05;0,00;0,00;
0,00;0,00;154,75;0,07;0,00;0,00;
0,00;0,00;154,91;0,07;0,00;0,00;
0,00;0,00;155,07;0,07;0,00;0,00;
0,00;0,00;155,23;0,09;0,00;0,00;
0,00;0,00;155,39;0,05;0,00;0,00;
0,00;0,00;155,55;0,02;0,00;0,00;
0,00;0,00;155,71;0,07;0,00;0,00;
0,00;0,00;155,87;0,05;0,00;0,00;
0,00;0,00;156,03;0,05;0,00;0,00;
0,00;0,00;156,19;0,07;0,00;0,00;
0,00;0,00;156,35;0,18;0,00;0,00;
0,00;0,00;156,51;0,23;0,00;0,00;
0,00;0,00;156,67;1,44;0,00;0,00;
0,00;0,00;156,80;3,35;0,00;0,00;
0,00;0,00;156,96;3,44;0,00;0,00;
0,00;0,00;157,13;3,57;0,00;0,00;
0,00;0,00;157,30;3,69;0,00;0,00;
0,00;0,00;157,46;3,80;0,00;0,00;
0,00;0,00;157,62;3,98;0,00;0,00;
0,00;0,00;157,78;4,14;0,00;0,00;
0,00;0,00;157,94;4,23;0,00;0,00;
0,00;0,00;158,10;4,43;0,00;0,00;
0,00;0,00;158,26;4,52;0,00;0,00;
0,00;0,00;158,42;4,66;0,00;0,00;
0,00;0,00;158,59;4,84;0,00;0,00;
0,00;0,00;158,74;4,95;0,00;0,00;
0,00;0,00;158,90;5,09;0,00;0,00;
0,00;0,00;159,07;5,25;0,00;0,00;
0,00;0,00;159,23;5,38;0,00;0,00;
0,00;0,00;159,39;5,50;0,00;0,00;
0,00;0,00;159,55;5,63;0,00;0,00;
0,00;0,00;159,71;5,76;0,00;0,00;
0,00;0,00;159,87;5,95;0,00;0,00;
0,00;0,00;160,03;6,08;0,00;0,00;
0,00;0,00;160,18;6,24;0,00;0,00;
