44552;12.04.21 16:06:57;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);20210409204441A0217;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;0,00;-0,07;0,00;0,00;
0,00;0,00;0,06;0,27;0,00;0,00;
0,00;0,00;0,62;0,22;0,00;0,00;
0,00;0,00;1,64;0,20;0,00;0,00;
0,00;0,00;3,17;0,18;0,00;0,00;
0,00;0,00;5,21;0,22;0,00;0,00;
0,00;0,00;7,77;0,22;0,00;0,00;
0,00;0,00;10,84;0,11;0,00;0,00;
0,00;0,00;13,95;0,16;0,00;0,00;
0,00;0,00;17,13;0,13;0,00;0,00;
0,00;0,00;20,35;0,11;0,00;0,00;
0,00;0,00;23,55;0,11;0,00;0,00;
0,00;0,00;26,75;0,15;0,00;0,00;
0,00;0,00;29,95;0,13;0,00;0,00;
0,00;0,00;33,15;0,18;0,00;0,00;
0,00;0,00;36,35;0,16;0,00;0,00;
0,00;0,00;39,55;0,16;0,00;0,00;
0,00;0,00;42,75;0,16;0,00;0,00;
0,00;0,00;45,95;0,13;0,00;0,00;
0,00;0,00;49,15;0,13;0,00;0,00;
0,00;0,00;52,35;0,13;0,00;0,00;
0,00;0,00;55,55;0,13;0,00;0,00;
0,00;0,00;58,75;0,16;0,00;0,00;
0,00;0,00;61,95;0,11;0,00;0,00;
0,00;0,00;65,15;0,16;0,00;0,00;
0,00;0,00;68,35;0,09;0,00;0,00;
0,00;0,00;71,55;0,13;0,00;0,00;
0,00;0,00;74,75;0,11;0,00;0,00;
0,00;0,00;77,95;0,13;0,00;0,00;
0,00;0,00;81,15;0,16;0,00;0,00;
0,00;0,00;84,35;0,16;0,00;0,00;
0,00;0,00;87,55;0,09;0,00;0,00;
0,00;0,00;90,75;0,16;0,00;0,00;
0,00;0,00;93,95;0,13;0,00;0,00;
0,00;0,00;97,15;0,13;0,00;0,00;
0,00;0,00;100,35;0,11;0,00;0,00;
0,00;0,00;103,55;0,16;0,00;0,00;
0,00;0,00;106,75;0,15;0,00;0,00;
0,00;0,00;109,95;0,13;0,00;0,00;
0,00;0,00;113,15;0,13;0,00;0,00;
0,00;0,00;116,35;0,13;0,00;0,00;
0,00;0,00;119,55;0,15;0,00;0,00;
0,00;0,00;122,75;0,16;0,00;0,00;
0,00;0,00;125,95;0,11;0,00;0,00;
0,00;0,00;129,15;0,18;0,00;0,00;
0,00;0,00;132,35;0,11;0,00;0,00;
0,00;0,00;135,55;0,15;0,00;0,00;
0,00;0,00;138,75;0,11;0,00;0,00;
0,00;0,00;141,88;0,04;0,00;0,00;
0,00;0,00;144,51;0,09;0,00;0,00;
0,00;0,00;146,72;0,04;0,00;0,00;
0,00;0,00;148,45;0,04;0,00;0,00;
0,00;0,00;149,67;0,02;0,00;0,00;
0,00;0,00;150,40;0,02;0,00;0,00;
0,00;0,00;150,64;0,04;0,00;0,00;
0,00;0,00;150,70;0,04;0,00;0,00;
0,00;0,00;150,71;0,06;0,00;0,00;
0,00;0,00;150,84;0,06;0,00;0,00;
0,00;0,00;150,99;0,06;0,00;0,00;
0,00;0,00;151,15;0,11;0,00;0,00;
0,00;0,00;151,31;0,11;0,00;0,00;
0,00;0,00;151,47;0,06;0,00;0,00;
0,00;0,00;151,63;0,11;0,00;0,00;
0,00;0,00;151,79;0,09;0,00;0,00;
0,00;0,00;151,95;0,09;0,00;0,00;
0,00;0,00;152,11;0,11;0,00;0,00;
0,00;0,00;152,27;0,09;0,00;0,00;
0,00;0,00;152,43;0,09;0,00;0,00;
0,00;0,00;152,59;0,09;0,00;0,00;
0,00;0,00;152,75;0,11;0,00;0,00;
0,00;0,00;152,91;0,11;0,00;0,00;
0,00;0,00;153,07;0,11;0,00;0,00;
0,00;0,00;153,23;0,11;0,00;0,00;
0,00;0,00;153,39;0,11;0,00;0,00;
0,00;0,00;153,55;0,06;0,00;0,00;
0,00;0,00;153,71;0,09;0,00;0,00;
0,00;0,00;153,87;0,06;0,00;0,00;
0,00;0,00;154,03;0,13;0,00;0,00;
0,00;0,00;154,19;0,29;0,00;0,00;
0,00;0,00;154,35;0,31;0,00;0,00;
0,00;0,00;154,51;0,97;0,00;0,00;
0,00;0,00;154,66;1,36;0,00;0,00;
0,00;0,00;154,82;1,47;0,00;0,00;
0,00;0,00;154,98;1,56;0,00;0,00;
0,00;0,00;155,15;1,65;0,00;0,00;
0,00;0,00;155,31;1,67;0,00;0,00;
0,00;0,00;155,47;1,81;0,00;0,00;
0,00;0,00;155,63;1,92;0,00;0,00;
0,00;0,00;155,79;2,01;0,00;0,00;
0,00;0,00;155,95;2,15;0,00;0,00;
0,00;0,00;156,11;2,24;0,00;0,00;
0,00;0,00;156,27;2,37;0,00;0,00;
0,00;0,00;156,43;2,46;0,00;0,00;
0,00;0,00;156,59;2,55;0,00;0,00;
0,00;0,00;156,70;2,51;0,00;0,00;
0,00;0,00;156,71;2,28;0,00;0,00;
0,00;0,00;156,64;1,20;0,00;0,00;
0,00;0,00;156,10;-0,18;0,00;0,00;
0,00;0,00;155,08;-0,02;0,00;0,00;
0,00;0,00;154,27;0,06;0,00;0,00;
0,00;0,00;153,86;0,09;0,00;0,00;
0,00;0,00;153,74;0,02;0,00;0,00;
0,00;0,00;153,70;0,02;0,00;0,00;
0,00;0,00;153,70;0,02;0,00;0,00;
0,00;0,00;153,76;0,11;0,00;0,00;
0,00;0,00;153,90;0,06;0,00;0,00;
0,00;0,00;154,05;0,11;0,00;0,00;
0,00;0,00;154,22;0,11;0,00;0,00;
0,00;0,00;154,38;0,06;0,00;0,00;
0,00;0,00;154,55;0,11;0,00;0,00;
0,00;0,00;154,71;0,09;0,00;0,00;
0,00;0,00;154,87;0,11;0,00;0,00;
0,00;0,00;155,03;0,11;0,00;0,00;
0,00;0,00;155,19;0,09;0,00;0,00;
0,00;0,00;155,35;0,09;0,00;0,00;
0,00;0,00;155,51;0,11;0,00;0,00;
0,00;0,00;155,67;0,11;0,00;0,00;
0,00;0,00;155,83;0,09;0,00;0,00;
0,00;0,00;155,99;0,11;0,00;0,00;
0,00;0,00;156,15;0,11;0,00;0,00;
0,00;0,00;156,31;0,09;0,00;0,00;
0,00;0,00;156,47;0,29;0,00;0,00;
0,00;0,00;156,63;0,45;0,00;0,00;
0,00;0,00;156,77;2,76;0,00;0,00;
0,00;0,00;156,93;2,80;0,00;0,00;
0,00;0,00;157,09;2,89;0,00;0,00;
0,00;0,00;157,26;3,00;0,00;0,00;
0,00;0,00;157,42;3,00;0,00;0,00;
0,00;0,00;157,58;3,14;0,00;0,00;
0,00;0,00;157,74;3,28;0,00;0,00;
0,00;0,00;157,90;3,37;0,00;0,00;
0,00;0,00;158,07;3,43;0,00;0,00;
0,00;0,00;158,23;3,53;0,00;0,00;
0,00;0,00;158,39;3,57;0,00;0,00;
0,00;0,00;158,55;3,68;0,00;0,00;
0,00;0,00;158,71;3,82;0,00;0,00;
0,00;0,00;158,87;3,91;0,00;0,00;
0,00;0,00;159,03;4,04;0,00;0,00;
0,00;0,00;159,19;4,09;0,00;0,00;
0,00;0,00;159,35;4,20;0,00;0,00;
0,00;0,00;159,51;4,36;0,00;0,00;
0,00;0,00;159,67;4,47;0,00;0,00;
0,00;0,00;159,83;4,54;0,00;0,00;
0,00;0,00;159,99;4,63;0,00;0,00;
0,00;0,00;160,15;4,74;0,00;0,00;
0,00;0,00;160,31;4,81;0,00;0,00;
0,00;0,00;160,47;4,99;0,00;0,00;
0,00;0,00;160,63;5,11;0,00;0,00;
0,00;0,00;160,79;5,24;0,00;0,00;
0,00;0,00;160,95;5,31;0,00;0,00;
0,00;0,00;161,11;5,38;0,00;0,00;
0,00;0,00;161,27;5,49;0,00;0,00;
0,00;0,00;161,43;5,63;0,00;0,00;
0,00;0,00;161,59;5,76;0,00;0,00;
0,00;0,00;161,75;5,88;0,00;0,00;
0,00;0,00;161,91;5,94;0,00;0,00;
0,00;0,00;162,07;6,06;0,00;0,00;
0,00;0,00;162,23;6,17;0,00;0,00;
0,00;0,00;162,39;6,30;0,00;0,00;
0,00;0,00;162,55;6,42;0,00;0,00;
0,00;0,00;162,71;6,51;0,00;0,00;
0,00;0,00;162,87;6,55;0,00;0,00;
0,00;0,00;163,03;6,72;0,00;0,00;
0,00;0,00;163,18;6,83;0,00;0,00;
0,00;0,00;163,35;7,01;0,00;0,00;
0,00;0,00;163,51;7,15;0,00;0,00;
0,00;0,00;163,67;7,21;0,00;0,00;
0,00;0,00;163,83;7,28;0,00;0,00;
0,00;0,00;163,99;7,44;0,00;0,00;
0,00;0,00;164,15;7,57;0,00;0,00;
0,00;0,00;164,31;7,71;0,00;0,00;
0,00;0,00;164,47;7,78;0,00;0,00;
0,00;0,00;164,63;7,91;0,00;0,00;
0,00;0,00;164,78;8,07;0,00;0,00;
0,00;0,00;164,95;8,14;0,00;0,00;
0,00;0,00;165,11;8,34;0,00;0,00;
0,00;0,00;165,27;8,43;0,00;0,00;
