8064;02.03.20 11:43:21;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);20200302113426;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;70,00;0,01;0,00;0,00;
0,00;0,00;70,05;0,05;0,00;0,00;
0,00;0,00;70,58;0,04;0,00;0,00;
0,00;0,00;71,63;0,04;0,00;0,00;
0,00;0,00;73,18;0,04;0,00;0,00;
0,00;0,00;75,24;0,04;0,00;0,00;
0,00;0,00;77,82;0,04;0,00;0,00;
0,00;0,00;80,90;0,08;0,00;0,00;
0,00;0,00;84,38;0,02;0,00;0,00;
0,00;0,00;87,89;0,05;0,00;0,00;
0,00;0,00;91,41;0,04;0,00;0,00;
0,00;0,00;94,93;0,03;0,00;0,00;
0,00;0,00;98,45;0,03;0,00;0,00;
0,00;0,00;101,97;0,04;0,00;0,00;
0,00;0,00;105,49;0,02;0,00;0,00;
0,00;0,00;109,01;0,03;0,00;0,00;
0,00;0,00;118,26;0,01;0,00;0,00;
0,00;0,00;120,40;0,01;0,00;0,00;
0,00;0,00;123,18;-0,01;0,00;0,00;
0,00;0,00;123,84;-0,01;0,00;0,00;
0,00;0,00;124,09;0,01;0,00;0,00;
0,00;0,00;124,21;0,01;0,00;0,00;
0,00;0,00;124,32;0,01;0,00;0,00;
0,00;0,00;124,44;0,01;0,00;0,00;
0,00;0,00;124,55;0,01;0,00;0,00;
0,00;0,00;124,66;0,01;0,00;0,00;
0,00;0,00;124,77;0,01;0,00;0,00;
0,00;0,00;124,88;0,01;0,00;0,00;
0,00;0,00;125,00;0,01;0,00;0,00;
0,00;0,00;125,11;0,01;0,00;0,00;
0,00;0,00;125,22;0,01;0,00;0,00;
0,00;0,00;125,33;0,01;0,00;0,00;
0,00;0,00;125,44;0,04;0,00;0,00;
0,00;0,00;125,56;0,07;0,00;0,00;
0,00;0,00;125,67;0,12;0,00;0,00;
0,00;0,00;125,78;0,26;0,00;0,00;
0,00;0,00;125,89;0,43;0,00;0,00;
0,00;0,00;126,00;0,48;0,00;0,00;
0,00;0,00;126,11;0,51;0,00;0,00;
0,00;0,00;126,23;0,57;0,00;0,00;
0,00;0,00;126,34;0,62;0,00;0,00;
0,00;0,00;126,45;0,65;0,00;0,00;
0,00;0,00;126,56;0,68;0,00;0,00;
0,00;0,00;126,68;0,69;0,00;0,00;
0,00;0,00;126,79;0,72;0,00;0,00;
0,00;0,00;126,90;0,75;0,00;0,00;
0,00;0,00;127,01;0,79;0,00;0,00;
0,00;0,00;127,12;0,82;0,00;0,00;
0,00;0,00;127,24;0,84;0,00;0,00;
0,00;0,00;127,35;0,86;0,00;0,00;
0,00;0,00;127,46;0,88;0,00;0,00;
0,00;0,00;127,51;0,86;0,00;0,00;
0,00;0,00;127,51;0,83;0,00;0,00;
0,00;0,00;127,26;0,02;0,00;0,00;
0,00;0,00;126,46;-0,02;0,00;0,00;
0,00;0,00;125,07;0,01;0,00;0,00;
0,00;0,00;125,06;0,01;0,00;0,00;
0,00;0,00;125,18;0,01;0,00;0,00;
0,00;0,00;125,29;0,01;0,00;0,00;
0,00;0,00;125,41;0,01;0,00;0,00;
