15985;19.02.21 09:15:28;21;Avvicinamento Pressata Fuori Ingombro;Alcun errore (0);20210219082648P0037;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;17,50;-0,01;0,00;0,00;
0,00;0,00;17,76;0,06;0,00;0,00;
0,00;0,00;18,55;0,04;0,00;0,00;
0,00;0,00;19,84;0,06;0,00;0,00;
0,00;0,00;21,65;0,06;0,00;0,00;
0,00;0,00;23,97;0,04;0,00;0,00;
0,00;0,00;26,80;0,05;0,00;0,00;
0,00;0,00;30,14;0,06;0,00;0,00;
0,00;0,00;33,62;0,05;0,00;0,00;
0,00;0,00;37,15;0,04;0,00;0,00;
0,00;0,00;40,67;0,06;0,00;0,00;
0,00;0,00;44,19;0,05;0,00;0,00;
0,00;0,00;47,71;0,04;0,00;0,00;
0,00;0,00;51,23;0,03;0,00;0,00;
0,00;0,00;54,74;0,04;0,00;0,00;
0,00;0,00;58,27;0,05;0,00;0,00;
0,00;0,00;61,79;0,05;0,00;0,00;
0,00;0,00;65,31;0,04;0,00;0,00;
0,00;0,00;68,83;0,02;0,00;0,00;
0,00;0,00;72,35;0,04;0,00;0,00;
0,00;0,00;75,86;0,06;0,00;0,00;
0,00;0,00;79,39;0,04;0,00;0,00;
0,00;0,00;82,91;0,03;0,00;0,00;
0,00;0,00;86,43;0,04;0,00;0,00;
0,00;0,00;89,95;0,03;0,00;0,00;
0,00;0,00;93,47;0,05;0,00;0,00;
0,00;0,00;96,99;0,04;0,00;0,00;
0,00;0,00;100,51;0,04;0,00;0,00;
0,00;0,00;104,03;0,03;0,00;0,00;
0,00;0,00;107,43;0,01;0,00;0,00;
0,00;0,00;110,36;0,01;0,00;0,00;
0,00;0,00;112,80;0,01;0,00;0,00;
0,00;0,00;114,72;0,01;0,00;0,00;
0,00;0,00;116,14;0,01;0,00;0,00;
0,00;0,00;117,06;-0,01;0,00;0,00;
