5640;11.01.21 09:16:36;21;Avvicinamento Pressata Fuori Ingombro;force > max. force (8);20210111074017P0028;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;0,00;0,07;0,00;0,00;
0,00;0,00;0,26;0,20;0,00;0,00;
0,00;0,00;1,04;0,20;0,00;0,00;
0,00;0,00;2,31;0,14;0,00;0,00;
0,00;0,00;4,11;0,16;0,00;0,00;
0,00;0,00;6,41;0,20;0,00;0,00;
0,00;0,00;9,22;0,23;0,00;0,00;
0,00;0,00;12,38;0,14;0,00;0,00;
0,00;0,00;15,50;0,16;0,00;0,00;
0,00;0,00;18,75;0,09;0,00;0,00;
0,00;0,00;21,94;0,14;0,00;0,00;
0,00;0,00;25,15;0,20;0,00;0,00;
0,00;0,00;28,35;0,09;0,00;0,00;
0,00;0,00;31,55;0,13;0,00;0,00;
0,00;0,00;34,75;0,14;0,00;0,00;
0,00;0,00;37,95;0,11;0,00;0,00;
0,00;0,00;41,15;0,20;0,00;0,00;
0,00;0,00;44,35;0,09;0,00;0,00;
0,00;0,00;47,55;0,18;0,00;0,00;
0,00;0,00;50,75;0,11;0,00;0,00;
0,00;0,00;53,95;0,13;0,00;0,00;
0,00;0,00;57,15;0,23;0,00;0,00;
0,00;0,00;60,35;0,09;0,00;0,00;
0,00;0,00;63,55;0,16;0,00;0,00;
0,00;0,00;66,75;0,13;0,00;0,00;
0,00;0,00;69,95;0,14;0,00;0,00;
0,00;0,00;73,15;0,20;0,00;0,00;
0,00;0,00;76,35;0,07;0,00;0,00;
0,00;0,00;79,55;0,16;0,00;0,00;
0,00;0,00;82,75;0,14;0,00;0,00;
0,00;0,00;85,95;0,13;0,00;0,00;
0,00;0,00;89,15;0,20;0,00;0,00;
0,00;0,00;92,35;0,07;0,00;0,00;
0,00;0,00;95,55;0,16;0,00;0,00;
0,00;0,00;98,75;0,13;0,00;0,00;
0,00;0,00;101,95;0,14;0,00;0,00;
0,00;0,00;105,15;0,23;0,00;0,00;
0,00;0,00;108,35;0,11;0,00;0,00;
0,00;0,00;111,55;0,14;0,00;0,00;
0,00;0,00;114,75;0,11;0,00;0,00;
0,00;0,00;117,95;0,13;0,00;0,00;
0,00;0,00;121,15;0,20;0,00;0,00;
0,00;0,00;124,35;0,09;0,00;0,00;
0,00;0,00;127,55;0,16;0,00;0,00;
0,00;0,00;130,75;0,14;0,00;0,00;
0,00;0,00;133,95;0,11;0,00;0,00;
0,00;0,00;137,15;0,25;0,00;0,00;
0,00;0,00;140,35;0,11;0,00;0,00;
0,00;0,00;143,55;0,16;0,00;0,00;
0,00;0,00;146,75;0,13;0,00;0,00;
0,00;0,00;149,95;0,11;0,00;0,00;
0,00;0,00;153,15;0,20;0,00;0,00;
0,00;0,00;156,35;0,09;0,00;0,00;
0,00;0,00;159,55;0,18;0,00;0,00;
0,00;0,00;162,63;0,02;0,00;0,00;
0,00;0,00;165,20;0,05;0,00;0,00;
0,00;0,00;167,34;0,11;0,00;0,00;
0,00;0,00;168,97;0,05;0,00;0,00;
0,00;0,00;170,09;0,02;0,00;0,00;
0,00;0,00;170,87;0,07;0,00;0,00;
0,00;0,00;170,92;0,07;0,00;0,00;
0,00;0,00;170,92;0,05;0,00;0,00;
0,00;0,00;171,05;0,05;0,00;0,00;
0,00;0,00;171,19;0,09;0,00;0,00;
0,00;0,00;171,35;0,07;0,00;0,00;
0,00;0,00;171,51;0,07;0,00;0,00;
0,00;0,00;171,67;0,07;0,00;0,00;
0,00;0,00;171,83;0,07;0,00;0,00;
0,00;0,00;171,99;0,07;0,00;0,00;
0,00;0,00;172,15;0,09;0,00;0,00;
0,00;0,00;172,31;0,07;0,00;0,00;
0,00;0,00;172,47;0,07;0,00;0,00;
0,00;0,00;172,63;0,07;0,00;0,00;
0,00;0,00;172,79;0,07;0,00;0,00;
0,00;0,00;172,95;0,07;0,00;0,00;
0,00;0,00;173,11;0,07;0,00;0,00;
0,00;0,00;173,27;0,07;0,00;0,00;
0,00;0,00;173,43;0,07;0,00;0,00;
0,00;0,00;173,59;0,07;0,00;0,00;
0,00;0,00;173,75;0,07;0,00;0,00;
0,00;0,00;173,91;0,07;0,00;0,00;
0,00;0,00;174,07;0,07;0,00;0,00;
0,00;0,00;174,23;0,18;0,00;0,00;
0,00;0,00;174,39;0,25;0,00;0,00;
0,00;0,00;174,55;1,17;0,00;0,00;
0,00;0,00;174,68;6,60;0,00;0,00;
0,00;0,00;174,68;7,25;0,00;0,00;
0,00;0,00;174,69;7,79;0,00;0,00;
0,00;0,00;174,70;8,09;0,00;0,00;
0,00;0,00;174,71;8,38;0,00;0,00;
0,00;0,00;174,71;8,54;0,00;0,00;
0,00;0,00;174,72;8,76;0,00;0,00;
0,00;0,00;174,72;8,88;0,00;0,00;
0,00;0,00;174,72;9,08;0,00;0,00;
0,00;0,00;174,73;9,22;0,00;0,00;
0,00;0,00;174,73;9,35;0,00;0,00;
0,00;0,00;174,73;9,38;0,00;0,00;
0,00;0,00;174,73;9,47;0,00;0,00;
0,00;0,00;174,73;9,49;0,00;0,00;
