7771;31.01.20 18:05:31;21;Avvicinamento Pressata Fuori Ingombro;Alcun errore (0);20200131175906;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;70,00;0,01;0,00;0,00;
0,00;0,00;70,25;0,07;0,00;0,00;
0,00;0,00;71,04;0,04;0,00;0,00;
0,00;0,00;72,34;0,04;0,00;0,00;
0,00;0,00;74,15;0,04;0,00;0,00;
0,00;0,00;76,47;0,06;0,00;0,00;
0,00;0,00;79,29;0,04;0,00;0,00;
0,00;0,00;82,63;0,05;0,00;0,00;
0,00;0,00;86,12;0,04;0,00;0,00;
0,00;0,00;89,65;0,03;0,00;0,00;
0,00;0,00;93,17;0,02;0,00;0,00;
0,00;0,00;96,69;0,04;0,00;0,00;
0,00;0,00;100,21;0,04;0,00;0,00;
0,00;0,00;103,72;0,05;0,00;0,00;
0,00;0,00;107,25;0,02;0,00;0,00;
0,00;0,00;110,77;0,02;0,00;0,00;
0,00;0,00;114,12;0,02;0,00;0,00;
0,00;0,00;117,00;0,01;0,00;0,00;
0,00;0,00;119,39;0,01;0,00;0,00;
0,00;0,00;122,68;0,01;0,00;0,00;
0,00;0,00;123,57;0,01;0,00;0,00;
0,00;0,00;123,97;-0,01;0,00;0,00;
0,00;0,00;124,01;0,01;0,00;0,00;
0,00;0,00;124,09;0,03;0,00;0,00;
0,00;0,00;124,21;0,01;0,00;0,00;
0,00;0,00;124,32;0,01;0,00;0,00;
0,00;0,00;124,44;0,01;0,00;0,00;
0,00;0,00;124,55;0,01;0,00;0,00;
0,00;0,00;124,66;0,01;0,00;0,00;
0,00;0,00;124,77;0,01;0,00;0,00;
0,00;0,00;124,88;0,01;0,00;0,00;
0,00;0,00;125,00;0,01;0,00;0,00;
0,00;0,00;125,11;0,01;0,00;0,00;
0,00;0,00;125,22;0,01;0,00;0,00;
0,00;0,00;125,33;0,01;0,00;0,00;
0,00;0,00;125,45;0,01;0,00;0,00;
0,00;0,00;125,56;0,01;0,00;0,00;
0,00;0,00;125,67;0,01;0,00;0,00;
0,00;0,00;125,78;0,01;0,00;0,00;
0,00;0,00;125,89;0,01;0,00;0,00;
0,00;0,00;126,01;0,01;0,00;0,00;
0,00;0,00;126,12;0,01;0,00;0,00;
0,00;0,00;126,23;0,01;0,00;0,00;
0,00;0,00;126,34;0,01;0,00;0,00;
0,00;0,00;126,45;0,23;0,00;0,00;
0,00;0,00;126,56;0,39;0,00;0,00;
0,00;0,00;126,67;0,45;0,00;0,00;
0,00;0,00;126,79;0,51;0,00;0,00;
0,00;0,00;126,90;0,56;0,00;0,00;
0,00;0,00;127,01;0,61;0,00;0,00;
0,00;0,00;127,12;0,61;0,00;0,00;
0,00;0,00;127,24;0,63;0,00;0,00;
0,00;0,00;127,35;0,66;0,00;0,00;
0,00;0,00;127,46;0,66;0,00;0,00;
0,00;0,00;127,57;0,66;0,00;0,00;
0,00;0,00;127,69;0,66;0,00;0,00;
0,00;0,00;127,80;0,66;0,00;0,00;
0,00;0,00;127,91;0,68;0,00;0,00;
0,00;0,00;128,02;0,68;0,00;0,00;
0,00;0,00;128,13;0,70;0,00;0,00;
