966;13.12.19 11:17:44;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);20191213110455;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;39,96;0,16;0,00;0,00;
0,00;0,00;40,50;0,11;0,00;0,00;
0,00;0,00;41,52;0,18;0,00;0,00;
0,00;0,00;43,04;0,29;0,00;0,00;
0,00;0,00;45,08;0,13;0,00;0,00;
0,00;0,00;47,64;0,18;0,00;0,00;
0,00;0,00;50,66;0,27;0,00;0,00;
0,00;0,00;53,83;0,11;0,00;0,00;
0,00;0,00;56,99;0,18;0,00;0,00;
0,00;0,00;60,28;0,06;0,00;0,00;
0,00;0,00;63,42;0,13;0,00;0,00;
0,00;0,00;66,66;0,18;0,00;0,00;
0,00;0,00;69,83;0,16;0,00;0,00;
0,00;0,00;73,05;0,18;0,00;0,00;
0,00;0,00;76,25;0,20;0,00;0,00;
0,00;0,00;79,45;0,13;0,00;0,00;
0,00;0,00;82,65;0,23;0,00;0,00;
0,00;0,00;85,85;0,11;0,00;0,00;
0,00;0,00;89,05;0,25;0,00;0,00;
0,00;0,00;92,25;0,13;0,00;0,00;
0,00;0,00;95,45;0,13;0,00;0,00;
0,00;0,00;98,65;0,20;0,00;0,00;
0,00;0,00;101,85;0,11;0,00;0,00;
0,00;0,00;105,05;0,20;0,00;0,00;
0,00;0,00;108,25;0,16;0,00;0,00;
0,00;0,00;111,45;0,11;0,00;0,00;
0,00;0,00;114,65;0,20;0,00;0,00;
0,00;0,00;117,85;0,11;0,00;0,00;
0,00;0,00;121,05;0,25;0,00;0,00;
0,00;0,00;124,25;0,13;0,00;0,00;
0,00;0,00;127,45;0,16;0,00;0,00;
0,00;0,00;130,65;0,20;0,00;0,00;
0,00;0,00;133,85;0,09;0,00;0,00;
0,00;0,00;137,05;0,25;0,00;0,00;
0,00;0,00;140,25;0,16;0,00;0,00;
0,00;0,00;143,45;0,18;0,00;0,00;
0,00;0,00;146,65;0,23;0,00;0,00;
0,00;0,00;149,85;0,09;0,00;0,00;
0,00;0,00;153,05;0,18;0,00;0,00;
0,00;0,00;156,25;0,16;0,00;0,00;
0,00;0,00;159,42;0,16;0,00;0,00;
0,00;0,00;162,10;0,11;0,00;0,00;
0,00;0,00;164,35;0,07;0,00;0,00;
0,00;0,00;166,11;0,02;0,00;0,00;
0,00;0,00;168,11;-0,02;0,00;0,00;
0,00;0,00;168,35;0,02;0,00;0,00;
0,00;0,00;168,42;0,02;0,00;0,00;
0,00;0,00;168,44;0,09;0,00;0,00;
0,00;0,00;168,59;0,05;0,00;0,00;
0,00;0,00;168,73;0,07;0,00;0,00;
0,00;0,00;168,89;0,07;0,00;0,00;
0,00;0,00;169,05;0,07;0,00;0,00;
0,00;0,00;169,21;0,07;0,00;0,00;
0,00;0,00;169,37;0,07;0,00;0,00;
0,00;0,00;169,53;0,07;0,00;0,00;
0,00;0,00;169,69;0,07;0,00;0,00;
0,00;0,00;169,85;0,07;0,00;0,00;
0,00;0,00;170,01;0,09;0,00;0,00;
0,00;0,00;170,17;0,07;0,00;0,00;
0,00;0,00;170,33;0,07;0,00;0,00;
0,00;0,00;170,49;0,07;0,00;0,00;
0,00;0,00;170,65;0,18;0,00;0,00;
0,00;0,00;170,81;0,23;0,00;0,00;
0,00;0,00;170,91;0,23;0,00;0,00;
0,00;0,00;170,91;0,25;0,00;0,00;
0,00;0,00;170,76;0,07;0,00;0,00;
0,00;0,00;170,09;-0,13;0,00;0,00;
0,00;0,00;169,31;0,02;0,00;0,00;
0,00;0,00;169,03;-0,02;0,00;0,00;
0,00;0,00;168,94;-0,11;0,00;0,00;
0,00;0,00;168,90;-0,05;0,00;0,00;
0,00;0,00;168,90;-0,05;0,00;0,00;
0,00;0,00;168,95;0,13;0,00;0,00;
0,00;0,00;169,09;0,07;0,00;0,00;
0,00;0,00;169,24;0,02;0,00;0,00;
0,00;0,00;169,41;0,07;0,00;0,00;
0,00;0,00;169,58;0,09;0,00;0,00;
0,00;0,00;169,74;0,07;0,00;0,00;
0,00;0,00;169,90;0,07;0,00;0,00;
0,00;0,00;170,06;0,07;0,00;0,00;
0,00;0,00;170,23;0,07;0,00;0,00;
0,00;0,00;170,39;0,07;0,00;0,00;
0,00;0,00;170,55;0,07;0,00;0,00;
0,00;0,00;170,71;0,16;0,00;0,00;
0,00;0,00;170,87;0,25;0,00;0,00;
0,00;0,00;171,03;0,34;0,00;0,00;
0,00;0,00;171,19;0,61;0,00;0,00;
0,00;0,00;171,34;0,95;0,00;0,00;
0,00;0,00;171,50;1,15;0,00;0,00;
0,00;0,00;171,66;1,24;0,00;0,00;
0,00;0,00;171,82;1,29;0,00;0,00;
0,00;0,00;171,98;1,35;0,00;0,00;
0,00;0,00;172,15;1,47;0,00;0,00;
0,00;0,00;172,31;1,51;0,00;0,00;
0,00;0,00;172,47;1,51;0,00;0,00;
0,00;0,00;172,63;1,62;0,00;0,00;
0,00;0,00;172,79;1,69;0,00;0,00;
0,00;0,00;172,95;1,74;0,00;0,00;
0,00;0,00;173,11;1,69;0,00;0,00;
0,00;0,00;173,27;1,78;0,00;0,00;
0,00;0,00;173,43;1,85;0,00;0,00;
0,00;0,00;173,59;1,92;0,00;0,00;
0,00;0,00;173,75;1,96;0,00;0,00;
0,00;0,00;173,91;2,03;0,00;0,00;
0,00;0,00;174,07;2,10;0,00;0,00;
0,00;0,00;174,23;2,15;0,00;0,00;
0,00;0,00;174,39;2,17;0,00;0,00;
0,00;0,00;174,55;2,23;0,00;0,00;
0,00;0,00;174,71;2,23;0,00;0,00;
0,00;0,00;174,87;2,28;0,00;0,00;
0,00;0,00;175,03;2,33;0,00;0,00;
0,00;0,00;175,19;2,41;0,00;0,00;
0,00;0,00;175,35;2,51;0,00;0,00;
0,00;0,00;175,51;2,60;0,00;0,00;
0,00;0,00;175,67;2,60;0,00;0,00;
0,00;0,00;175,83;2,60;0,00;0,00;
0,00;0,00;175,91;3,09;0,00;0,00;
0,00;0,00;175,91;3,03;0,00;0,00;
0,00;0,00;175,90;2,78;0,00;0,00;
0,00;0,00;175,50;0,02;0,00;0,00;
0,00;0,00;174,61;-0,13;0,00;0,00;
0,00;0,00;173,21;-0,09;0,00;0,00;
0,00;0,00;171,29;-0,16;0,00;0,00;
0,00;0,00;168,86;-0,09;0,00;0,00;
0,00;0,00;165,95;-0,18;0,00;0,00;
0,00;0,00;162,78;-0,20;0,00;0,00;
0,00;0,00;159,61;-0,16;0,00;0,00;
0,00;0,00;156,36;-0,11;0,00;0,00;
0,00;0,00;153,17;-0,18;0,00;0,00;
0,00;0,00;149,95;-0,13;0,00;0,00;
0,00;0,00;146,76;-0,23;0,00;0,00;
0,00;0,00;143,55;-0,09;0,00;0,00;
0,00;0,00;140,35;-0,16;0,00;0,00;
