3447;22.01.20 18:51:25;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);20200122171204;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;0,00;0,06;0,00;0,00;
0,00;0,00;0,05;0,37;0,00;0,00;
0,00;0,00;0,51;0,45;0,00;0,00;
0,00;0,00;1,28;0,53;0,00;0,00;
0,00;0,00;2,43;0,53;0,00;0,00;
0,00;0,00;3,97;0,59;0,00;0,00;
0,00;0,00;5,90;0,59;0,00;0,00;
0,00;0,00;8,20;0,53;0,00;0,00;
0,00;0,00;10,53;0,44;0,00;0,00;
0,00;0,00;12,93;0,45;0,00;0,00;
0,00;0,00;15,34;0,53;0,00;0,00;
0,00;0,00;17,74;0,53;0,00;0,00;
0,00;0,00;20,15;0,45;0,00;0,00;
0,00;0,00;22,54;0,45;0,00;0,00;
0,00;0,00;24,95;0,45;0,00;0,00;
0,00;0,00;27,35;0,45;0,00;0,00;
0,00;0,00;29,74;0,45;0,00;0,00;
0,00;0,00;32,15;0,37;0,00;0,00;
0,00;0,00;34,54;0,45;0,00;0,00;
0,00;0,00;36,95;0,45;0,00;0,00;
0,00;0,00;39,35;0,45;0,00;0,00;
0,00;0,00;41,74;0,37;0,00;0,00;
0,00;0,00;44,15;0,37;0,00;0,00;
0,00;0,00;46,54;0,37;0,00;0,00;
0,00;0,00;48,95;0,37;0,00;0,00;
0,00;0,00;51,35;0,45;0,00;0,00;
0,00;0,00;53,74;0,37;0,00;0,00;
0,00;0,00;56,15;0,37;0,00;0,00;
0,00;0,00;58,54;0,45;0,00;0,00;
0,00;0,00;60,95;0,37;0,00;0,00;
0,00;0,00;63,35;0,45;0,00;0,00;
0,00;0,00;65,74;0,37;0,00;0,00;
0,00;0,00;68,15;0,30;0,00;0,00;
0,00;0,00;70,54;0,37;0,00;0,00;
0,00;0,00;72,95;0,45;0,00;0,00;
0,00;0,00;75,35;0,37;0,00;0,00;
0,00;0,00;77,75;0,37;0,00;0,00;
0,00;0,00;80,15;0,30;0,00;0,00;
0,00;0,00;82,54;0,37;0,00;0,00;
0,00;0,00;84,95;0,30;0,00;0,00;
0,00;0,00;87,35;0,45;0,00;0,00;
0,00;0,00;89,75;0,37;0,00;0,00;
0,00;0,00;92,15;0,30;0,00;0,00;
0,00;0,00;94,54;0,37;0,00;0,00;
0,00;0,00;96,95;0,45;0,00;0,00;
0,00;0,00;99,35;0,45;0,00;0,00;
0,00;0,00;101,74;0,45;0,00;0,00;
0,00;0,00;104,15;0,30;0,00;0,00;
0,00;0,00;106,54;0,37;0,00;0,00;
0,00;0,00;108,95;0,37;0,00;0,00;
0,00;0,00;111,35;0,45;0,00;0,00;
0,00;0,00;113,74;0,30;0,00;0,00;
0,00;0,00;116,15;0,37;0,00;0,00;
0,00;0,00;118,54;0,45;0,00;0,00;
0,00;0,00;120,95;0,45;0,00;0,00;
0,00;0,00;123,35;0,45;0,00;0,00;
0,00;0,00;125,75;0,30;0,00;0,00;
0,00;0,00;128,15;0,30;0,00;0,00;
0,00;0,00;130,54;0,37;0,00;0,00;
0,00;0,00;132,95;0,45;0,00;0,00;
0,00;0,00;135,35;0,37;0,00;0,00;
0,00;0,00;137,60;0,30;0,00;0,00;
0,00;0,00;139,48;0,30;0,00;0,00;
0,00;0,00;141,06;0,22;0,00;0,00;
0,00;0,00;142,25;0,30;0,00;0,00;
0,00;0,00;143,07;0,30;0,00;0,00;
0,00;0,00;143,51;0,30;0,00;0,00;
0,00;0,00;143,63;0,30;0,00;0,00;
0,00;0,00;143,67;0,30;0,00;0,00;
0,00;0,00;143,72;0,30;0,00;0,00;
0,00;0,00;143,87;0,30;0,00;0,00;
0,00;0,00;144,01;0,30;0,00;0,00;
0,00;0,00;144,18;0,30;0,00;0,00;
0,00;0,00;144,34;0,30;0,00;0,00;
0,00;0,00;144,50;0,30;0,00;0,00;
0,00;0,00;144,66;0,30;0,00;0,00;
0,00;0,00;144,82;0,37;0,00;0,00;
0,00;0,00;144,98;0,30;0,00;0,00;
0,00;0,00;145,14;0,30;0,00;0,00;
0,00;0,00;145,30;0,37;0,00;0,00;
0,00;0,00;145,46;0,30;0,00;0,00;
0,00;0,00;145,62;0,30;0,00;0,00;
0,00;0,00;145,78;0,30;0,00;0,00;
0,00;0,00;145,94;0,37;0,00;0,00;
0,00;0,00;146,10;0,37;0,00;0,00;
0,00;0,00;146,26;0,30;0,00;0,00;
0,00;0,00;146,42;0,30;0,00;0,00;
0,00;0,00;146,58;0,30;0,00;0,00;
0,00;0,00;146,74;0,45;0,00;0,00;
0,00;0,00;146,90;0,30;0,00;0,00;
0,00;0,00;147,06;0,45;0,00;0,00;
0,00;0,00;147,22;0,37;0,00;0,00;
0,00;0,00;147,38;0,30;0,00;0,00;
0,00;0,00;147,54;0,30;0,00;0,00;
0,00;0,00;147,65;0,30;0,00;0,00;
0,00;0,00;147,65;0,30;0,00;0,00;
0,00;0,00;147,59;0,14;0,00;0,00;
0,00;0,00;146,39;0,06;0,00;0,00;
0,00;0,00;145,96;0,06;0,00;0,00;
0,00;0,00;145,65;0,06;0,00;0,00;
0,00;0,00;145,63;0,14;0,00;0,00;
0,00;0,00;145,65;0,14;0,00;0,00;
0,00;0,00;145,83;0,30;0,00;0,00;
0,00;0,00;145,97;0,30;0,00;0,00;
