14887;27.08.21 16:48:18;22;Avvicinamento pre-pressata pressata Fuori Ingombro;force > max. force (8);20210827085833A0218;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;39,96;0,18;0,00;0,00;
0,00;0,00;40,50;0,18;0,00;0,00;
0,00;0,00;41,53;0,18;0,00;0,00;
0,00;0,00;43,06;0,23;0,00;0,00;
0,00;0,00;45,10;0,18;0,00;0,00;
0,00;0,00;47,66;0,13;0,00;0,00;
0,00;0,00;50,72;0,13;0,00;0,00;
0,00;0,00;53,85;0,13;0,00;0,00;
0,00;0,00;57,02;0,20;0,00;0,00;
0,00;0,00;60,25;0,14;0,00;0,00;
0,00;0,00;63,45;0,09;0,00;0,00;
0,00;0,00;66,65;0,16;0,00;0,00;
0,00;0,00;69,85;0,11;0,00;0,00;
0,00;0,00;73,05;0,16;0,00;0,00;
0,00;0,00;76,25;0,13;0,00;0,00;
0,00;0,00;79,45;0,07;0,00;0,00;
0,00;0,00;82,65;0,13;0,00;0,00;
0,00;0,00;85,85;0,11;0,00;0,00;
0,00;0,00;89,05;0,18;0,00;0,00;
0,00;0,00;92,25;0,11;0,00;0,00;
0,00;0,00;95,45;0,09;0,00;0,00;
0,00;0,00;98,65;0,11;0,00;0,00;
0,00;0,00;101,85;0,09;0,00;0,00;
0,00;0,00;105,05;0,16;0,00;0,00;
0,00;0,00;108,25;0,13;0,00;0,00;
0,00;0,00;111,45;0,09;0,00;0,00;
0,00;0,00;114,65;0,11;0,00;0,00;
0,00;0,00;117,85;0,11;0,00;0,00;
0,00;0,00;121,05;0,18;0,00;0,00;
0,00;0,00;124,25;0,16;0,00;0,00;
0,00;0,00;127,45;0,09;0,00;0,00;
0,00;0,00;130,65;0,16;0,00;0,00;
0,00;0,00;133,85;0,09;0,00;0,00;
0,00;0,00;137,05;0,16;0,00;0,00;
0,00;0,00;140,25;0,16;0,00;0,00;
0,00;0,00;143,45;0,09;0,00;0,00;
0,00;0,00;146,65;0,16;0,00;0,00;
0,00;0,00;149,85;0,09;0,00;0,00;
0,00;0,00;153,05;0,16;0,00;0,00;
0,00;0,00;156,25;0,14;0,00;0,00;
0,00;0,00;159,42;0,07;0,00;0,00;
0,00;0,00;162,10;0,11;0,00;0,00;
0,00;0,00;164,34;0,07;0,00;0,00;
0,00;0,00;166,11;0,02;0,00;0,00;
0,00;0,00;168,10;0,02;0,00;0,00;
0,00;0,00;168,34;0,05;0,00;0,00;
0,00;0,00;168,41;0,05;0,00;0,00;
0,00;0,00;168,41;0,05;0,00;0,00;
0,00;0,00;168,54;0,05;0,00;0,00;
0,00;0,00;168,69;0,09;0,00;0,00;
0,00;0,00;168,85;0,09;0,00;0,00;
0,00;0,00;169,01;0,07;0,00;0,00;
0,00;0,00;169,17;0,07;0,00;0,00;
0,00;0,00;169,33;0,09;0,00;0,00;
0,00;0,00;169,49;0,27;0,00;0,00;
0,00;0,00;169,65;0,36;0,00;0,00;
0,00;0,00;169,80;2,35;0,00;0,00;
0,00;0,00;169,94;3,95;0,00;0,00;
0,00;0,00;170,04;4,04;0,00;0,00;
0,00;0,00;170,06;4,25;0,00;0,00;
0,00;0,00;170,06;4,18;0,00;0,00;
0,00;0,00;170,07;4,16;0,00;0,00;
0,00;0,00;170,07;4,16;0,00;0,00;
0,00;0,00;170,07;4,13;0,00;0,00;
0,00;0,00;170,07;4,13;0,00;0,00;
0,00;0,00;170,07;4,16;0,00;0,00;
0,00;0,00;170,07;4,16;0,00;0,00;
0,00;0,00;170,08;4,09;0,00;0,00;
0,00;0,00;170,08;4,07;0,00;0,00;
0,00;0,00;170,08;4,07;0,00;0,00;
0,00;0,00;170,08;4,09;0,00;0,00;
0,00;0,00;170,08;4,07;0,00;0,00;
