2617;30.01.20 17:52:43;21;Avvicinamento Pressata Finale;Alcun errore (0);20200130171947;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;20,00;-0,04;0,00;0,00;
0,00;0,00;20,30;0,09;0,00;0,00;
0,00;0,00;21,12;0,09;0,00;0,00;
0,00;0,00;22,40;0,09;0,00;0,00;
0,00;0,00;24,19;0,09;0,00;0,00;
0,00;0,00;26,50;0,04;0,00;0,00;
0,00;0,00;28,82;0,13;0,00;0,00;
0,00;0,00;31,21;0,04;0,00;0,00;
0,00;0,00;33,62;0,09;0,00;0,00;
0,00;0,00;36,02;0,04;0,00;0,00;
0,00;0,00;38,42;0,04;0,00;0,00;
0,00;0,00;40,82;0,04;0,00;0,00;
0,00;0,00;43,22;0,04;0,00;0,00;
0,00;0,00;45,62;0,09;0,00;0,00;
0,00;0,00;48,02;0,04;0,00;0,00;
0,00;0,00;52,82;0,04;0,00;0,00;
0,00;0,00;55,22;0,09;0,00;0,00;
0,00;0,00;60,02;0,09;0,00;0,00;
0,00;0,00;62,42;0,09;0,00;0,00;
0,00;0,00;64,82;0,04;0,00;0,00;
0,00;0,00;67,22;0,04;0,00;0,00;
0,00;0,00;69,62;0,04;0,00;0,00;
0,00;0,00;72,02;0,04;0,00;0,00;
0,00;0,00;74,42;0,09;0,00;0,00;
0,00;0,00;81,62;0,09;0,00;0,00;
0,00;0,00;88,82;0,04;0,00;0,00;
0,00;0,00;91,22;0,04;0,00;0,00;
0,00;0,00;93,62;0,09;0,00;0,00;
0,00;0,00;96,02;0,04;0,00;0,00;
0,00;0,00;98,42;0,04;0,00;0,00;
0,00;0,00;103,22;0,04;0,00;0,00;
0,00;0,00;108,02;0,04;0,00;0,00;
0,00;0,00;110,42;-0,04;0,00;0,00;
0,00;0,00;112,82;0,04;0,00;0,00;
0,00;0,00;115,22;0,09;0,00;0,00;
0,00;0,00;117,62;0,04;0,00;0,00;
0,00;0,00;120,02;0,04;0,00;0,00;
0,00;0,00;122,42;0,04;0,00;0,00;
0,00;0,00;124,82;-0,04;0,00;0,00;
0,00;0,00;129,62;0,04;0,00;0,00;
0,00;0,00;132,02;0,09;0,00;0,00;
0,00;0,00;134,42;0,09;0,00;0,00;
0,00;0,00;139,22;0,04;0,00;0,00;
0,00;0,00;141,62;0,09;0,00;0,00;
0,00;0,00;144,02;0,04;0,00;0,00;
0,00;0,00;146,42;0,04;0,00;0,00;
0,00;0,00;148,82;0,04;0,00;0,00;
0,00;0,00;151,22;0,04;0,00;0,00;
0,00;0,00;153,62;0,09;0,00;0,00;
0,00;0,00;156,02;0,04;0,00;0,00;
0,00;0,00;163,22;0,04;0,00;0,00;
0,00;0,00;165,62;0,04;0,00;0,00;
0,00;0,00;168,02;0,04;0,00;0,00;
0,00;0,00;170,42;-0,04;0,00;0,00;
0,00;0,00;172,82;0,09;0,00;0,00;
0,00;0,00;175,22;0,09;0,00;0,00;
0,00;0,00;180,02;0,09;0,00;0,00;
0,00;0,00;182,42;0,09;0,00;0,00;
0,00;0,00;184,82;0,04;0,00;0,00;
0,00;0,00;189,62;0,04;0,00;0,00;
0,00;0,00;192,02;0,04;0,00;0,00;
0,00;0,00;194,42;0,04;0,00;0,00;
0,00;0,00;199,22;0,04;0,00;0,00;
0,00;0,00;201,62;0,04;0,00;0,00;
0,00;0,00;204,02;0,04;0,00;0,00;
0,00;0,00;213,62;0,04;0,00;0,00;
0,00;0,00;216,02;0,04;0,00;0,00;
0,00;0,00;220,82;0,09;0,00;0,00;
0,00;0,00;223,22;0,04;0,00;0,00;
0,00;0,00;228,02;0,04;0,00;0,00;
0,00;0,00;230,02;0,04;0,00;0,00;
0,00;0,00;233,23;0,04;0,00;0,00;
0,00;0,00;233,41;0,09;0,00;0,00;
0,00;0,00;233,41;0,04;0,00;0,00;
0,00;0,00;233,49;0,09;0,00;0,00;
0,00;0,00;233,64;0,13;0,00;0,00;
0,00;0,00;233,79;0,13;0,00;0,00;
0,00;0,00;233,96;0,13;0,00;0,00;
0,00;0,00;234,12;0,13;0,00;0,00;
0,00;0,00;234,28;0,09;0,00;0,00;
0,00;0,00;234,44;0,13;0,00;0,00;
0,00;0,00;234,60;0,09;0,00;0,00;
0,00;0,00;234,76;0,13;0,00;0,00;
0,00;0,00;234,92;0,09;0,00;0,00;
0,00;0,00;235,08;0,09;0,00;0,00;
0,00;0,00;235,24;0,09;0,00;0,00;
0,00;0,00;235,40;0,09;0,00;0,00;
0,00;0,00;235,56;0,09;0,00;0,00;
0,00;0,00;235,72;0,13;0,00;0,00;
0,00;0,00;235,88;0,13;0,00;0,00;
0,00;0,00;236,04;0,09;0,00;0,00;
0,00;0,00;236,20;0,09;0,00;0,00;
0,00;0,00;236,36;0,09;0,00;0,00;
0,00;0,00;236,52;0,09;0,00;0,00;
0,00;0,00;236,68;0,13;0,00;0,00;
0,00;0,00;236,84;0,13;0,00;0,00;
0,00;0,00;237,00;0,13;0,00;0,00;
0,00;0,00;237,16;0,09;0,00;0,00;
0,00;0,00;237,32;0,04;0,00;0,00;
0,00;0,00;237,48;0,13;0,00;0,00;
0,00;0,00;237,64;0,13;0,00;0,00;
0,00;0,00;237,80;0,13;0,00;0,00;
0,00;0,00;237,96;0,13;0,00;0,00;
0,00;0,00;238,12;0,13;0,00;0,00;
0,00;0,00;238,28;0,13;0,00;0,00;
0,00;0,00;238,44;0,13;0,00;0,00;
0,00;0,00;238,60;0,13;0,00;0,00;
0,00;0,00;238,76;0,09;0,00;0,00;
0,00;0,00;238,92;0,04;0,00;0,00;
0,00;0,00;239,08;0,13;0,00;0,00;
0,00;0,00;239,24;0,13;0,00;0,00;
0,00;0,00;239,40;0,13;0,00;0,00;
0,00;0,00;239,56;0,13;0,00;0,00;
0,00;0,00;239,72;0,13;0,00;0,00;
0,00;0,00;239,88;0,13;0,00;0,00;
0,00;0,00;240,04;0,13;0,00;0,00;
0,00;0,00;240,20;0,13;0,00;0,00;
0,00;0,00;240,36;0,09;0,00;0,00;
0,00;0,00;240,52;0,04;0,00;0,00;
0,00;0,00;240,68;0,13;0,00;0,00;
0,00;0,00;240,84;0,13;0,00;0,00;
0,00;0,00;241,00;0,13;0,00;0,00;
0,00;0,00;241,16;0,13;0,00;0,00;
0,00;0,00;241,32;0,13;0,00;0,00;
0,00;0,00;241,48;0,13;0,00;0,00;
0,00;0,00;241,64;0,13;0,00;0,00;
0,00;0,00;241,80;0,09;0,00;0,00;
0,00;0,00;241,96;0,13;0,00;0,00;
0,00;0,00;242,12;0,13;0,00;0,00;
0,00;0,00;242,28;0,13;0,00;0,00;
0,00;0,00;242,44;0,13;0,00;0,00;
0,00;0,00;242,60;0,13;0,00;0,00;
0,00;0,00;242,76;0,09;0,00;0,00;
