986;13.12.19 12:16:48;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);20191213120719;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;39,90;0,02;0,00;0,00;
0,00;0,00;39,96;0,20;0,00;0,00;
0,00;0,00;40,50;0,13;0,00;0,00;
0,00;0,00;41,52;0,20;0,00;0,00;
0,00;0,00;43,04;0,29;0,00;0,00;
0,00;0,00;45,08;0,18;0,00;0,00;
0,00;0,00;47,65;0,20;0,00;0,00;
0,00;0,00;50,67;0,27;0,00;0,00;
0,00;0,00;53,84;0,13;0,00;0,00;
0,00;0,00;57,00;0,20;0,00;0,00;
0,00;0,00;60,28;0,11;0,00;0,00;
0,00;0,00;63,42;0,16;0,00;0,00;
0,00;0,00;66,66;0,16;0,00;0,00;
0,00;0,00;69,83;0,18;0,00;0,00;
0,00;0,00;73,05;0,18;0,00;0,00;
0,00;0,00;76,25;0,18;0,00;0,00;
0,00;0,00;79,45;0,13;0,00;0,00;
0,00;0,00;82,65;0,25;0,00;0,00;
0,00;0,00;85,85;0,13;0,00;0,00;
0,00;0,00;89,05;0,25;0,00;0,00;
0,00;0,00;92,25;0,18;0,00;0,00;
0,00;0,00;95,45;0,20;0,00;0,00;
0,00;0,00;98,65;0,20;0,00;0,00;
0,00;0,00;101,85;0,11;0,00;0,00;
0,00;0,00;105,05;0,20;0,00;0,00;
0,00;0,00;108,25;0,18;0,00;0,00;
0,00;0,00;111,45;0,16;0,00;0,00;
0,00;0,00;114,65;0,18;0,00;0,00;
0,00;0,00;117,85;0,11;0,00;0,00;
0,00;0,00;121,05;0,25;0,00;0,00;
0,00;0,00;124,25;0,16;0,00;0,00;
0,00;0,00;127,45;0,20;0,00;0,00;
0,00;0,00;130,65;0,20;0,00;0,00;
0,00;0,00;133,85;0,11;0,00;0,00;
0,00;0,00;137,05;0,27;0,00;0,00;
0,00;0,00;140,25;0,23;0,00;0,00;
0,00;0,00;143,45;0,18;0,00;0,00;
0,00;0,00;146,65;0,18;0,00;0,00;
0,00;0,00;149,85;0,13;0,00;0,00;
0,00;0,00;153,05;0,23;0,00;0,00;
0,00;0,00;156,25;0,18;0,00;0,00;
0,00;0,00;159,42;0,16;0,00;0,00;
0,00;0,00;162,10;0,11;0,00;0,00;
0,00;0,00;164,35;0,11;0,00;0,00;
0,00;0,00;166,11;0,06;0,00;0,00;
0,00;0,00;167,36;0,02;0,00;0,00;
0,00;0,00;168,35;0,05;0,00;0,00;
0,00;0,00;168,42;0,09;0,00;0,00;
0,00;0,00;168,44;0,09;0,00;0,00;
0,00;0,00;168,59;0,07;0,00;0,00;
0,00;0,00;168,73;0,07;0,00;0,00;
0,00;0,00;168,89;0,09;0,00;0,00;
0,00;0,00;169,05;0,09;0,00;0,00;
0,00;0,00;169,21;0,09;0,00;0,00;
0,00;0,00;169,37;0,09;0,00;0,00;
0,00;0,00;169,53;0,09;0,00;0,00;
0,00;0,00;169,69;0,09;0,00;0,00;
0,00;0,00;169,85;0,09;0,00;0,00;
0,00;0,00;170,01;0,09;0,00;0,00;
0,00;0,00;170,17;0,09;0,00;0,00;
0,00;0,00;170,33;0,09;0,00;0,00;
0,00;0,00;170,49;0,09;0,00;0,00;
0,00;0,00;170,65;0,27;0,00;0,00;
0,00;0,00;170,81;0,27;0,00;0,00;
0,00;0,00;170,91;0,29;0,00;0,00;
0,00;0,00;170,91;0,27;0,00;0,00;
0,00;0,00;170,76;0,09;0,00;0,00;
0,00;0,00;170,09;-0,16;0,00;0,00;
0,00;0,00;169,31;0,05;0,00;0,00;
0,00;0,00;169,03;0,02;0,00;0,00;
0,00;0,00;168,94;-0,05;0,00;0,00;
0,00;0,00;168,90;-0,05;0,00;0,00;
0,00;0,00;168,95;0,13;0,00;0,00;
0,00;0,00;169,09;0,09;0,00;0,00;
0,00;0,00;169,24;0,05;0,00;0,00;
0,00;0,00;169,41;0,09;0,00;0,00;
0,00;0,00;169,58;0,09;0,00;0,00;
0,00;0,00;169,74;0,09;0,00;0,00;
0,00;0,00;169,90;0,09;0,00;0,00;
0,00;0,00;170,06;0,09;0,00;0,00;
0,00;0,00;170,23;0,09;0,00;0,00;
0,00;0,00;170,39;0,09;0,00;0,00;
0,00;0,00;170,55;0,09;0,00;0,00;
0,00;0,00;170,71;0,27;0,00;0,00;
0,00;0,00;170,87;0,27;0,00;0,00;
0,00;0,00;171,03;0,58;0,00;0,00;
0,00;0,00;171,18;1,04;0,00;0,00;
0,00;0,00;171,34;1,26;0,00;0,00;
0,00;0,00;171,50;1,37;0,00;0,00;
0,00;0,00;171,66;1,49;0,00;0,00;
0,00;0,00;171,82;1,54;0,00;0,00;
0,00;0,00;171,98;1,67;0,00;0,00;
0,00;0,00;172,14;1,81;0,00;0,00;
0,00;0,00;172,31;1,90;0,00;0,00;
0,00;0,00;172,47;1,99;0,00;0,00;
0,00;0,00;172,63;2,08;0,00;0,00;
0,00;0,00;172,79;2,17;0,00;0,00;
0,00;0,00;172,95;2,23;0,00;0,00;
0,00;0,00;173,11;2,35;0,00;0,00;
0,00;0,00;173,27;2,39;0,00;0,00;
0,00;0,00;173,43;2,44;0,00;0,00;
0,00;0,00;173,59;2,53;0,00;0,00;
0,00;0,00;173,75;2,62;0,00;0,00;
0,00;0,00;173,91;2,71;0,00;0,00;
0,00;0,00;174,07;2,80;0,00;0,00;
0,00;0,00;174,23;2,89;0,00;0,00;
0,00;0,00;174,39;2,93;0,00;0,00;
0,00;0,00;174,55;2,98;0,00;0,00;
0,00;0,00;174,71;2,98;0,00;0,00;
0,00;0,00;174,87;3,00;0,00;0,00;
0,00;0,00;175,03;3,07;0,00;0,00;
0,00;0,00;175,19;3,16;0,00;0,00;
0,00;0,00;175,35;3,18;0,00;0,00;
0,00;0,00;175,51;3,25;0,00;0,00;
0,00;0,00;175,67;3,32;0,00;0,00;
0,00;0,00;175,83;3,30;0,00;0,00;
0,00;0,00;175,91;2,98;0,00;0,00;
0,00;0,00;175,91;2,89;0,00;0,00;
0,00;0,00;175,91;2,66;0,00;0,00;
0,00;0,00;175,51;0,02;0,00;0,00;
0,00;0,00;174,61;-0,07;0,00;0,00;
0,00;0,00;173,21;-0,11;0,00;0,00;
0,00;0,00;171,29;-0,16;0,00;0,00;
0,00;0,00;168,85;-0,11;0,00;0,00;
0,00;0,00;165,95;-0,13;0,00;0,00;
0,00;0,00;162,78;-0,18;0,00;0,00;
