26695;30.08.21 09:37:03;21;Avvicinamento Pressata Finale;Alcun errore (0);20210827101749A0211;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;21,12;0,12;0,00;0,00;
0,00;0,00;24,20;-0,05;0,00;0,00;
0,00;0,00;28,82;0,04;0,00;0,00;
0,00;0,00;33,62;0,04;0,00;0,00;
0,00;0,00;38,42;0,08;0,00;0,00;
0,00;0,00;43,22;0,08;0,00;0,00;
0,00;0,00;48,02;0,04;0,00;0,00;
0,00;0,00;52,82;0,04;0,00;0,00;
0,00;0,00;57,62;0,08;0,00;0,00;
0,00;0,00;62,42;0,08;0,00;0,00;
0,00;0,00;67,22;0,08;0,00;0,00;
0,00;0,00;76,82;0,04;0,00;0,00;
0,00;0,00;81,62;0,04;0,00;0,00;
0,00;0,00;86,42;0,04;0,00;0,00;
0,00;0,00;91,22;0,08;0,00;0,00;
0,00;0,00;96,02;0,08;0,00;0,00;
0,00;0,00;100,82;0,04;0,00;0,00;
0,00;0,00;110,42;0,04;0,00;0,00;
0,00;0,00;115,22;0,12;0,00;0,00;
0,00;0,00;120,02;0,04;0,00;0,00;
0,00;0,00;129,62;0,04;0,00;0,00;
0,00;0,00;134,42;0,04;0,00;0,00;
0,00;0,00;139,22;0,04;0,00;0,00;
0,00;0,00;153,62;0,04;0,00;0,00;
0,00;0,00;158,42;0,04;0,00;0,00;
0,00;0,00;163,22;0,04;0,00;0,00;
0,00;0,00;168,02;0,04;0,00;0,00;
0,00;0,00;172,82;0,08;0,00;0,00;
0,00;0,00;177,62;0,04;0,00;0,00;
0,00;0,00;187,22;-0,01;0,00;0,00;
0,00;0,00;192,02;0,08;0,00;0,00;
0,00;0,00;196,82;0,04;0,00;0,00;
0,00;0,00;201,62;0,04;0,00;0,00;
0,00;0,00;211,22;-0,01;0,00;0,00;
0,00;0,00;217,00;0,04;0,00;0,00;
0,00;0,00;217,02;-0,01;0,00;0,00;
0,00;0,00;217,22;0,08;0,00;0,00;
0,00;0,00;217,41;0,08;0,00;0,00;
0,00;0,00;217,60;0,17;0,00;0,00;
0,00;0,00;217,80;0,17;0,00;0,00;
0,00;0,00;217,99;0,08;0,00;0,00;
0,00;0,00;218,18;0,17;0,00;0,00;
0,00;0,00;218,37;0,12;0,00;0,00;
0,00;0,00;218,56;0,08;0,00;0,00;
0,00;0,00;218,76;0,12;0,00;0,00;
0,00;0,00;218,95;0,08;0,00;0,00;
0,00;0,00;219,14;0,12;0,00;0,00;
0,00;0,00;219,33;0,17;0,00;0,00;
0,00;0,00;219,52;0,08;0,00;0,00;
0,00;0,00;219,72;0,12;0,00;0,00;
0,00;0,00;219,91;0,08;0,00;0,00;
0,00;0,00;220,10;0,12;0,00;0,00;
0,00;0,00;220,29;0,12;0,00;0,00;
0,00;0,00;220,48;0,08;0,00;0,00;
0,00;0,00;220,68;0,08;0,00;0,00;
0,00;0,00;220,87;0,12;0,00;0,00;
0,00;0,00;221,06;0,17;0,00;0,00;
0,00;0,00;221,25;0,12;0,00;0,00;
0,00;0,00;221,44;0,12;0,00;0,00;
0,00;0,00;221,64;0,12;0,00;0,00;
0,00;0,00;221,83;0,12;0,00;0,00;
0,00;0,00;222,02;0,12;0,00;0,00;
0,00;0,00;222,21;0,08;0,00;0,00;
0,00;0,00;222,40;0,12;0,00;0,00;
0,00;0,00;222,60;0,17;0,00;0,00;
0,00;0,00;222,79;0,04;0,00;0,00;
0,00;0,00;222,98;0,17;0,00;0,00;
0,00;0,00;223,17;0,12;0,00;0,00;
0,00;0,00;223,36;0,04;0,00;0,00;
0,00;0,00;223,56;0,12;0,00;0,00;
0,00;0,00;223,75;0,12;0,00;0,00;
0,00;0,00;223,94;0,12;0,00;0,00;
0,00;0,00;224,13;0,17;0,00;0,00;
0,00;0,00;224,32;0,12;0,00;0,00;
0,00;0,00;224,52;0,12;0,00;0,00;
0,00;0,00;224,71;0,12;0,00;0,00;
0,00;0,00;224,90;0,12;0,00;0,00;
0,00;0,00;225,09;0,17;0,00;0,00;
0,00;0,00;225,28;0,17;0,00;0,00;
0,00;0,00;225,48;0,17;0,00;0,00;
0,00;0,00;225,67;0,17;0,00;0,00;
0,00;0,00;225,86;0,17;0,00;0,00;
0,00;0,00;226,05;0,17;0,00;0,00;
0,00;0,00;226,24;0,12;0,00;0,00;
0,00;0,00;226,44;0,12;0,00;0,00;
0,00;0,00;226,63;0,17;0,00;0,00;
0,00;0,00;226,82;0,17;0,00;0,00;
0,00;0,00;227,01;0,17;0,00;0,00;
0,00;0,00;227,20;0,17;0,00;0,00;
0,00;0,00;227,40;0,17;0,00;0,00;
0,00;0,00;227,59;0,08;0,00;0,00;
0,00;0,00;227,78;0,17;0,00;0,00;
0,00;0,00;227,97;0,17;0,00;0,00;
0,00;0,00;228,16;0,17;0,00;0,00;
0,00;0,00;228,36;0,17;0,00;0,00;
0,00;0,00;228,55;0,12;0,00;0,00;
0,00;0,00;228,74;0,17;0,00;0,00;
0,00;0,00;228,93;0,12;0,00;0,00;
0,00;0,00;229,12;0,17;0,00;0,00;
0,00;0,00;229,32;0,17;0,00;0,00;
0,00;0,00;229,51;0,08;0,00;0,00;
0,00;0,00;229,70;0,17;0,00;0,00;
0,00;0,00;229,89;0,17;0,00;0,00;
0,00;0,00;230,08;0,17;0,00;0,00;
0,00;0,00;230,28;0,17;0,00;0,00;
0,00;0,00;230,47;0,12;0,00;0,00;
0,00;0,00;230,66;0,17;0,00;0,00;
0,00;0,00;230,85;0,17;0,00;0,00;
0,00;0,00;231,04;0,17;0,00;0,00;
0,00;0,00;231,24;0,17;0,00;0,00;
0,00;0,00;231,43;0,12;0,00;0,00;
0,00;0,00;231,62;0,17;0,00;0,00;
0,00;0,00;231,81;0,12;0,00;0,00;
0,00;0,00;232,00;0,17;0,00;0,00;
0,00;0,00;232,20;0,17;0,00;0,00;
0,00;0,00;232,39;0,12;0,00;0,00;
0,00;0,00;232,58;0,12;0,00;0,00;
0,00;0,00;232,77;0,17;0,00;0,00;
0,00;0,00;232,96;0,12;0,00;0,00;
0,00;0,00;233,16;0,17;0,00;0,00;
0,00;0,00;233,35;0,17;0,00;0,00;
0,00;0,00;233,54;0,17;0,00;0,00;
0,00;0,00;233,73;0,17;0,00;0,00;
0,00;0,00;233,92;0,17;0,00;0,00;
0,00;0,00;234,12;0,17;0,00;0,00;
0,00;0,00;234,31;0,17;0,00;0,00;
0,00;0,00;234,50;0,17;0,00;0,00;
0,00;0,00;234,69;0,17;0,00;0,00;
0,00;0,00;234,88;0,17;0,00;0,00;
0,00;0,00;235,08;0,17;0,00;0,00;
0,00;0,00;235,27;0,17;0,00;0,00;
0,00;0,00;235,46;0,17;0,00;0,00;
0,00;0,00;235,65;0,17;0,00;0,00;
0,00;0,00;235,84;0,17;0,00;0,00;
0,00;0,00;236,04;0,12;0,00;0,00;
0,00;0,00;236,23;0,17;0,00;0,00;
0,00;0,00;236,42;0,17;0,00;0,00;
0,00;0,00;236,61;0,17;0,00;0,00;
0,00;0,00;236,80;0,35;0,00;0,00;
