1221;14.01.20 14:46:21;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);20200114115023;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;39,96;0,18;0,00;0,00;
0,00;0,00;40,50;0,11;0,00;0,00;
0,00;0,00;41,51;0,20;0,00;0,00;
0,00;0,00;43,04;0,25;0,00;0,00;
0,00;0,00;45,08;0,16;0,00;0,00;
0,00;0,00;47,65;0,18;0,00;0,00;
0,00;0,00;50,67;0,22;0,00;0,00;
0,00;0,00;53,83;0,18;0,00;0,00;
0,00;0,00;57,00;0,24;0,00;0,00;
0,00;0,00;60,27;0,11;0,00;0,00;
0,00;0,00;63,42;0,13;0,00;0,00;
0,00;0,00;66,66;0,13;0,00;0,00;
0,00;0,00;69,83;0,13;0,00;0,00;
0,00;0,00;73,05;0,20;0,00;0,00;
0,00;0,00;76,25;0,13;0,00;0,00;
0,00;0,00;79,45;0,11;0,00;0,00;
0,00;0,00;82,65;0,20;0,00;0,00;
0,00;0,00;85,85;0,11;0,00;0,00;
0,00;0,00;89,05;0,20;0,00;0,00;
0,00;0,00;92,25;0,13;0,00;0,00;
0,00;0,00;95,45;0,13;0,00;0,00;
0,00;0,00;98,65;0,16;0,00;0,00;
0,00;0,00;101,85;0,09;0,00;0,00;
0,00;0,00;105,05;0,20;0,00;0,00;
0,00;0,00;108,25;0,16;0,00;0,00;
0,00;0,00;111,45;0,13;0,00;0,00;
0,00;0,00;114,65;0,20;0,00;0,00;
0,00;0,00;117,85;0,09;0,00;0,00;
0,00;0,00;121,05;0,27;0,00;0,00;
0,00;0,00;124,25;0,13;0,00;0,00;
0,00;0,00;127,45;0,16;0,00;0,00;
0,00;0,00;130,65;0,18;0,00;0,00;
0,00;0,00;133,85;0,11;0,00;0,00;
0,00;0,00;137,05;0,20;0,00;0,00;
0,00;0,00;140,25;0,16;0,00;0,00;
0,00;0,00;143,45;0,13;0,00;0,00;
0,00;0,00;146,65;0,18;0,00;0,00;
0,00;0,00;149,85;0,11;0,00;0,00;
0,00;0,00;153,05;0,20;0,00;0,00;
0,00;0,00;156,25;0,18;0,00;0,00;
0,00;0,00;159,42;0,13;0,00;0,00;
0,00;0,00;162,10;0,11;0,00;0,00;
0,00;0,00;164,35;0,04;0,00;0,00;
0,00;0,00;166,11;0,04;0,00;0,00;
0,00;0,00;167,36;0,02;0,00;0,00;
0,00;0,00;168,11;-0,02;0,00;0,00;
0,00;0,00;168,35;0,02;0,00;0,00;
0,00;0,00;168,43;0,02;0,00;0,00;
0,00;0,00;168,44;0,11;0,00;0,00;
0,00;0,00;168,59;0,04;0,00;0,00;
0,00;0,00;168,73;0,04;0,00;0,00;
0,00;0,00;168,89;0,09;0,00;0,00;
0,00;0,00;169,05;0,09;0,00;0,00;
0,00;0,00;169,21;0,06;0,00;0,00;
0,00;0,00;169,37;0,04;0,00;0,00;
0,00;0,00;169,53;0,09;0,00;0,00;
0,00;0,00;169,69;0,09;0,00;0,00;
0,00;0,00;169,85;0,09;0,00;0,00;
0,00;0,00;170,01;0,09;0,00;0,00;
0,00;0,00;170,17;0,06;0,00;0,00;
0,00;0,00;170,33;0,09;0,00;0,00;
0,00;0,00;170,49;0,09;0,00;0,00;
0,00;0,00;170,65;0,09;0,00;0,00;
0,00;0,00;170,81;0,09;0,00;0,00;
0,00;0,00;170,91;0,04;0,00;0,00;
0,00;0,00;170,92;0,09;0,00;0,00;
0,00;0,00;170,76;-0,18;0,00;0,00;
0,00;0,00;170,09;-0,11;0,00;0,00;
0,00;0,00;169,31;0,11;0,00;0,00;
0,00;0,00;169,03;0,02;0,00;0,00;
0,00;0,00;168,94;-0,09;0,00;0,00;
0,00;0,00;168,90;-0,07;0,00;0,00;
0,00;0,00;168,99;0,09;0,00;0,00;
0,00;0,00;169,12;0,11;0,00;0,00;
0,00;0,00;169,29;0,04;0,00;0,00;
0,00;0,00;169,45;0,02;0,00;0,00;
0,00;0,00;169,62;0,04;0,00;0,00;
0,00;0,00;169,78;0,09;0,00;0,00;
0,00;0,00;169,94;0,09;0,00;0,00;
0,00;0,00;170,10;0,06;0,00;0,00;
0,00;0,00;170,27;0,06;0,00;0,00;
0,00;0,00;170,43;0,02;0,00;0,00;
0,00;0,00;170,59;0,09;0,00;0,00;
0,00;0,00;170,75;0,09;0,00;0,00;
0,00;0,00;170,91;0,09;0,00;0,00;
0,00;0,00;171,07;0,23;0,00;0,00;
0,00;0,00;171,23;0,25;0,00;0,00;
0,00;0,00;171,39;0,25;0,00;0,00;
