7071;16.07.20 11:04:10;21;Avvicinamento Pressata Fuori Ingombro;Alcun errore (0);20200716074015P0050;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;44,17;0,20;0,00;0,00;
0,00;0,00;44,95;0,18;0,00;0,00;
0,00;0,00;46,22;0,13;0,00;0,00;
0,00;0,00;48,01;0,16;0,00;0,00;
0,00;0,00;50,32;0,22;0,00;0,00;
0,00;0,00;53,13;0,18;0,00;0,00;
0,00;0,00;56,29;0,06;0,00;0,00;
0,00;0,00;59,41;0,11;0,00;0,00;
0,00;0,00;62,64;0,16;0,00;0,00;
0,00;0,00;65,84;0,09;0,00;0,00;
0,00;0,00;69,05;0,11;0,00;0,00;
0,00;0,00;72,25;0,13;0,00;0,00;
0,00;0,00;75,45;0,13;0,00;0,00;
0,00;0,00;78,65;0,11;0,00;0,00;
0,00;0,00;81,85;0,09;0,00;0,00;
0,00;0,00;85,05;0,13;0,00;0,00;
0,00;0,00;88,25;0,09;0,00;0,00;
0,00;0,00;91,45;0,11;0,00;0,00;
0,00;0,00;94,65;0,13;0,00;0,00;
0,00;0,00;97,85;0,09;0,00;0,00;
0,00;0,00;101,05;0,13;0,00;0,00;
0,00;0,00;104,25;0,11;0,00;0,00;
0,00;0,00;107,45;0,09;0,00;0,00;
0,00;0,00;110,65;0,11;0,00;0,00;
0,00;0,00;113,85;0,11;0,00;0,00;
0,00;0,00;117,05;0,11;0,00;0,00;
0,00;0,00;120,25;0,11;0,00;0,00;
0,00;0,00;123,45;0,11;0,00;0,00;
0,00;0,00;126,65;0,13;0,00;0,00;
0,00;0,00;129,85;0,11;0,00;0,00;
0,00;0,00;133,05;0,06;0,00;0,00;
0,00;0,00;136,25;0,13;0,00;0,00;
0,00;0,00;139,45;0,09;0,00;0,00;
0,00;0,00;142,65;0,13;0,00;0,00;
0,00;0,00;145,85;0,13;0,00;0,00;
0,00;0,00;149,05;0,09;0,00;0,00;
0,00;0,00;152,08;-0,02;0,00;0,00;
0,00;0,00;154,59;0,02;0,00;0,00;
0,00;0,00;156,66;0,02;0,00;0,00;
0,00;0,00;158,22;0,02;0,00;0,00;
