20107;30.04.21 10:19:31;21;Avvicinamento Pressata Fuori Ingombro;Alcun errore (0);20210429085525P0037;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;17,76;0,05;0,00;0,00;
0,00;0,00;18,55;0,04;0,00;0,00;
0,00;0,00;19,84;0,04;0,00;0,00;
0,00;0,00;21,65;0,05;0,00;0,00;
0,00;0,00;23,97;0,05;0,00;0,00;
0,00;0,00;26,80;0,05;0,00;0,00;
0,00;0,00;30,14;0,05;0,00;0,00;
0,00;0,00;33,62;0,04;0,00;0,00;
0,00;0,00;37,15;0,04;0,00;0,00;
0,00;0,00;40,67;0,03;0,00;0,00;
0,00;0,00;44,19;0,04;0,00;0,00;
0,00;0,00;47,71;0,02;0,00;0,00;
0,00;0,00;51,22;0,05;0,00;0,00;
0,00;0,00;54,75;0,03;0,00;0,00;
0,00;0,00;58,27;0,04;0,00;0,00;
0,00;0,00;61,79;0,04;0,00;0,00;
0,00;0,00;65,31;0,03;0,00;0,00;
0,00;0,00;68,83;0,01;0,00;0,00;
0,00;0,00;72,35;0,03;0,00;0,00;
0,00;0,00;75,87;0,04;0,00;0,00;
0,00;0,00;79,39;0,04;0,00;0,00;
0,00;0,00;82,91;0,04;0,00;0,00;
0,00;0,00;86,43;0,03;0,00;0,00;
0,00;0,00;89,95;0,02;0,00;0,00;
0,00;0,00;93,47;0,03;0,00;0,00;
0,00;0,00;96,99;0,04;0,00;0,00;
0,00;0,00;100,51;0,05;0,00;0,00;
0,00;0,00;104,03;0,02;0,00;0,00;
0,00;0,00;107,43;0,01;0,00;0,00;
0,00;0,00;110,36;0,02;0,00;0,00;
0,00;0,00;112,80;0,01;0,00;0,00;
0,00;0,00;116,14;0,01;0,00;0,00;
0,00;0,00;117,47;-0,01;0,00;0,00;
0,00;0,00;117,51;0,01;0,00;0,00;
0,00;0,00;117,51;0,01;0,00;0,00;
0,00;0,00;117,57;0,03;0,00;0,00;
0,00;0,00;117,65;0,01;0,00;0,00;
0,00;0,00;117,73;0,01;0,00;0,00;
0,00;0,00;117,81;0,02;0,00;0,00;
0,00;0,00;117,89;0,02;0,00;0,00;
0,00;0,00;117,98;0,02;0,00;0,00;
0,00;0,00;118,05;0,02;0,00;0,00;
0,00;0,00;118,13;0,02;0,00;0,00;
0,00;0,00;118,21;0,02;0,00;0,00;
0,00;0,00;118,29;0,02;0,00;0,00;
0,00;0,00;118,37;0,03;0,00;0,00;
0,00;0,00;118,45;0,03;0,00;0,00;
0,00;0,00;118,53;0,03;0,00;0,00;
0,00;0,00;118,61;0,03;0,00;0,00;
0,00;0,00;118,69;0,03;0,00;0,00;
0,00;0,00;118,77;0,02;0,00;0,00;
0,00;0,00;118,85;0,01;0,00;0,00;
0,00;0,00;118,93;0,03;0,00;0,00;
0,00;0,00;119,01;0,02;0,00;0,00;
0,00;0,00;119,09;0,02;0,00;0,00;
0,00;0,00;119,18;0,03;0,00;0,00;
0,00;0,00;119,25;0,01;0,00;0,00;
0,00;0,00;119,33;0,02;0,00;0,00;
0,00;0,00;119,41;0,02;0,00;0,00;
0,00;0,00;119,49;0,02;0,00;0,00;
0,00;0,00;119,57;0,02;0,00;0,00;
0,00;0,00;119,65;0,01;0,00;0,00;
0,00;0,00;119,74;0,03;0,00;0,00;
0,00;0,00;119,81;0,03;0,00;0,00;
0,00;0,00;119,89;0,03;0,00;0,00;
0,00;0,00;119,97;0,02;0,00;0,00;
0,00;0,00;120,06;0,02;0,00;0,00;
0,00;0,00;120,13;0,02;0,00;0,00;
0,00;0,00;120,21;0,02;0,00;0,00;
0,00;0,00;120,29;0,03;0,00;0,00;
0,00;0,00;120,38;0,03;0,00;0,00;
0,00;0,00;120,46;0,01;0,00;0,00;
0,00;0,00;120,53;0,03;0,00;0,00;
0,00;0,00;120,61;0,02;0,00;0,00;
0,00;0,00;120,69;0,03;0,00;0,00;
0,00;0,00;120,78;0,03;0,00;0,00;
0,00;0,00;120,85;0,02;0,00;0,00;
0,00;0,00;120,93;0,02;0,00;0,00;
0,00;0,00;121,02;0,03;0,00;0,00;
0,00;0,00;121,10;0,03;0,00;0,00;
0,00;0,00;121,17;0,03;0,00;0,00;
0,00;0,00;121,25;0,02;0,00;0,00;
0,00;0,00;121,33;0,02;0,00;0,00;
0,00;0,00;121,42;0,02;0,00;0,00;
0,00;0,00;121,49;0,02;0,00;0,00;
0,00;0,00;121,57;0,02;0,00;0,00;
0,00;0,00;121,65;0,02;0,00;0,00;
0,00;0,00;121,74;0,01;0,00;0,00;
0,00;0,00;121,81;0,02;0,00;0,00;
0,00;0,00;121,89;0,03;0,00;0,00;
0,00;0,00;121,97;0,03;0,00;0,00;
0,00;0,00;122,05;0,01;0,00;0,00;
0,00;0,00;122,13;0,03;0,00;0,00;
0,00;0,00;122,21;0,03;0,00;0,00;
0,00;0,00;122,29;0,03;0,00;0,00;
0,00;0,00;122,37;0,01;0,00;0,00;
0,00;0,00;122,45;0,02;0,00;0,00;
0,00;0,00;122,54;0,03;0,00;0,00;
0,00;0,00;122,61;0,03;0,00;0,00;
0,00;0,00;122,69;0,03;0,00;0,00;
0,00;0,00;122,77;0,03;0,00;0,00;
0,00;0,00;122,86;0,03;0,00;0,00;
0,00;0,00;122,94;0,03;0,00;0,00;
0,00;0,00;123,01;0,02;0,00;0,00;
0,00;0,00;123,09;0,02;0,00;0,00;
0,00;0,00;123,18;0,03;0,00;0,00;
0,00;0,00;123,25;0,03;0,00;0,00;
0,00;0,00;123,33;0,03;0,00;0,00;
0,00;0,00;123,41;0,01;0,00;0,00;
0,00;0,00;123,50;0,02;0,00;0,00;
0,00;0,00;123,58;0,02;0,00;0,00;
0,00;0,00;123,65;0,03;0,00;0,00;
0,00;0,00;123,73;0,02;0,00;0,00;
0,00;0,00;123,82;0,02;0,00;0,00;
0,00;0,00;123,89;0,03;0,00;0,00;
0,00;0,00;123,97;0,02;0,00;0,00;
0,00;0,00;124,05;0,03;0,00;0,00;
0,00;0,00;124,14;0,02;0,00;0,00;
0,00;0,00;124,22;0,03;0,00;0,00;
0,00;0,00;124,29;0,03;0,00;0,00;
0,00;0,00;124,37;0,03;0,00;0,00;
0,00;0,00;124,45;0,02;0,00;0,00;
0,00;0,00;124,54;0,03;0,00;0,00;
0,00;0,00;124,61;0,02;0,00;0,00;
0,00;0,00;124,69;0,03;0,00;0,00;
0,00;0,00;124,77;0,02;0,00;0,00;
0,00;0,00;124,86;0,02;0,00;0,00;
0,00;0,00;124,93;0,03;0,00;0,00;
0,00;0,00;125,01;0,03;0,00;0,00;
0,00;0,00;125,09;0,01;0,00;0,00;
0,00;0,00;125,18;0,03;0,00;0,00;
0,00;0,00;125,25;0,03;0,00;0,00;
0,00;0,00;125,33;0,03;0,00;0,00;
0,00;0,00;125,41;0,03;0,00;0,00;
0,00;0,00;125,49;0,01;0,00;0,00;
0,00;0,00;125,57;0,03;0,00;0,00;
0,00;0,00;125,65;0,03;0,00;0,00;
0,00;0,00;125,73;0,03;0,00;0,00;
0,00;0,00;125,81;0,02;0,00;0,00;
0,00;0,00;125,89;0,03;0,00;0,00;
0,00;0,00;125,98;0,02;0,00;0,00;
0,00;0,00;126,05;0,02;0,00;0,00;
0,00;0,00;126,13;0,03;0,00;0,00;
0,00;0,00;126,21;0,02;0,00;0,00;
0,00;0,00;126,30;0,01;0,00;0,00;
0,00;0,00;126,38;0,03;0,00;0,00;
0,00;0,00;126,45;0,03;0,00;0,00;
0,00;0,00;126,53;0,02;0,00;0,00;
0,00;0,00;126,61;0,01;0,00;0,00;
0,00;0,00;126,69;0,03;0,00;0,00;
0,00;0,00;126,77;0,03;0,00;0,00;
0,00;0,00;126,85;0,03;0,00;0,00;
0,00;0,00;126,93;0,03;0,00;0,00;
0,00;0,00;127,01;0,03;0,00;0,00;
0,00;0,00;127,09;0,03;0,00;0,00;
0,00;0,00;127,18;0,01;0,00;0,00;
0,00;0,00;127,26;0,01;0,00;0,00;
0,00;0,00;127,34;0,03;0,00;0,00;
0,00;0,00;127,41;0,03;0,00;0,00;
0,00;0,00;127,49;0,02;0,00;0,00;
0,00;0,00;127,58;0,03;0,00;0,00;
0,00;0,00;127,66;0,02;0,00;0,00;
0,00;0,00;127,73;0,01;0,00;0,00;
0,00;0,00;127,81;0,01;0,00;0,00;
0,00;0,00;127,90;0,03;0,00;0,00;
0,00;0,00;127,98;0,01;0,00;0,00;
0,00;0,00;128,05;0,02;0,00;0,00;
0,00;0,00;128,13;0,03;0,00;0,00;
0,00;0,00;128,21;0,03;0,00;0,00;
0,00;0,00;128,30;0,02;0,00;0,00;
0,00;0,00;128,38;0,02;0,00;0,00;
0,00;0,00;128,45;0,03;0,00;0,00;
0,00;0,00;128,53;0,02;0,00;0,00;
0,00;0,00;128,61;0,02;0,00;0,00;
0,00;0,00;128,69;0,03;0,00;0,00;
0,00;0,00;128,77;0,02;0,00;0,00;
0,00;0,00;128,85;0,03;0,00;0,00;
0,00;0,00;128,93;0,02;0,00;0,00;
0,00;0,00;129,01;0,02;0,00;0,00;
0,00;0,00;129,09;0,02;0,00;0,00;
0,00;0,00;129,17;0,03;0,00;0,00;
0,00;0,00;129,25;0,03;0,00;0,00;
0,00;0,00;129,33;0,03;0,00;0,00;
0,00;0,00;129,41;0,02;0,00;0,00;
0,00;0,00;129,49;0,02;0,00;0,00;
0,00;0,00;129,57;0,01;0,00;0,00;
0,00;0,00;129,65;0,01;0,00;0,00;
0,00;0,00;129,73;0,02;0,00;0,00;
0,00;0,00;129,81;0,03;0,00;0,00;
0,00;0,00;129,89;0,02;0,00;0,00;
0,00;0,00;129,97;0,02;0,00;0,00;
0,00;0,00;130,06;0,02;0,00;0,00;
0,00;0,00;130,13;0,02;0,00;0,00;
0,00;0,00;130,21;0,02;0,00;0,00;
0,00;0,00;130,29;0,03;0,00;0,00;
0,00;0,00;130,38;0,03;0,00;0,00;
0,00;0,00;130,46;0,02;0,00;0,00;
0,00;0,00;130,53;0,03;0,00;0,00;
0,00;0,00;130,61;0,02;0,00;0,00;
0,00;0,00;130,69;0,03;0,00;0,00;
0,00;0,00;130,78;0,03;0,00;0,00;
0,00;0,00;130,85;0,02;0,00;0,00;
0,00;0,00;130,93;0,03;0,00;0,00;
0,00;0,00;131,02;0,02;0,00;0,00;
0,00;0,00;131,10;0,02;0,00;0,00;
0,00;0,00;131,17;0,02;0,00;0,00;
0,00;0,00;131,25;0,03;0,00;0,00;
0,00;0,00;131,33;0,02;0,00;0,00;
0,00;0,00;131,42;0,02;0,00;0,00;
0,00;0,00;131,49;0,03;0,00;0,00;
0,00;0,00;131,57;0,03;0,00;0,00;
0,00;0,00;131,65;0,01;0,00;0,00;
0,00;0,00;131,74;0,02;0,00;0,00;
0,00;0,00;131,81;0,02;0,00;0,00;
0,00;0,00;131,89;0,03;0,00;0,00;
