9017;01.09.20 14:27:01;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);20200831142300P0003;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;30,30;-0,01;0,00;0,00;
0,00;0,00;30,35;0,06;0,00;0,00;
0,00;0,00;30,89;0,04;0,00;0,00;
0,00;0,00;31,92;0,04;0,00;0,00;
0,00;0,00;33,48;0,04;0,00;0,00;
0,00;0,00;35,54;0,04;0,00;0,00;
0,00;0,00;38,11;0,05;0,00;0,00;
0,00;0,00;41,20;0,04;0,00;0,00;
0,00;0,00;44,68;0,01;0,00;0,00;
0,00;0,00;48,19;0,04;0,00;0,00;
0,00;0,00;51,71;0,02;0,00;0,00;
0,00;0,00;55,23;0,01;0,00;0,00;
0,00;0,00;58,75;0,01;0,00;0,00;
0,00;0,00;62,27;0,02;0,00;0,00;
0,00;0,00;65,78;0,02;0,00;0,00;
0,00;0,00;69,31;0,02;0,00;0,00;
0,00;0,00;72,83;0,02;0,00;0,00;
0,00;0,00;76,35;0,02;0,00;0,00;
0,00;0,00;79,83;-0,01;0,00;0,00;
0,00;0,00;82,87;0,01;0,00;0,00;
0,00;0,00;85,44;0,01;0,00;0,00;
0,00;0,00;87,51;-0,01;0,00;0,00;
0,00;0,00;89,08;-0,01;0,00;0,00;
0,00;0,00;90,14;0,01;0,00;0,00;
0,00;0,00;90,70;-0,01;0,00;0,00;
0,00;0,00;90,82;0,02;0,00;0,00;
0,00;0,00;90,96;0,02;0,00;0,00;
0,00;0,00;91,11;0,01;0,00;0,00;
0,00;0,00;91,25;0,01;0,00;0,00;
0,00;0,00;91,39;0,01;0,00;0,00;
0,00;0,00;91,54;0,01;0,00;0,00;
0,00;0,00;91,68;0,01;0,00;0,00;
0,00;0,00;91,83;0,01;0,00;0,00;
0,00;0,00;91,97;0,01;0,00;0,00;
0,00;0,00;92,11;0,01;0,00;0,00;
0,00;0,00;92,26;0,01;0,00;0,00;
0,00;0,00;92,40;0,01;0,00;0,00;
0,00;0,00;92,55;0,01;0,00;0,00;
0,00;0,00;92,69;0,01;0,00;0,00;
0,00;0,00;92,83;0,01;0,00;0,00;
0,00;0,00;92,98;0,01;0,00;0,00;
0,00;0,00;93,12;0,01;0,00;0,00;
0,00;0,00;93,27;0,01;0,00;0,00;
0,00;0,00;93,41;0,01;0,00;0,00;
0,00;0,00;93,55;0,01;0,00;0,00;
0,00;0,00;93,70;0,01;0,00;0,00;
0,00;0,00;93,84;0,01;0,00;0,00;
0,00;0,00;93,98;0,01;0,00;0,00;
