16204;09.04.21 15:21:12;21;Avvicinamento Pressata Finale;force > max. force (8);20210408145934A0211;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;20,00;0,09;0,00;0,00;
0,00;0,00;21,12;0,04;0,00;0,00;
0,00;0,00;24,20;0,08;0,00;0,00;
0,00;0,00;28,82;0,04;0,00;0,00;
0,00;0,00;33,62;0,04;0,00;0,00;
0,00;0,00;38,42;0,04;0,00;0,00;
0,00;0,00;43,22;0,04;0,00;0,00;
0,00;0,00;48,02;0,04;0,00;0,00;
0,00;0,00;52,82;0,09;0,00;0,00;
0,00;0,00;57,62;0,09;0,00;0,00;
0,00;0,00;62,42;0,04;0,00;0,00;
0,00;0,00;67,22;0,04;0,00;0,00;
0,00;0,00;72,02;0,04;0,00;0,00;
0,00;0,00;81,62;0,09;0,00;0,00;
0,00;0,00;86,42;0,04;0,00;0,00;
0,00;0,00;91,22;0,04;0,00;0,00;
0,00;0,00;96,02;0,04;0,00;0,00;
0,00;0,00;100,82;0,04;0,00;0,00;
0,00;0,00;110,42;0,04;0,00;0,00;
0,00;0,00;115,22;0,09;0,00;0,00;
0,00;0,00;120,02;0,04;0,00;0,00;
0,00;0,00;129,62;0,04;0,00;0,00;
0,00;0,00;134,42;0,04;0,00;0,00;
0,00;0,00;139,22;0,04;0,00;0,00;
0,00;0,00;144,02;0,04;0,00;0,00;
0,00;0,00;148,82;0,04;0,00;0,00;
0,00;0,00;153,62;0,04;0,00;0,00;
0,00;0,00;163,22;0,09;0,00;0,00;
0,00;0,00;168,02;0,04;0,00;0,00;
0,00;0,00;172,82;0,04;0,00;0,00;
0,00;0,00;182,42;0,04;0,00;0,00;
0,00;0,00;187,22;0,04;0,00;0,00;
0,00;0,00;192,02;0,04;0,00;0,00;
0,00;0,00;196,82;0,04;0,00;0,00;
0,00;0,00;201,62;0,04;0,00;0,00;
0,00;0,00;206,42;0,04;0,00;0,00;
0,00;0,00;211,22;0,04;0,00;0,00;
0,00;0,00;216,02;0,04;0,00;0,00;
0,00;0,00;220,82;0,09;0,00;0,00;
0,00;0,00;230,42;0,04;0,00;0,00;
0,00;0,00;235,22;0,09;0,00;0,00;
0,00;0,00;240,02;0,09;0,00;0,00;
0,00;0,00;244,82;0,04;0,00;0,00;
0,00;0,00;249,62;0,13;0,00;0,00;
0,00;0,00;254,17;0,04;0,00;0,00;
0,00;0,00;257,00;0,09;0,00;0,00;
0,00;0,00;257,84;0,09;0,00;0,00;
0,00;0,00;257,90;0,09;0,00;0,00;
0,00;0,00;258,09;0,09;0,00;0,00;
0,00;0,00;258,33;0,13;0,00;0,00;
0,00;0,00;258,59;0,13;0,00;0,00;
0,00;0,00;258,85;0,13;0,00;0,00;
0,00;0,00;259,10;0,13;0,00;0,00;
0,00;0,00;259,36;0,13;0,00;0,00;
0,00;0,00;259,61;0,13;0,00;0,00;
0,00;0,00;259,87;0,13;0,00;0,00;
0,00;0,00;260,13;0,13;0,00;0,00;
0,00;0,00;260,38;0,13;0,00;0,00;
0,00;0,00;260,64;0,13;0,00;0,00;
0,00;0,00;260,89;0,13;0,00;0,00;
0,00;0,00;261,15;0,13;0,00;0,00;
0,00;0,00;261,41;0,13;0,00;0,00;
0,00;0,00;261,66;0,13;0,00;0,00;
0,00;0,00;261,92;0,13;0,00;0,00;
0,00;0,00;262,17;0,13;0,00;0,00;
0,00;0,00;262,43;0,13;0,00;0,00;
0,00;0,00;262,69;0,13;0,00;0,00;
0,00;0,00;262,94;0,13;0,00;0,00;
0,00;0,00;263,20;0,13;0,00;0,00;
0,00;0,00;263,45;0,13;0,00;0,00;
0,00;0,00;263,71;0,13;0,00;0,00;
0,00;0,00;263,97;0,13;0,00;0,00;
0,00;0,00;264,22;0,13;0,00;0,00;
0,00;0,00;264,48;0,13;0,00;0,00;
0,00;0,00;264,73;0,13;0,00;0,00;
0,00;0,00;264,99;0,13;0,00;0,00;
0,00;0,00;265,25;0,52;0,00;0,00;
0,00;0,00;265,49;2,74;0,00;0,00;
0,00;0,00;265,73;8,09;0,00;0,00;
0,00;0,00;265,98;14,04;0,00;0,00;
0,00;0,00;266,23;19,66;0,00;0,00;
0,00;0,00;266,32;21,84;0,00;0,00;
0,00;0,00;266,33;22,05;0,00;0,00;
0,00;0,00;266,34;22,31;0,00;0,00;
0,00;0,00;266,34;22,23;0,00;0,00;
0,00;0,00;266,34;22,05;0,00;0,00;
0,00;0,00;266,34;21,88;0,00;0,00;
0,00;0,00;266,35;22,05;0,00;0,00;
