45523;11.06.21 17:04:26;22;Avvicinamento pre-pressata pressata Fuori Ingombro;start interrupted (14);20210611160302A0210;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;73,60;0,08;0,00;0,00;
0,00;0,00;73,66;0,23;0,00;0,00;
0,00;0,00;74,11;0,16;0,00;0,00;
0,00;0,00;74,88;0,16;0,00;0,00;
0,00;0,00;76,03;0,30;0,00;0,00;
0,00;0,00;77,57;0,37;0,00;0,00;
0,00;0,00;79,50;0,30;0,00;0,00;
0,00;0,00;81,80;0,23;0,00;0,00;
0,00;0,00;84,14;0,23;0,00;0,00;
0,00;0,00;86,53;0,31;0,00;0,00;
0,00;0,00;88,94;0,16;0,00;0,00;
0,00;0,00;91,34;0,23;0,00;0,00;
0,00;0,00;93,74;0,16;0,00;0,00;
0,00;0,00;96,15;0,16;0,00;0,00;
0,00;0,00;98,54;0,16;0,00;0,00;
0,00;0,00;100,95;0,16;0,00;0,00;
0,00;0,00;103,35;0,08;0,00;0,00;
0,00;0,00;105,75;0,16;0,00;0,00;
0,00;0,00;108,15;0,16;0,00;0,00;
0,00;0,00;110,55;0,16;0,00;0,00;
0,00;0,00;112,95;0,23;0,00;0,00;
0,00;0,00;115,35;0,16;0,00;0,00;
0,00;0,00;117,74;0,08;0,00;0,00;
0,00;0,00;120,15;0,23;0,00;0,00;
0,00;0,00;122,55;0,16;0,00;0,00;
0,00;0,00;124,95;0,23;0,00;0,00;
0,00;0,00;127,35;0,08;0,00;0,00;
0,00;0,00;129,75;0,16;0,00;0,00;
0,00;0,00;132,15;0,08;0,00;0,00;
0,00;0,00;134,54;0,08;0,00;0,00;
0,00;0,00;136,95;0,23;0,00;0,00;
0,00;0,00;139,35;0,08;0,00;0,00;
0,00;0,00;141,75;0,16;0,00;0,00;
